Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”,Name: “Table 1 of 1 on page 52 of 64”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,,
,VERSAR,MZ101C,MZ101C,vs.,ODU,MZ103,MZ103,Comparisons,Comparisons
------------------------,------------------------,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,-------------------------,-------------------------
STATION,SAMPLE_DATE,SAMPLE_DATE,value_VERSAR,value_VERSAR,value_VERSAR,value_VERSAR,,value_ODU,diff
CB6.1,06JUL1999,06JUL1999,,8838.21,8838.21,,,7843.37,994.83
CB6.1,11SEP2000,11SEP2000,,17525.87,17525.87,,,6620.37,10905.50
CB6.1,14AUG2002,14AUG2002,,8355.97,8355.97,,111406.84,111406.84,-103050.87
CB6.1,16SEP2002,16SEP2002,,4606.18,4606.18,,,5707.90,-1101.72
CB6.4,05AUG1996,05AUG1996,,41475.51,41475.51,,,39383.44,2092.07
CB6.4,06JUL1998,06JUL1998,,116.54,116.54,,,89.01,27.53
CB6.4,07AUG2000,07AUG2000,,5665.66,5665.66,,,4662.56,1003.11
CB6.4,14SEP2000,14SEP2000,,8448.47,8448.47,,,9638.95,-1190.48
CB6.4,15JUL2002,15JUL2002,,12198.78,12198.78,,,2791.15,9407.63
CB7.3E,06JUL1999,06JUL1999,,10472.69,10472.69,,,9759.10,713.59
CB7.3E,11JUL2000,11JUL2000,,720.84,720.84,,,832.60,-111.75
CB7.3E,19SEP2002,19SEP2002,,5321.03,5321.03,,,2838.01,2483.02
CB7.4,13AUG1997,13AUG1997,,6478.77,6478.77,,,5797.92,680.86
CB7.4,06JUL1999,06JUL1999,,5456.72,5456.72,,,6704.31,-1247.59
CB7.4,05AUG1999,05AUG1999,,1195.98,1195.98,,,836.35,359.62
CB7.4,21SEP1999,21SEP1999,,1165.78,1165.78,,,801.24,364.53
CB7.4,11SEP2000,11SEP2000,,2320.65,2320.65,,,2452.69,-132.03
LE3.6,09AUG2000,09AUG2000,,1689.45,1689.45,,,1174.88,514.56
RET3.1,08JUL1999,08JUL1999,,2187.18,2187.18,,,1716.05,471.13
RET3.1,09AUG2001,09AUG2001,,143.51,143.51,,,33.49,110.02
RET3.1,12SEP2002,12SEP2002,,5285.23,5285.23,,,2544.79,2740.45
RET4.3,06AUG1996,06AUG1996,,115.67,115.67,,,267.20,-151.52
RET4.3,10JUL1997,10JUL1997,,177.24,177.24,,,571.16,-393.93
RET4.3,09SEP1998,09SEP1998,,6017.14,6017.14,,,6441.15,-424.01
SBE5,15SEP1999,15SEP1999,,4219.31,4219.31,,,4077.28,142.03
SBE5,21SEP2000,21SEP2000,,6252.66,6252.66,,,7597.23,-1344.57
WE4.2,05AUG1996,05AUG1996,,9328.18,9328.18,,,10710.48,-1382.29
WE4.2,06JUL1998,06JUL1998,,867.92,867.92,,,758.45,109.47
------------------------,------------------------,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,metric=COPEPODA_ABUND,-------------------------,-------------------------
,The,UNIVARIATE,UNIVARIATE,UNIVARIATE,Procedure,Procedure,Procedure,,
,,Variable:,Variable:,Variable:,diff,diff,,,
,Basic,Basic,Statistical,Statistical,Statistical,Measures,Measures,Measures,
Location,,,,,,Variability,Variability,Variability,
Mean,-2764.67,,Std,Deviation,Deviation,Deviation,,,19854
Median,126.02,,Variance,Variance,Variance,,,,394185468
Mode,.,,Range,Range,,,,,113956
,,,Interquartile,Interquartile,Interquartile,Interquartile,Range,Range,1263
,Tests,Tests,for,Location:,Location:,Mu0=0,Mu0=0,,
Test,,-Statistic-,-Statistic-,-Statistic-,,-----p,-----p,Value------,Value------
Student's,t,t,-0.73684,-0.73684,,Pr,>,|t|,0.4676
Sign,,M,,3,,Pr,>=,|M|,0.3449
Signed,Rank,S,,38,,Pr,>=,|S|,0.3966
,,,,,52,,,,
