Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”,Name: “Table 1 of 1 on page 14 of 64”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,,,,
Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,Classification efficiencies for the mesohaline ZIBI and discrimination efficiencies of the individual ZIBI metrics.,The numbers and,The numbers and
percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.,percentages of samples whose metrics or IBI score correctly identify BAD (impaired) and GOOD (least-impaired) habitat conditions are shown.
The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,The numbers and percentages of MIXED habitat conditions identified by the IBI as impaired (~50% expected) are also shown.,
,MESOHALINE_,MESOHALINE_,ACARTIA_,BALANIDAE_,CYCLOPOIDA_,CYCLOPOIDA_,ROTIFERS_,TOTAL_,ZIBI_,
,WQ CATEGORY,WQ CATEGORY,ABUNDANCE,ABUNDANCE,ABUNDANCE,ABUNDANCE,ABUNDANCE,ABUNDANCE,SCORE,
,"Score 
    ","Score 
    ",21,2,,17,10,20,22,
,Total n of BAD habitats,Total n of BAD habitats,22,22,,22,22,22,22,
,Percent,Percent,95.5%,9.1%,,77.3%,45.5%,91.0%,100.00%,
