Name: “Table 1 of 1 on page 28 of 156”,Name: “Table 1 of 1 on page 28 of 156”,Name: “Table 1 of 1 on page 28 of 156”,Name: “Table 1 of 1 on page 28 of 156”,Name: “Table 1 of 1 on page 28 of 156”,Name: “Table 1 of 1 on page 28 of 156”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,
General Population,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
Recent Population Change,Recent Population Change,Recent Population Change,Recent Population Change,,
,,"Chenango, NY",-1.0,"Huntingdon, PA",0.5
% change in total number of,,,,,
people (1996-2006),,"Cortland, NY",-0.5,"Indiana, PA",-3.4
,,"Delaware, NY",-2.8,"Jefferson, PA",-1.7
"Kent, DE",21.5,"Herkimer, NY",-4.7,"Juniata, PA",6.8
"New Castle, DE",9.5,"Livingston, NY",0.0,"Lackawanna, PA",-3.7
"Sussex, DE",29.2,"Madison, NY",0.1,"Lancaster, PA",8.5
"District of Columbia, DC",1.6,"Montgomery, NY",-4.3,"Lebanon, PA",7.2
"Allegany, MD",-3.1,"Oneida, NY",-2.2,"Luzerne, PA",-4.4
"Anne Arundel, MD",9.0,"Onondaga, NY",-2.1,"Lycoming, PA",-3.0
"Baltimore, MD",7.1,"Ontario, NY",4.9,"McKean, PA",-7.0
"Calvert, MD",34.2,"Otsego, NY",1.6,"Mifflin, PA",-1.2
"Caroline, MD",11.8,"Schoharie, NY",0.3,"Montour, PA",-1.7
"Carroll, MD",20.4,"Schuyler, NY",1.7,"Northumberland, PA",-5.3
"Cecil, MD",25.3,"Steuben, NY",-1.0,"Perry, PA",4.6
"Charles, MD",25.8,"Tioga, NY",-1.9,"Potter, PA",-0.2
"Dorchester, MD",2.9,"Tompkins, NY",4.3,"Schuylkill, PA",-4.2
"Frederick, MD",24.3,"Yates, NY",2.2,"Snyder, PA",0.7
"Garrett, MD",0.7,"Adams, PA",17.2,"Somerset, PA",-2.1
"Harford, MD",16.1,"Bedford, PA",1.3,"Sullivan, PA",-2.0
"Howard, MD",21.8,"Berks, PA",11.3,"Susquehanna, PA",-0.3
"Kent, MD",5.9,"Blair, PA",-3.5,"Tioga, PA",-0.4
"Montgomery, MD",13.0,"Bradford, PA",-0.4,"Union, PA",4.2
"Prince George's, MD",8.7,"Cambria, PA",-7.3,"Wayne, PA",11.6
"Queen Anne's, MD",22.8,"Cameron, PA",-8.9,"Wyoming, PA",-2.0
"St. Mary's, MD",22.6,"Carbon, PA",6.6,"York, PA",12.6
"Somerset, MD",4.1,"Centre, PA",5.1,"Accomack, VA",10.3
"Talbot, MD",10.7,"Chester, PA",18.1,"Albemarle, VA",21.4
"Washington, MD",11.1,"Clearfield, PA",0.1,"Alleghany, VA",-3.5
"Wicomico, MD",12.4,"Clinton, PA",-1.0,"Amelia, VA",22.1
"Worcester, MD",15.1,"Columbia, PA",0.4,"Amherst, VA",4.8
"Baltimore, MD (city)",-8.3,"Cumberland, PA",8.0,"Appomattox, VA",7.9
"Allegany, NY",-1.2,"Dauphin, PA",1.9,"Arlington, VA",9.3
"Broome, NY",-4.0,"Elk, PA",-7.2,"Augusta, VA",15.1
"Cayuga, NY",-1.9,"Franklin, PA",10.3,"Bath, VA",-3.7
"Chemung, NY",-4.7,"Fulton, PA",4.1,"Bedford, VA",18.1
22,,,,,
