Name: “Table 1 of 1 on page 85 of 156”,Name: “Table 1 of 1 on page 85 of 156”,Name: “Table 1 of 1 on page 85 of 156”,Name: “Table 1 of 1 on page 85 of 156”,Name: “Table 1 of 1 on page 85 of 156”,Name: “Table 1 of 1 on page 85 of 156”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Social and Cultural Characteristics,Social and Cultural Characteristics
,Educational Attainment,Educational Attainment,Educational Attainment,,
"Botetourt, VA",47.5,"Middlesex, VA",43.8,"Hampton, VA (city)",57.5
"Buckingham, VA",24.7,"Montgomery, VA",59.1,"Harrisonburg, VA (city)",53.3
"Campbell, VA",40.1,"Nelson, VA",42.4,"Hopewell, VA (city)",35.9
"Caroline, VA",33.7,"New Kent, VA",45.9,"Lexington, VA (city)",59.8
"Charles City, VA",31.1,"Northampton, VA",38.2,"Lynchburg, VA (city)",50.3
"Charlotte, VA",28.4,"Northumberland, VA",45.0,"Manassas, VA (city)",57.3
"Chesterfield, VA",63.3,"Nottoway, VA",32.6,"Manassas Park, VA (city)",49.0
"Clarke, VA",49.2,"Orange, VA",41.2,"Newport News, VA (city)",54.4
"Craig, VA",35.8,"Page, VA",25.1,"Norfolk, VA (city)",48.8
"Culpeper, VA",38.0,"Powhatan, VA",46.7,"Petersburg, VA (city)",38.3
"Cumberland, VA",30.2,"Prince Edward, VA",41.5,"Poquoson, VA (city)",61.5
"Dinwiddie, VA",32.0,"Prince George, VA",49.9,"Portsmouth, VA (city)",45.8
"Essex, VA",38.7,"Prince William, VA",63.9,"Richmond, VA (city)",51.6
"Fairfax, VA",76.9,"Rappahannock, VA",45.9,"Roanoke, VA (city)",45.6
"Fauquier, VA",56.6,"Richmond, VA",28.7,"Salem, VA (city)",49.8
"Fluvanna, VA",47.5,"Roanoke, VA",57.9,"Staunton, VA (city)",44.5
"Frederick, VA",42.9,"Rockbridge, VA",38.6,"Suffolk, VA (city)",47.2
"Giles, VA",35.1,"Rockingham, VA",37.1,"Virginia Beach, VA (city)",64.5
"Gloucester, VA",50.1,"Shenandoah, VA",36.9,"Waynesboro, VA (city)",44.0
"Goochland, VA",49.4,"Spotsylvania, VA",52.2,"Williamsburg, VA (city)",68.8
"Greene, VA",43.7,"Stafford, VA",60.7,"Winchester, VA (city)",48.7
"Hanover, VA",57.8,"Surry, VA",37.4,"Berkeley, WV",37.2
"Henrico, VA",62.9,"Warren, VA",37.8,"Grant, WV",27.7
"Highland, VA",34.6,"Westmoreland, VA",35.9,"Greenbrier, WV",32.2
"Isle of Wight, VA",45.7,"York, VA",70.5,"Hampshire, WV",27.1
"James City, VA",68.4,"Alexandria, VA (city)",74.2,"Hardy, WV",25.7
"King and Queen, VA",31.0,"Bedford, VA (city)",38.5,"Jefferson, WV",44.4
"King George, VA",48.0,"Buena Vista, VA (city)",35.0,"Mineral, WV",33.9
"King William, VA",40.9,"Charlottesville, VA (city)",59.4,"Monroe, WV",26.9
"Lancaster, VA",46.5,"Chesapeake, VA (city)",57.4,"Morgan, WV",29.8
"Loudoun, VA",74.9,"Colonial Heights, VA (city)",49.2,"Pendleton, WV",29.4
"Louisa, VA",36.9,"Covington, VA (city)",31.6,"Pocahontas, WV",28.3
"Lunenburg, VA",31.8,"Fairfax, VA (city)",69.1,"Preston, WV",26.9
"Madison, VA",38.8,"Falls Church, VA (city)",83.3,"Randolph, WV",30.6
"Mathews, VA",47.0,"Fredericksburg, VA (city)",52.7,"Tucker, WV",27.0
,,,,United States,51.8
,,,,,79
