Name: “Table 1 of 1 on page 21 of 156”,Name: “Table 1 of 1 on page 21 of 156”,Name: “Table 1 of 1 on page 21 of 156”,Name: “Table 1 of 1 on page 21 of 156”,Name: “Table 1 of 1 on page 21 of 156”,Name: “Table 1 of 1 on page 21 of 156”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,General Population,General Population
,,Total Population,Total Population,,
"Botetourt, VA","32,228","Middlesex, VA","10,615","Hampton, VA (city)","145,017"
"Buckingham, VA","16,099","Montgomery, VA","84,541","Harrisonburg, VA (city)","40,885"
"Campbell, VA","52,667","Nelson, VA","15,161","Hopewell, VA (city)","22,731"
"Caroline, VA","26,731","New Kent, VA","16,852","Lexington, VA (city)","6,739"
"Charles City, VA","7,221","Northampton, VA","13,609","Lynchburg, VA (city)","67,720"
"Charlotte, VA","12,491","Northumberland, VA","12,820","Manassas, VA (city)","36,638"
"Chesterfield, VA","296,718","Nottoway, VA","15,572","Manassas Park, VA (city)","11,642"
"Clarke, VA","14,565","Orange, VA","31,740","Newport News, VA (city)","178,281"
"Craig, VA","5,179","Page, VA","24,104","Norfolk, VA (city)","229,112"
"Culpeper, VA","44,622","Powhatan, VA","27,649","Petersburg, VA (city)","32,445"
"Cumberland, VA","9,465","Prince Edward, VA","20,530","Poquoson, VA (city)","11,918"
"Dinwiddie, VA","25,695","Prince George, VA","36,184","Portsmouth, VA (city)","101,377"
"Essex, VA","10,633","Prince William, VA","357,503","Richmond, VA (city)","192,913"
"Fairfax, VA","1,010,443","Rappahannock, VA","7,203","Roanoke, VA (city)","91,552"
"Fauquier, VA","66,170","Richmond, VA","9,142","Salem, VA (city)","24,825"
"Fluvanna, VA","25,058","Roanoke, VA","90,482","Staunton, VA (city)","23,334"
"Frederick, VA","71,187","Rockbridge, VA","21,337","Suffolk, VA (city)","81,071"
"Giles, VA","17,403","Rockingham, VA","72,564","Virginia Beach, VA (city)","435,619"
"Gloucester, VA","38,293","Shenandoah, VA","40,051","Waynesboro, VA (city)","21,454"
"Goochland, VA","20,085","Spotsylvania, VA","119,529","Williamsburg, VA (city)","11,793"
"Greene, VA","17,709","Stafford, VA","120,170","Winchester, VA (city)","25,265"
"Hanover, VA","98,983","Surry, VA","7,119","Berkeley, WV","97,534"
"Henrico, VA","284,399","Warren, VA","36,102","Grant, WV","11,915"
"Highland, VA","2,510","Westmoreland, VA","17,188","Greenbrier, WV","34,850"
"Isle of Wight, VA","34,723","York, VA","61,879","Hampshire, WV","22,480"
"James City, VA","59,741","Alexandria, VA (city)","136,974","Hardy, WV","13,420"
"King and Queen, VA","6,903","Bedford, VA (city)","6,249","Jefferson, WV","50,443"
"King George, VA","21,780","Buena Vista, VA (city)","6,457","Mineral, WV","26,928"
"King William, VA","15,381","Charlottesville, VA (city)","40,315","Monroe, WV","13,510"
"Lancaster, VA","11,519","Chesapeake, VA (city)","220,560","Morgan, WV","16,337"
"Loudoun, VA","268,817","Colonial Heights, VA (city)","17,676","Pendleton, WV","7,679"
"Louisa, VA","31,226","Covington, VA (city)","6,073","Pocahontas, WV","8,755"
"Lunenburg, VA","13,219","Fairfax, VA (city)","22,422","Preston, WV","30,384"
"Madison, VA","13,613","Falls Church, VA (city)","10,799","Randolph, WV","28,465"
"Mathews, VA","9,184","Fredericksburg, VA (city)","21,273","Tucker, WV","6,856"
,,,,United States,"299,398,484"
,,,,,15
