Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”,Name: “Table 1 of 1 on page 57 of 156”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,,Economy and Commerce,Economy and Commerce,Economy and Commerce,Economy and Commerce
,,,Earnings by Industry,Earnings by Industry,Earnings by Industry,Earnings by Industry,Earnings by Industry,,,,
,,,,,,,,"In this data set, data for independent","In this data set, data for independent","In this data set, data for independent",
,,,,,,,,cities are combined with data for their,cities are combined with data for their,cities are combined with data for their,
,,,,,,,,"corresponding county, except for 11 cities","corresponding county, except for 11 cities","corresponding county, except for 11 cities","corresponding county, except for 11 cities"
,,,,,,,,listed in the table on these two pages.,listed in the table on these two pages.,listed in the table on these two pages.,
ANR,CM,SS,GOV,ANR,CM,SS,GOV,ANR,CM,SS,GOV
"Botetourt, VA 4.2",37.5 45.2 13.2,37.5 45.2 13.2,37.5 45.2 13.2,"Middlesex, VA 3.8",15.9 51.5 28.8,15.9 51.5 28.8,15.9 51.5 28.8,"Hampton, VA (city) 0.3",11.1,36.1 52.5,
"Buckingham, VA 10.9 18.2 41.0 29.9","Buckingham, VA 10.9 18.2 41.0 29.9","Buckingham, VA 10.9 18.2 41.0 29.9","Buckingham, VA 10.9 18.2 41.0 29.9","Montgomery, VA 0.6",28.5 36.0 35.0,28.5 36.0 35.0,28.5 36.0 35.0,"Harrisonburg, VA (city)",,,
"Campbell, VA 0.5",36.5 52.6 10.5,36.5 52.6 10.5,36.5 52.6 10.5,"Nelson, VA 5.4",19.5 55.7 19.4,19.5 55.7 19.4,19.5 55.7 19.4,"Hopewell, VA (city)",,,
"Caroline, VA 3.2",18.1 49.1 29.7,18.1 49.1 29.7,18.1 49.1 29.7,"New Kent, VA 2.9",25.0 50.0 22.0,25.0 50.0 22.0,25.0 50.0 22.0,"Lexington, VA (city)",,,
"Charles City, VA 3.0",30.3 47.8 18.9,30.3 47.8 18.9,30.3 47.8 18.9,"Northampton, VA 10.4 14.4 57.2 18.1","Northampton, VA 10.4 14.4 57.2 18.1","Northampton, VA 10.4 14.4 57.2 18.1","Northampton, VA 10.4 14.4 57.2 18.1","Lynchburg, VA (city)",,,
"Charlotte, VA 3.3",38.1 35.5 23.1,38.1 35.5 23.1,38.1 35.5 23.1,"Northumberland, VA 4.4",34.1 42.0 19.6,34.1 42.0 19.6,34.1 42.0 19.6,"Manassas, VA (city)",,,
"Chesterfield, VA 0.6",26.6 56.8 16.0,26.6 56.8 16.0,26.6 56.8 16.0,"Nottoway, VA 2.9",17.0 36.7 43.4,17.0 36.7 43.4,17.0 36.7 43.4,"Manassas Park, VA (city)",,,
"Clarke, VA 2.9",44.1 38.4 14.5,44.1 38.4 14.5,44.1 38.4 14.5,"Orange, VA 3.1",32.6 42.1 22.2,32.6 42.1 22.2,32.6 42.1 22.2,"Newport News, VA (city) 0.3",32.2 43.2 24.4,32.2 43.2 24.4,
"Craig, VA 5.2",10.1 48.2 36.4,10.1 48.2 36.4,10.1 48.2 36.4,"Page, VA 6.9",37.0 35.2 20.9,37.0 35.2 20.9,37.0 35.2 20.9,"Norfolk, VA (city) 0.3",11.7,37.7 50.3,
"Culpeper, VA 2.6",19.3 58.9 19.3,19.3 58.9 19.3,19.3 58.9 19.3,"Powhatan, VA 4.1",26.5 33.1 36.3,26.5 33.1 36.3,26.5 33.1 36.3,"Petersburg, VA (city)",,,
"Cumberland, VA 9.8",17.0 44.0 29.2,17.0 44.0 29.2,17.0 44.0 29.2,"Prince Edward, VA 1.0",11.5,59.8 27.7,59.8 27.7,"Poquoson, VA (city)",,,
"Dinwiddie, VA 1.1",23.1 46.0 29.9,23.1 46.0 29.9,23.1 46.0 29.9,"Prince George, VA 0.6",21.4 24.4 53.6,21.4 24.4 53.6,21.4 24.4 53.6,"Portsmouth, VA (city) 0.2",8.8,33.8 57.2,
