Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”,Name: “Table 1 of 1 on page 133 of 156”
Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,,Land Use
,Domestic Water Use,Domestic Water Use,Domestic Water Use,,
"Botetourt, VA",536.7,"Middlesex, VA",71.5,"Hampton, VA (city)",7.8
"Buckingham, VA",78.1,"Montgomery, VA",113.7,"Harrisonburg, VA (city)",10.1
"Campbell, VA",107.5,"Nelson, VA",59.6,"Hopewell, VA (city)",940.0
"Caroline, VA",60.1,"New Kent, VA","2,126.3","Lexington, VA (city)",0.0
"Charles City, VA",72.2,"Northampton, VA",68.8,"Lynchburg, VA (city)",7.2
"Charlotte, VA",70.6,"Northumberland, VA",59.5,"Manassas, VA (city)",75.1
"Chesterfield, VA",134.0,"Nottoway, VA",63.0,"Manassas Park, VA (city)",43.7
"Clarke, VA",83.8,"Orange, VA",52.2,"Newport News, VA (city)",158.3
"Craig, VA",57.0,"Page, VA",107.9,"Norfolk, VA (city)",9.9
"Culpeper, VA",95.4,"Powhatan, VA",69.3,"Petersburg, VA (city)",0.0
"Cumberland, VA",74.3,"Prince Edward, VA",97.4,"Poquoson, VA (city)",0.0
"Dinwiddie, VA",55.4,"Prince George, VA",36.0,"Portsmouth, VA (city)",0.0
"Essex, VA",92.1,"Prince William, VA",250.9,"Richmond, VA (city)",450.1
"Fairfax, VA",81.2,"Rappahannock, VA",78.8,"Roanoke, VA (city)",0.0
"Fauquier, VA",78.5,"Richmond, VA",49.9,"Salem, VA (city)",109.1
"Fluvanna, VA",71.3,"Roanoke, VA",163.8,"Staunton, VA (city)",0.0
"Frederick, VA",76.3,"Rockbridge, VA",190.3,"Suffolk, VA (city)","1,261.6"
"Giles, VA",39.0,"Rockingham, VA",240.3,"Virginia Beach, VA (city)",7.3
"Gloucester, VA",87.1,"Shenandoah, VA",112.6,"Waynesboro, VA (city)",155.7
"Goochland, VA",30.8,"Spotsylvania, VA",42.9,"Williamsburg, VA (city)",0.0
"Greene, VA",40.0,"Stafford, VA",87.7,"Winchester, VA (city)",0.0
"Hanover, VA",65.9,"Surry, VA",74.7,"Berkeley, WV",118.0
"Henrico, VA",16.6,"Warren, VA",340.4,"Grant, WV",95.6
"Highland, VA",94.5,"Westmoreland, VA",86.1,"Greenbrier, WV",110.6
"Isle of Wight, VA",88.5,"York, VA",588.8,"Hampshire, WV",28.2
"James City, VA",237.8,"Alexandria, VA (city)",9.5,"Hardy, WV",237.6
"King and Queen, VA",72.4,"Bedford, VA (city)",0.0,"Jefferson, WV",52.4
"King George, VA",60.7,"Buena Vista, VA (city)",0.0,"Mineral, WV",63.9
"King William, VA",92.8,"Charlottesville, VA (city)",0.0,"Monroe, WV",33.6
"Lancaster, VA",70.9,"Chesapeake, VA (city)",74.2,"Morgan, WV",48.9
"Loudoun, VA",134.1,"Colonial Heights, VA (city)",2.4,"Pendleton, WV",54.9
"Louisa, VA",74.9,"Covington, VA (city)",377.8,"Pocahontas, WV",70.1
"Lunenburg, VA",74.5,"Fairfax, VA (city)",0.0,"Preston, WV",48.4
"Madison, VA",64.7,"Falls Church, VA (city)",0.0,"Randolph, WV",97.0
"Mathews, VA",70.6,"Fredericksburg, VA (city)",50.8,"Tucker, WV",95.6
,,,,United States,164.5
,,,,,127
