Name: “Table 1 of 1 on page 33 of 156”,Name: “Table 1 of 1 on page 33 of 156”,Name: “Table 1 of 1 on page 33 of 156”,Name: “Table 1 of 1 on page 33 of 156”,Name: “Table 1 of 1 on page 33 of 156”,Name: “Table 1 of 1 on page 33 of 156”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,General Population,General Population
,Projected Population Change,Projected Population Change,Projected Population Change,,
,,,,"In this data set, data for independent",
,,,,cities are combined with data for their,
,,,,"corresponding county, except for 11 cities","corresponding county, except for 11 cities"
,,,,listed in the table on these two pages.,
"Botetourt, VA",45.4,"Middlesex, VA",37.1,"Hampton, VA (city)",13.8
"Buckingham, VA",24.8,"Montgomery, VA",26.3,"Harrisonburg, VA (city)",
"Campbell, VA",1.5,"Nelson, VA",10.9,"Hopewell, VA (city)",
"Caroline, VA",27.6,"New Kent, VA",27.2,"Lexington, VA (city)",
"Charles City, VA",6.1,"Northampton, VA",-0.6,"Lynchburg, VA (city)",
"Charlotte, VA",3.6,"Northumberland, VA",9.6,"Manassas, VA (city)",
"Chesterfield, VA",57.4,"Nottoway, VA",7.6,"Manassas Park, VA (city)",
"Clarke, VA",3.7,"Orange, VA",15.9,"Newport News, VA (city)",11.3
"Craig, VA",20.3,"Page, VA",3.5,"Norfolk, VA (city)",-1.0
"Culpeper, VA",22.8,"Powhatan, VA",44.2,"Petersburg, VA (city)",
"Cumberland, VA",9.9,"Prince Edward, VA",13.9,"Poquoson, VA (city)",
"Dinwiddie, VA",0.6,"Prince George, VA",-0.2,"Portsmouth, VA (city)",0.4
"Essex, VA",10.1,"Prince William, VA",62.0,"Richmond, VA (city)",-6.8
"Fairfax, VA",39.8,"Rappahannock, VA",27.9,"Roanoke, VA (city)",0.2
"Fauquier, VA",29.0,"Richmond, VA",11.5,"Salem, VA (city)",
"Fluvanna, VA",18.7,"Roanoke, VA",18.4,"Staunton, VA (city)",
"Frederick, VA",33.8,"Rockbridge, VA",10.2,"Suffolk, VA (city)",27.2
"Giles, VA",6.3,"Rockingham, VA",34.6,"Virginia Beach, VA (city)",31.5
"Gloucester, VA",32.1,"Shenandoah, VA",18.5,"Waynesboro, VA (city)",
"Goochland, VA",36.8,"Spotsylvania, VA",48.3,"Williamsburg, VA (city)",
"Greene, VA",32.9,"Stafford, VA",52.8,"Winchester, VA (city)",
"Hanover, VA",32.8,"Surry, VA",15.4,"Berkeley, WV",26.8
"Henrico, VA",28.6,"Warren, VA",28.1,"Grant, WV",7.4
"Highland, VA",2.1,"Westmoreland, VA",11.9,"Greenbrier, WV",0.5
"Isle of Wight, VA",18.3,"York, VA",45.2,"Hampshire, WV",25.1
"James City, VA",41.2,"Alexandria, VA (city)",13.8,"Hardy, WV",20.2
"King and Queen, VA",2.7,"Bedford, VA (city)",,"Jefferson, WV",23.5
"King George, VA",26.9,"Buena Vista, VA (city)",,"Mineral, WV",8.2
"King William, VA",23.1,"Charlottesville, VA (city)",,"Monroe, WV",12.6
"Lancaster, VA",19.7,"Chesapeake, VA (city)",53.1,"Morgan, WV",17.3
"Loudoun, VA",73.4,"Colonial Heights, VA (city)",,"Pendleton, WV",11.7
"Louisa, VA",45.6,"Covington, VA (city)",,"Pocahontas, WV",5.6
"Lunenburg, VA",11.2,"Fairfax, VA (city)",,"Preston, WV",4.4
"Madison, VA",25.8,"Falls Church, VA (city)",,"Randolph, WV",2.2
"Mathews, VA",15.7,"Fredericksburg, VA (city)",,"Tucker, WV",3.8
,,,,United States,21.5
,,,,,27
