Name: “Table 1 of 1 on page 137 of 156”,Name: “Table 1 of 1 on page 137 of 156”,Name: “Table 1 of 1 on page 137 of 156”,Name: “Table 1 of 1 on page 137 of 156”,Name: “Table 1 of 1 on page 137 of 156”,Name: “Table 1 of 1 on page 137 of 156”
Table: 135,Table: 135,Table: 135,Table: 135,Table: 135,Table: 135
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,,Land Use
,,Urbanization,,,
"Botetourt, VA",2,"Middlesex, VA",4,"Hampton, VA (city)",1
"Buckingham, VA",7,"Montgomery, VA",2,"Harrisonburg, VA (city)",2
"Campbell, VA",2,"Nelson, VA",2,"Hopewell, VA (city)",1
"Caroline, VA",1,"New Kent, VA",1,"Lexington, VA (city)",6
"Charles City, VA",1,"Northampton, VA",12,"Lynchburg, VA (city)",2
"Charlotte, VA",7,"Northumberland, VA",12,"Manassas, VA (city)",1
"Chesterfield, VA",1,"Nottoway, VA",4,"Manassas Park, VA (city)",1
"Clarke, VA",1,"Orange, VA",4,"Newport News, VA (city)",1
"Craig, VA",2,"Page, VA",6,"Norfolk, VA (city)",1
"Culpeper, VA",4,"Powhatan, VA",1,"Petersburg, VA (city)",1
"Cumberland, VA",1,"Prince Edward, VA",4,"Poquoson, VA (city)",1
"Dinwiddie, VA",1,"Prince George, VA",1,"Portsmouth, VA (city)",1
"Essex, VA",4,"Prince William, VA",1,"Richmond, VA (city)",1
"Fairfax, VA",1,"Rappahannock, VA",4,"Roanoke, VA (city)",2
"Fauquier, VA",1,"Richmond, VA",12,"Salem, VA (city)",2
"Fluvanna, VA",2,"Roanoke, VA",2,"Staunton, VA (city)",5
"Frederick, VA",2,"Rockbridge, VA",6,"Suffolk, VA (city)",1
"Giles, VA",2,"Rockingham, VA",2,"Virginia Beach, VA (city)",1
"Gloucester, VA",1,"Shenandoah, VA",6,"Waynesboro, VA (city)",5
"Goochland, VA",1,"Spotsylvania, VA",1,"Williamsburg, VA (city)",1
"Greene, VA",2,"Stafford, VA",1,"Winchester, VA (city)",2
"Hanover, VA",1,"Surry, VA",1,"Berkeley, WV",2
"Henrico, VA",1,"Warren, VA",1,"Grant, WV",7
"Highland, VA",10,"Westmoreland, VA",11,"Greenbrier, WV",11
"Isle of Wight, VA",1,"York, VA",1,"Hampshire, WV",2
"James City, VA",1,"Alexandria, VA (city)",1,"Hardy, WV",7
"King and Queen, VA",1,"Bedford, VA (city)",2,"Jefferson, WV",1
"King George, VA",4,"Buena Vista, VA (city)",6,"Mineral, WV",2
"King William, VA",1,"Charlottesville, VA (city)",2,"Monroe, WV",7
"Lancaster, VA",12,"Chesapeake, VA (city)",1,"Morgan, WV",2
"Loudoun, VA",1,"Colonial Heights, VA (city)",1,"Pendleton, WV",7
"Louisa, VA",1,"Covington, VA (city)",6,"Pocahontas, WV",12
"Lunenburg, VA",12,"Fairfax, VA (city)",1,"Preston, WV",2
"Madison, VA",7,"Falls Church, VA (city)",1,"Randolph, WV",11
"Mathews, VA",1,"Fredericksburg, VA (city)",1,"Tucker, WV",12
,,,,,131
