Name: “Table 1 of 1 on page 37 of 156”,Name: “Table 1 of 1 on page 37 of 156”,Name: “Table 1 of 1 on page 37 of 156”,Name: “Table 1 of 1 on page 37 of 156”,Name: “Table 1 of 1 on page 37 of 156”,Name: “Table 1 of 1 on page 37 of 156”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,General Population,General Population
,Population Density,Population Density,Population Density,,
"Botetourt, VA",59.4,"Middlesex, VA",81.5,"Hampton, VA (city)","2,800.6"
"Buckingham, VA",32.0,"Montgomery, VA",217.8,"Harrisonburg, VA (city)","2,328.3"
"Campbell, VA",104.4,"Nelson, VA",32.1,"Hopewell, VA (city)","2,219.8"
"Caroline, VA",50.2,"New Kent, VA",80.4,"Lexington, VA (city)","2,706.4"
"Charles City, VA",39.5,"Northampton, VA",65.6,"Lynchburg, VA (city)","1,371.1"
"Charlotte, VA",26.3,"Northumberland, VA",66.7,"Manassas, VA (city)","3,689.6"
"Chesterfield, VA",696.9,"Nottoway, VA",49.5,"Manassas Park, VA (city)","4,675.5"
"Clarke, VA",82.5,"Orange, VA",92.9,"Newport News, VA (city)","2,610.6"
"Craig, VA",15.7,"Page, VA",77.5,"Norfolk, VA (city)","4,264.1"
"Culpeper, VA",117.1,"Powhatan, VA",105.8,"Petersburg, VA (city)","1,418.1"
"Cumberland, VA",31.7,"Prince Edward, VA",58.2,"Poquoson, VA (city)",767.9
"Dinwiddie, VA",51.0,"Prince George, VA",136.2,"Portsmouth, VA (city)","3,057.2"
"Essex, VA",41.2,"Prince William, VA","1,058.4","Richmond, VA (city)","3,211.5"
"Fairfax, VA","2,557.8","Rappahannock, VA",27.0,"Roanoke, VA (city)","2,135.1"
"Fauquier, VA",101.8,"Richmond, VA",47.7,"Salem, VA (city)","1,701.5"
"Fluvanna, VA",87.2,"Roanoke, VA",360.7,"Staunton, VA (city)","1,183.9"
"Frederick, VA",171.7,"Rockbridge, VA",35.6,"Suffolk, VA (city)",202.7
"Giles, VA",48.7,"Rockingham, VA",85.3,"Virginia Beach, VA (city)","1,754.5"
"Gloucester, VA",176.8,"Shenandoah, VA",78.2,"Waynesboro, VA (city)","1,396.7"
"Goochland, VA",70.6,"Spotsylvania, VA",298.2,"Williamsburg, VA (city)","1,380.9"
"Greene, VA",113.1,"Stafford, VA",444.5,"Winchester, VA (city)","2,707.9"
"Hanover, VA",209.4,"Surry, VA",25.5,"Berkeley, WV",303.7
"Henrico, VA","1,194.7","Warren, VA",168.9,"Grant, WV",25.0
"Highland, VA",6.0,"Westmoreland, VA",30.5,"Greenbrier, WV",34.1
"Isle of Wight, VA",109.9,"York, VA",585.7,"Hampshire, WV",35.0
"James City, VA",418.0,"Alexandria, VA (city)","9,023.3","Hardy, WV",23.0
"King and Queen, VA",21.8,"Bedford, VA (city)",907.0,"Jefferson, WV",240.7
"King George, VA",121.0,"Buena Vista, VA (city)",945.4,"Mineral, WV",82.2
"King William, VA",55.8,"Charlottesville, VA (city)","3,929.3","Monroe, WV",28.5
"Lancaster, VA",86.5,"Chesapeake, VA (city)",647.3,"Morgan, WV",71.3
"Loudoun, VA",517.1,"Colonial Heights, VA (city)","2,363.1","Pendleton, WV",11.0
"Louisa, VA",62.8,"Covington, VA (city)","1,071.1","Pocahontas, WV",9.3
"Lunenburg, VA",30.6,"Fairfax, VA (city)","3,553.4","Preston, WV",46.9
"Madison, VA",42.4,"Falls Church, VA (city)","5,426.6","Randolph, WV",27.4
"Mathews, VA",107.2,"Fredericksburg, VA (city)","2,022.1","Tucker, WV",16.4
,,,,United States,84.6
,,,,,31
