Name: “Table 1 of 1 on page 101 of 156”,Name: “Table 1 of 1 on page 101 of 156”,Name: “Table 1 of 1 on page 101 of 156”,Name: “Table 1 of 1 on page 101 of 156”,Name: “Table 1 of 1 on page 101 of 156”,Name: “Table 1 of 1 on page 101 of 156”
Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Administration and Government,Administration and Government
,Congressional Districts,Congressional Districts,Congressional Districts,,
"Botetourt, VA",6,"Middlesex, VA",1,"Hampton, VA (city)","1, 2, 3"
"Buckingham, VA",5,"Montgomery, VA",9,"Harrisonburg, VA (city)",6
"Campbell, VA",5,"Nelson, VA",5,"Hopewell, VA (city)",4
"Caroline, VA","1, 7","New Kent, VA",3,"Lexington, VA (city)",6
"Charles City, VA",3,"Northampton, VA",2,"Lynchburg, VA (city)",6
"Charlotte, VA",5,"Northumberland, VA",1,"Manassas, VA (city)",10
"Chesterfield, VA","4, 7","Nottoway, VA",4,"Manassas Park, VA (city)",10
"Clarke, VA",10,"Orange, VA",7,"Newport News, VA (city)","1, 3"
"Craig, VA",9,"Page, VA",7,"Norfolk, VA (city)","2, 3"
"Culpeper, VA",7,"Powhatan, VA",4,"Petersburg, VA (city)",4
"Cumberland, VA",5,"Prince Edward, VA",5,"Poquoson, VA (city)",1
"Dinwiddie, VA",4,"Prince George, VA","3, 4","Portsmouth, VA (city)",3
"Essex, VA",1,"Prince William, VA","1, 10, 11","Richmond, VA (city)","3, 7"
"Fairfax, VA","8, 10, 11","Rappahannock, VA",7,"Roanoke, VA (city)",6
"Fauquier, VA","1, 10","Richmond, VA",1,"Salem, VA (city)",6
"Fluvanna, VA",5,"Roanoke, VA","6, 9","Staunton, VA (city)",6
"Frederick, VA",10,"Rockbridge, VA",6,"Suffolk, VA (city)",4
"Giles, VA",9,"Rockingham, VA",6,"Virginia Beach, VA (city)",2
"Gloucester, VA",1,"Shenandoah, VA",6,"Waynesboro, VA (city)",6
"Goochland, VA",7,"Spotsylvania, VA","1, 7","Williamsburg, VA (city)",1
"Greene, VA",5,"Stafford, VA",1,"Winchester, VA (city)",10
"Hanover, VA",7,"Surry, VA",3,"Berkeley, WV",2
"Henrico, VA","3, 7","Warren, VA",10,"Grant, WV",1
"Highland, VA",6,"Westmoreland, VA",1,"Greenbrier, WV",3
"Isle of Wight, VA","3, 4","York, VA",1,"Hampshire, WV",2
"James City, VA","1, 3","Alexandria, VA (city)",8,"Hardy, WV",2
"King and Queen, VA",1,"Bedford, VA (city)",5,"Jefferson, WV",2
"King George, VA",1,"Buena Vista, VA (city)",6,"Mineral, WV",1
"King William, VA",1,"Charlottesville, VA (city)",5,"Monroe, WV",3
"Lancaster, VA",1,"Chesapeake, VA (city)",4,"Morgan, WV",2
"Loudoun, VA",10,"Colonial Heights, VA (city)",4,"Pendleton, WV",2
"Louisa, VA",7,"Covington, VA (city)","6, 9","Pocahontas, WV",3
"Lunenburg, VA",5,"Fairfax, VA (city)",11,"Preston, WV",1
"Madison, VA",7,"Falls Church, VA (city)",8,"Randolph, WV",2
"Mathews, VA",1,"Fredericksburg, VA (city)",1,"Tucker, WV",1
,,,,,95
