Name: “Table 1 of 1 on page 45 of 156”,Name: “Table 1 of 1 on page 45 of 156”,Name: “Table 1 of 1 on page 45 of 156”,Name: “Table 1 of 1 on page 45 of 156”,Name: “Table 1 of 1 on page 45 of 156”,Name: “Table 1 of 1 on page 45 of 156”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,General Population,General Population
,Projected Population Density,Projected Population Density,Projected Population Density,,
,,,,"In this data set, data for independent",
,,,,cities are combined with data for their,
,,,,"corresponding county, except for 11 cities","corresponding county, except for 11 cities"
,,,,listed in the table on these two pages.,
"Botetourt, VA",85.8,"Middlesex, VA",110.4,"Hampton, VA (city)","3,198.5"
"Buckingham, VA",34.5,"Montgomery, VA",313.7,"Harrisonburg, VA (city)",
"Campbell, VA",218.7,"Nelson, VA",35.4,"Hopewell, VA (city)",
"Caroline, VA",61.2,"New Kent, VA",97.7,"Lexington, VA (city)",
"Charles City, VA",41.3,"Northampton, VA",64.9,"Lynchburg, VA (city)",
"Charlotte, VA",27.0,"Northumberland, VA",73.4,"Manassas, VA (city)",
"Chesterfield, VA","1,067.9","Nottoway, VA",53.2,"Manassas Park, VA (city)",
"Clarke, VA",83.4,"Orange, VA",102.6,"Newport News, VA (city)","2,932.4"
"Craig, VA",18.8,"Page, VA",79.3,"Norfolk, VA (city)","4,275.4"
"Culpeper, VA",137.1,"Powhatan, VA",146.8,"Petersburg, VA (city)",
"Cumberland, VA",34.5,"Prince Edward, VA",66.0,"Poquoson, VA (city)",
"Dinwiddie, VA",142.4,"Prince George, VA",215.0,"Portsmouth, VA (city)","3,034.0"
"Essex, VA",44.8,"Prince William, VA","1,840.3","Richmond, VA (city)","3,004.9"
"Fairfax, VA","3,601.3","Rappahannock, VA",34.9,"Roanoke, VA (city)","2,165.0"
"Fauquier, VA",129.0,"Richmond, VA",53.1,"Salem, VA (city)",
"Fluvanna, VA",102.3,"Roanoke, VA",503.2,"Staunton, VA (city)",
"Frederick, VA",297.3,"Rockbridge, VA",62.4,"Suffolk, VA (city)",251.2
"Giles, VA",50.9,"Rockingham, VA",173.1,"Virginia Beach, VA (city)","2,322.2"
"Gloucester, VA",230.4,"Shenandoah, VA",90.7,"Waynesboro, VA (city)",
"Goochland, VA",93.1,"Spotsylvania, VA",494.8,"Williamsburg, VA (city)",
"Greene, VA",147.9,"Stafford, VA",666.1,"Winchester, VA (city)",
"Hanover, VA",273.7,"Surry, VA",29.0,"Berkeley, WV",368.8
"Henrico, VA","1,515.5","Warren, VA",213.1,"Grant, WV",26.3
"Highland, VA",6.1,"Westmoreland, VA",84.1,"Greenbrier, WV",34.5
"Isle of Wight, VA",125.2,"York, VA",881.3,"Hampshire, WV",42.9
"James City, VA",645.9,"Alexandria, VA (city)","10,144.7","Hardy, WV",27.4
"King and Queen, VA",22.1,"Bedford, VA (city)",,"Jefferson, WV",290.0
"King George, VA",145.5,"Buena Vista, VA (city)",,"Mineral, WV",89.2
"King William, VA",65.8,"Charlottesville, VA (city)",,"Monroe, WV",32.1
"Lancaster, VA",104.2,"Chesapeake, VA (city)",983.7,"Morgan, WV",82.0
"Loudoun, VA",852.1,"Colonial Heights, VA (city)",,"Pendleton, WV",12.6
"Louisa, VA",87.9,"Covington, VA (city)",,"Pocahontas, WV",9.9
"Lunenburg, VA",34.0,"Fairfax, VA (city)",,"Preston, WV",48.5
"Madison, VA",52.4,"Falls Church, VA (city)",,"Randolph, WV",28.1
"Mathews, VA",124.1,"Fredericksburg, VA (city)",,"Tucker, WV",17.2
,,,,United States,101.8
,,,,,39
