Name: “Table 1 of 1 on page 52 of 156”,Name: “Table 1 of 1 on page 52 of 156”,Name: “Table 1 of 1 on page 52 of 156”,Name: “Table 1 of 1 on page 52 of 156”,Name: “Table 1 of 1 on page 52 of 156”,Name: “Table 1 of 1 on page 52 of 156”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,
General Population,,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,,Rural Population,Rural Population,,
,,"Chenango, NY",83.1,"Huntingdon, PA",69.2
% total population in,,,,,
rural areas (2000),,"Cortland, NY",44.8,"Indiana, PA",62.0
,,"Delaware, NY",85.0,"Jefferson, PA",66.2
"Kent, DE",35.5,"Herkimer, NY",51.2,"Juniata, PA",84.9
"New Castle, DE",5.6,"Livingston, NY",54.9,"Lackawanna, PA",17.4
"Sussex, DE",53.0,"Madison, NY",58.2,"Lancaster, PA",24.7
"District of Columbia, DC",0.0,"Montgomery, NY",40.8,"Lebanon, PA",30.9
"Allegany, MD",25.9,"Oneida, NY",35.5,"Luzerne, PA",20.3
"Anne Arundel, MD",5.6,"Onondaga, NY",13.3,"Lycoming, PA",35.9
"Baltimore, MD",6.2,"Ontario, NY",50.5,"McKean, PA",63.4
"Calvert, MD",45.8,"Otsego, NY",73.8,"Mifflin, PA",55.9
"Caroline, MD",78.3,"Schoharie, NY",83.3,"Montour, PA",54.4
"Carroll, MD",43.0,"Schuyler, NY",79.8,"Northumberland, PA",37.4
"Cecil, MD",52.4,"Steuben, NY",62.3,"Perry, PA",86.2
"Charles, MD",33.7,"Tioga, NY",65.2,"Potter, PA",100.0
"Dorchester, MD",59.1,"Tompkins, NY",41.6,"Schuylkill, PA",36.8
"Frederick, MD",28.6,"Yates, NY",73.1,"Snyder, PA",71.1
"Garrett, MD",83.1,"Adams, PA",60.4,"Somerset, PA",74.8
"Harford, MD",22.3,"Bedford, PA",84.3,"Sullivan, PA",100.0
"Howard, MD",12.6,"Berks, PA",27.1,"Susquehanna, PA",81.5
"Kent, MD",73.9,"Blair, PA",26.0,"Tioga, PA",84.3
"Montgomery, MD",2.8,"Bradford, PA",72.1,"Union, PA",44.1
"Prince George's, MD",2.6,"Cambria, PA",32.4,"Wayne, PA",83.8
"Queen Anne's, MD",60.2,"Cameron, PA",43.1,"Wyoming, PA",84.9
"St. Mary's, MD",62.2,"Carbon, PA",50.3,"York, PA",28.7
"Somerset, MD",51.6,"Centre, PA",35.7,"Accomack, VA",80.8
"Talbot, MD",63.0,"Chester, PA",19.0,"Albemarle, VA",48.2
"Washington, MD",31.7,"Clearfield, PA",54.1,"Alleghany, VA",52.9
"Wicomico, MD",31.5,"Clinton, PA",50.5,"Amelia, VA",100.0
"Worcester, MD",36.6,"Columbia, PA",44.3,"Amherst, VA",63.0
"Baltimore, MD (city)",0.0,"Cumberland, PA",24.8,"Appomattox, VA",100.0
"Allegany, NY",79.2,"Dauphin, PA",14.7,"Arlington, VA",0.0
"Broome, NY",26.3,"Elk, PA",47.6,"Augusta, VA",77.8
"Cayuga, NY",52.5,"Franklin, PA",47.4,"Bath, VA",100.0
"Chemung, NY",26.3,"Fulton, PA",100.0,"Bedford, VA",85.2
46,,,,,
