Name: “Table 1 of 1 on page 77 of 156”,Name: “Table 1 of 1 on page 77 of 156”,Name: “Table 1 of 1 on page 77 of 156”,Name: “Table 1 of 1 on page 77 of 156”,Name: “Table 1 of 1 on page 77 of 156”,Name: “Table 1 of 1 on page 77 of 156”
Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Economy and Commerce,Economy and Commerce
,Median Household Income,Median Household Income,Median Household Income,,
"Botetourt, VA","53,211","Middlesex, VA","40,607","Hampton, VA (city)","40,936"
"Buckingham, VA","31,606","Montgomery, VA","35,319","Harrisonburg, VA (city)","31,565"
"Campbell, VA","40,058","Nelson, VA","40,000","Hopewell, VA (city)","34,422"
"Caroline, VA","44,212","New Kent, VA","61,001","Lexington, VA (city)","33,190"
"Charles City, VA","44,887","Northampton, VA","31,847","Lynchburg, VA (city)","32,997"
"Charlotte, VA","30,698","Northumberland, VA","40,139","Manassas, VA (city)","62,753"
"Chesterfield, VA","63,931","Nottoway, VA","32,179","Manassas Park, VA (city)","64,753"
"Clarke, VA","56,839","Orange, VA","49,082","Newport News, VA (city)","39,574"
"Craig, VA","39,826","Page, VA","35,720","Norfolk, VA (city)","33,777"
"Culpeper, VA","52,707","Powhatan, VA","60,864","Petersburg, VA (city)","29,419"
"Cumberland, VA","34,492","Prince Edward, VA","30,719","Poquoson, VA (city)","70,476"
"Dinwiddie, VA","44,269","Prince George, VA","50,649","Portsmouth, VA (city)","35,782"
"Essex, VA","38,770","Prince William, VA","75,302","Richmond, VA (city)","32,547"
"Fairfax, VA","83,890","Rappahannock, VA","53,062","Roanoke, VA (city)","32,807"
"Fauquier, VA","70,652","Richmond, VA","34,347","Salem, VA (city)","41,517"
"Fluvanna, VA","53,062","Roanoke, VA","52,577","Staunton, VA (city)","35,417"
"Frederick, VA","55,084","Rockbridge, VA","40,081","Suffolk, VA (city)","49,038"
"Giles, VA","37,241","Rockingham, VA","45,238","Virginia Beach, VA (city)","51,643"
"Gloucester, VA","48,760","Shenandoah, VA","43,893","Waynesboro, VA (city)","35,455"
"Goochland, VA","64,369","Spotsylvania, VA","67,722","Williamsburg, VA (city)","35,559"
"Greene, VA","51,221","Stafford, VA","78,498","Winchester, VA (city)","39,142"
"Hanover, VA","67,979","Surry, VA","39,489","Berkeley, WV","45,390"
"Henrico, VA","53,009","Warren, VA","49,193","Grant, WV","32,346"
"Highland, VA","32,852","Westmoreland, VA","37,866","Greenbrier, WV","30,694"
"Isle of Wight, VA","51,424","York, VA","68,310","Hampshire, WV","36,008"
"James City, VA","66,180","Alexandria, VA (city)","60,715","Hardy, WV","35,361"
"King and Queen, VA","37,738","Bedford, VA (city)","31,754","Jefferson, WV","51,930"
"King George, VA","61,066","Buena Vista, VA (city)","34,982","Mineral, WV","35,537"
"King William, VA","55,004","Charlottesville, VA (city)","31,246","Monroe, WV","31,069"
"Lancaster, VA","38,464","Chesapeake, VA (city)","56,174","Morgan, WV","39,804"
"Loudoun, VA","94,225","Colonial Heights, VA (city)","46,164","Pendleton, WV","32,779"
"Louisa, VA","44,726","Covington, VA (city)","32,622","Pocahontas, WV","28,733"
"Lunenburg, VA","29,724","Fairfax, VA (city)","69,704","Preston, WV","32,343"
"Madison, VA","42,948","Falls Church, VA (city)","82,906","Randolph, WV","30,901"
"Mathews, VA","48,088","Fredericksburg, VA (city)","37,406","Tucker, WV","31,209"
,,,,United States,"44,334"
,,,,,71
