Name: “Table 1 of 1 on page 73 of 156”,Name: “Table 1 of 1 on page 73 of 156”,Name: “Table 1 of 1 on page 73 of 156”,Name: “Table 1 of 1 on page 73 of 156”,Name: “Table 1 of 1 on page 73 of 156”,Name: “Table 1 of 1 on page 73 of 156”
Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Economy and Commerce,Economy and Commerce
,,Poverty,,,
"Botetourt, VA",6.0,"Middlesex, VA",11.6,"Hampton, VA (city)",12.5
"Buckingham, VA",17.3,"Montgomery, VA",14.9,"Harrisonburg, VA (city)",17.9
"Campbell, VA",11.1,"Nelson, VA",10.4,"Hopewell, VA (city)",15.5
"Caroline, VA",9.5,"New Kent, VA",5.5,"Lexington, VA (city)",15.8
"Charles City, VA",9.9,"Northampton, VA",17.6,"Lynchburg, VA (city)",17.8
"Charlotte, VA",15.2,"Northumberland, VA",11.8,"Manassas, VA (city)",7.5
"Chesterfield, VA",6.5,"Nottoway, VA",16.8,"Manassas Park, VA (city)",6.0
"Clarke, VA",6.1,"Orange, VA",8.0,"Newport News, VA (city)",13.4
"Craig, VA",9.1,"Page, VA",11.6,"Norfolk, VA (city)",18.8
"Culpeper, VA",8.8,"Powhatan, VA",5.7,"Petersburg, VA (city)",18.3
"Cumberland, VA",13.9,"Prince Edward, VA",18.7,"Poquoson, VA (city)",4.6
"Dinwiddie, VA",10.1,"Prince George, VA",8.6,"Portsmouth, VA (city)",15.9
"Essex, VA",11.7,"Prince William, VA",5.6,"Richmond, VA (city)",19.8
"Fairfax, VA",5.3,"Rappahannock, VA",6.6,"Roanoke, VA (city)",16.3
"Fauquier, VA",5.8,"Richmond, VA",15.8,"Salem, VA (city)",7.9
"Fluvanna, VA",6.2,"Roanoke, VA",6.6,"Staunton, VA (city)",12.5
"Frederick, VA",5.8,"Rockbridge, VA",9.3,"Suffolk, VA (city)",10.8
"Giles, VA",10.3,"Rockingham, VA",8.5,"Virginia Beach, VA (city)",7.8
"Gloucester, VA",8.7,"Shenandoah, VA",8.6,"Waynesboro, VA (city)",12.7
"Goochland, VA",6.9,"Spotsylvania, VA",5.7,"Williamsburg, VA (city)",17.3
"Greene, VA",7.8,"Stafford, VA",4.9,"Winchester, VA (city)",11.5
"Hanover, VA",5.1,"Surry, VA",10.7,"Berkeley, WV",11.2
"Henrico, VA",7.8,"Warren, VA",8.9,"Grant, WV",14.1
"Highland, VA",10.8,"Westmoreland, VA",13.3,"Greenbrier, WV",15.8
"Isle of Wight, VA",9.2,"York, VA",4.8,"Hampshire, WV",14.0
"James City, VA",6.6,"Alexandria, VA (city)",8.3,"Hardy, WV",12.5
"King and Queen, VA",11.2,"Bedford, VA (city)",15.1,"Jefferson, WV",9.0
"King George, VA",6.6,"Buena Vista, VA (city)",11.4,"Mineral, WV",14.0
"King William, VA",6.8,"Charlottesville, VA (city)",17.2,"Monroe, WV",14.3
"Lancaster, VA",12.3,"Chesapeake, VA (city)",8.7,"Morgan, WV",10.6
"Loudoun, VA",3.4,"Colonial Heights, VA (city)",7.3,"Pendleton, WV",12.1
"Louisa, VA",9.7,"Covington, VA (city)",12.9,"Pocahontas, WV",15.8
"Lunenburg, VA",17.1,"Fairfax, VA (city)",5.0,"Preston, WV",15.8
"Madison, VA",9.1,"Falls Church, VA (city)",2.6,"Randolph, WV",17.2
"Mathews, VA",8.3,"Fredericksburg, VA (city)",14.4,"Tucker, WV",14.5
,,,,United States,12.7
,,,,,67
