Name: “Table 1 of 1 on page 123 of 156”,Name: “Table 1 of 1 on page 123 of 156”,Name: “Table 1 of 1 on page 123 of 156”,Name: “Table 1 of 1 on page 123 of 156”,Name: “Table 1 of 1 on page 123 of 156”,Name: “Table 1 of 1 on page 123 of 156”
Table: 121,Table: 121,Table: 121,Table: 121,Table: 121,Table: 121
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,,Land Use
,,Farmland,,,
"Botetourt, VA",28.0,"Middlesex, VA",25.4,"Hampton, VA (city)",--
"Buckingham, VA",21.8,"Montgomery, VA",40.1,"Harrisonburg, VA (city)",--
"Campbell, VA",43.0,"Nelson, VA",28.0,"Hopewell, VA (city)",--
"Caroline, VA",17.4,"New Kent, VA",14.4,"Lexington, VA (city)",--
"Charles City, VA",24.5,"Northampton, VA",39.5,"Lynchburg, VA (city)",--
"Charlotte, VA",44.0,"Northumberland, VA",32.6,"Manassas, VA (city)",--
"Chesterfield, VA",8.6,"Nottoway, VA",35.5,"Manassas Park, VA (city)",--
"Clarke, VA",65.7,"Orange, VA",48.0,"Newport News, VA (city)",--
"Craig, VA",22.9,"Page, VA",32.2,"Norfolk, VA (city)",--
"Culpeper, VA",51.3,"Powhatan, VA",32.7,"Petersburg, VA (city)",--
"Cumberland, VA",32.8,"Prince Edward, VA",34.9,"Poquoson, VA (city)",--
"Dinwiddie, VA",28.7,"Prince George, VA",32.4,"Portsmouth, VA (city)",--
"Essex, VA",35.3,"Prince William, VA",15.1,"Richmond, VA (city)",--
"Fairfax, VA",3.9,"Rappahannock, VA",46.0,"Roanoke, VA (city)",--
"Fauquier, VA",57.3,"Richmond, VA",36.5,"Salem, VA (city)",--
"Fluvanna, VA",32.9,"Roanoke, VA",19.3,"Staunton, VA (city)",--
"Frederick, VA",42.5,"Rockbridge, VA",41.0,"Suffolk, VA (city)",27.6
"Giles, VA",29.9,"Rockingham, VA",45.6,"Virginia Beach, VA (city)",--
"Gloucester, VA",18.5,"Shenandoah, VA",40.6,"Waynesboro, VA (city)",--
"Goochland, VA",28.7,"Spotsylvania, VA",22.0,"Williamsburg, VA (city)",--
"Greene, VA",32.5,"Stafford, VA",15.1,"Winchester, VA (city)",--
"Hanover, VA",33.2,"Surry, VA",26.7,"Berkeley, WV",37.2
"Henrico, VA",18.5,"Warren, VA",35.8,"Grant, WV",35.2
"Highland, VA",36.1,"Westmoreland, VA",46.1,"Greenbrier, WV",29.5
"Isle of Wight, VA",42.8,"York, VA",1.1,"Hampshire, WV",33.8
"James City, VA",9.8,"Alexandria, VA (city)",--,"Hardy, WV",34.4
"King and Queen, VA",29.1,"Bedford, VA (city)",--,"Jefferson, WV",53.6
"King George, VA",27.7,"Buena Vista, VA (city)",--,"Mineral, WV",38.6
"King William, VA",34.8,"Charlottesville, VA (city)",--,"Monroe, WV",47.9
"Lancaster, VA",14.6,"Chesapeake, VA (city)",28.0,"Morgan, WV",15.7
"Loudoun, VA",49.5,"Colonial Heights, VA (city)",--,"Pendleton, WV",38.2
"Louisa, VA",27.4,"Covington, VA (city)",--,"Pocahontas, WV",20.5
"Lunenburg, VA",33.1,"Fairfax, VA (city)",--,"Preston, WV",34.3
"Madison, VA",50.0,"Falls Church, VA (city)",--,"Randolph, WV",15.2
"Mathews, VA",--,"Fredericksburg, VA (city)",--,"Tucker, WV",13.2
,,,,United States,41.4
,,,,,117
