Name: “Table 1 of 1 on page 20 of 156”,Name: “Table 1 of 1 on page 20 of 156”,Name: “Table 1 of 1 on page 20 of 156”,Name: “Table 1 of 1 on page 20 of 156”,Name: “Table 1 of 1 on page 20 of 156”,Name: “Table 1 of 1 on page 20 of 156”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,
General Population,,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,,Total Population,Total Population,,
,,"Chenango, NY","51,787","Huntingdon, PA","45,771"
total number of people,total number of people,,,,
(2006),,"Cortland, NY","48,483","Indiana, PA","88,234"
,,"Delaware, NY","46,977","Jefferson, PA","45,725"
"Kent, DE","147,601","Herkimer, NY","63,332","Juniata, PA","23,512"
"New Castle, DE","525,587","Livingston, NY","64,173","Lackawanna, PA","209,728"
"Sussex, DE","180,288","Madison, NY","70,197","Lancaster, PA","494,486"
"District of Columbia, DC","581,530","Montgomery, NY","49,112","Lebanon, PA","126,883"
"Allegany, MD","72,831","Oneida, NY","233,954","Luzerne, PA","313,020"
"Anne Arundel, MD","509,300","Onondaga, NY","456,777","Lycoming, PA","117,668"
"Baltimore, MD","787,384","Ontario, NY","104,353","McKean, PA","44,065"
"Calvert, MD","88,804","Otsego, NY","62,583","Mifflin, PA","46,057"
"Caroline, MD","32,617","Schoharie, NY","32,196","Montour, PA","17,934"
"Carroll, MD","170,260","Schuyler, NY","19,415","Northumberland, PA","91,654"
"Cecil, MD","99,506","Steuben, NY","98,236","Perry, PA","45,087"
"Charles, MD","140,416","Tioga, NY","51,285","Potter, PA","17,568"
"Dorchester, MD","31,631","Tompkins, NY","100,407","Schuylkill, PA","147,405"
"Frederick, MD","222,938","Yates, NY","24,732","Snyder, PA","38,226"
"Garrett, MD","29,859","Adams, PA","101,105","Somerset, PA","78,508"
"Harford, MD","241,402","Bedford, PA","49,927","Sullivan, PA","6,277"
"Howard, MD","272,452","Berks, PA","401,149","Susquehanna, PA","41,889"
"Kent, MD","19,983","Blair, PA","126,494","Tioga, PA","41,137"
"Montgomery, MD","932,131","Bradford, PA","62,471","Union, PA","43,387"
"Prince George's, MD","841,315","Cambria, PA","146,967","Wayne, PA","50,929"
"Queen Anne's, MD","46,241","Cameron, PA","5,489","Wyoming, PA","28,093"
"St. Mary's, MD","98,854","Carbon, PA","62,567","York, PA","416,322"
"Somerset, MD","25,774","Centre, PA","140,953","Accomack, VA","39,345"
"Talbot, MD","36,062","Chester, PA","482,112","Albemarle, VA","92,035"
"Washington, MD","143,748","Clearfield, PA","82,442","Alleghany, VA","16,600"
"Wicomico, MD","91,987","Clinton, PA","37,232","Amelia, VA","12,502"
"Worcester, MD","48,866","Columbia, PA","65,014","Amherst, VA","32,239"
"Baltimore, MD (city)","631,366","Cumberland, PA","226,117","Appomattox, VA","14,128"
"Allegany, NY","50,267","Dauphin, PA","254,176","Arlington, VA","199,776"
"Broome, NY","196,269","Elk, PA","33,179","Augusta, VA","70,910"
"Cayuga, NY","81,243","Franklin, PA","139,991","Bath, VA","4,814"
"Chemung, NY","88,641","Fulton, PA","14,783","Bedford, VA","66,507"
14,,,,,
