Name: “Table 1 of 1 on page 113 of 156”,Name: “Table 1 of 1 on page 113 of 156”,Name: “Table 1 of 1 on page 113 of 156”,Name: “Table 1 of 1 on page 113 of 156”,Name: “Table 1 of 1 on page 113 of 156”,Name: “Table 1 of 1 on page 113 of 156”
Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Administration and Government,Administration and Government
,Local Government Revenue,Local Government Revenue,Local Government Revenue,Local Government Revenue,
"Botetourt, VA","1,746","Middlesex, VA","1,837","Hampton, VA (city)","2,585"
"Buckingham, VA","1,833","Montgomery, VA","1,982","Harrisonburg, VA (city)","3,251"
"Campbell, VA","1,898","Nelson, VA","1,986","Hopewell, VA (city)","3,399"
"Caroline, VA","1,987","New Kent, VA","2,120","Lexington, VA (city)","2,864"
"Charles City, VA","2,537","Northampton, VA","5,821","Lynchburg, VA (city)","3,325"
"Charlotte, VA","2,021","Northumberland, VA","1,770","Manassas, VA (city)","4,209"
"Chesterfield, VA","2,518","Nottoway, VA","2,229","Manassas Park, VA (city)","2,725"
"Clarke, VA","2,035","Orange, VA","1,825","Newport News, VA (city)","3,343"
"Craig, VA","1,958","Page, VA","1,940","Norfolk, VA (city)","4,895"
"Culpeper, VA","2,431","Powhatan, VA","1,434","Petersburg, VA (city)","6,939"
"Cumberland, VA","1,942","Prince Edward, VA","1,895","Poquoson, VA (city)","2,489"
"Dinwiddie, VA","2,132","Prince George, VA","2,287","Portsmouth, VA (city)","3,487"
"Essex, VA","2,177","Prince William, VA","3,455","Richmond, VA (city)","5,578"
"Fairfax, VA","3,431","Rappahannock, VA","1,869","Roanoke, VA (city)","3,686"
"Fauquier, VA","2,754","Richmond, VA","2,485","Salem, VA (city)","4,006"
"Fluvanna, VA","1,421","Roanoke, VA","2,696","Staunton, VA (city)","2,391"
"Frederick, VA","2,356","Rockbridge, VA","2,217","Suffolk, VA (city)","2,755"
"Giles, VA","2,132","Rockingham, VA","2,039","Virginia Beach, VA (city)","2,923"
"Gloucester, VA","2,034","Shenandoah, VA","2,126","Waynesboro, VA (city)","2,827"
"Goochland, VA","2,544","Spotsylvania, VA","2,393","Williamsburg, VA (city)","10,539"
"Greene, VA","2,301","Stafford, VA","2,486","Winchester, VA (city)","4,077"
"Hanover, VA","2,523","Surry, VA","3,249","Berkeley, WV","1,936"
"Henrico, VA","2,803","Warren, VA","2,116","Grant, WV","4,996"
"Highland, VA","2,540","Westmoreland, VA","1,937","Greenbrier, WV","2,027"
"Isle of Wight, VA","2,134","York, VA","2,612","Hampshire, WV","1,553"
"James City, VA","2,763","Alexandria, VA (city)","3,642","Hardy, WV","2,134"
"King and Queen, VA","2,942","Bedford, VA (city)","4,575","Jefferson, WV","1,619"
"King George, VA","2,548","Buena Vista, VA (city)","2,733","Mineral, WV","1,801"
"King William, VA","2,679","Charlottesville, VA (city)","3,798","Monroe, WV","1,628"
"Lancaster, VA","1,705","Chesapeake, VA (city)","3,816","Morgan, WV","2,479"
"Loudoun, VA","3,506","Colonial Heights, VA (city)","2,875","Pendleton, WV","1,577"
"Louisa, VA","2,015","Covington, VA (city)","3,432","Pocahontas, WV","2,807"
"Lunenburg, VA","1,639","Fairfax, VA (city)","3,755","Preston, WV","1,570"
"Madison, VA","1,657","Falls Church, VA (city)","5,783","Randolph, WV","2,548"
"Mathews, VA","1,762","Fredericksburg, VA (city)","5,221","Tucker, WV","2,420"
,,,,,107
