Name: “Table 1 of 1 on page 109 of 156”,Name: “Table 1 of 1 on page 109 of 156”,Name: “Table 1 of 1 on page 109 of 156”,Name: “Table 1 of 1 on page 109 of 156”,Name: “Table 1 of 1 on page 109 of 156”,Name: “Table 1 of 1 on page 109 of 156”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Administration and Government,Administration and Government
Local Government Expenditures,Local Government Expenditures,Local Government Expenditures,Local Government Expenditures,Local Government Expenditures,
"Botetourt, VA","1,695","Middlesex, VA","2,670","Hampton, VA (city)","2,996"
"Buckingham, VA","1,934","Montgomery, VA","2,378","Harrisonburg, VA (city)","3,162"
"Campbell, VA","1,840","Nelson, VA","2,319","Hopewell, VA (city)","3,808"
"Caroline, VA","1,863","New Kent, VA","1,796","Lexington, VA (city)","3,466"
"Charles City, VA","2,387","Northampton, VA","4,439","Lynchburg, VA (city)","3,219"
"Charlotte, VA","1,900","Northumberland, VA","1,581","Manassas, VA (city)","4,189"
"Chesterfield, VA","2,548","Nottoway, VA","2,112","Manassas Park, VA (city)","3,018"
"Clarke, VA","1,918","Orange, VA","1,790","Newport News, VA (city)","3,863"
"Craig, VA","1,847","Page, VA","1,821","Norfolk, VA (city)","5,569"
"Culpeper, VA","2,468","Powhatan, VA","1,579","Petersburg, VA (city)","7,131"
"Cumberland, VA","1,883","Prince Edward, VA","1,974","Poquoson, VA (city)","2,438"
"Dinwiddie, VA","1,948","Prince George, VA","2,420","Portsmouth, VA (city)","3,704"
"Essex, VA","2,485","Prince William, VA","3,547","Richmond, VA (city)","5,924"
"Fairfax, VA","3,777","Rappahannock, VA","1,802","Roanoke, VA (city)","4,265"
"Fauquier, VA","2,355","Richmond, VA","2,292","Salem, VA (city)","3,858"
"Fluvanna, VA","1,334","Roanoke, VA","2,829","Staunton, VA (city)","2,500"
"Frederick, VA","2,174","Rockbridge, VA","2,369","Suffolk, VA (city)","2,874"
"Giles, VA","2,157","Rockingham, VA","2,100","Virginia Beach, VA (city)","3,276"
"Gloucester, VA","2,131","Shenandoah, VA","2,115","Waynesboro, VA (city)","3,108"
"Goochland, VA","2,529","Spotsylvania, VA","2,501","Williamsburg, VA (city)","9,577"
"Greene, VA","2,237","Stafford, VA","2,505","Winchester, VA (city)","4,079"
"Hanover, VA","2,466","Surry, VA","2,733","Berkeley, WV","2,089"
"Henrico, VA","2,906","Warren, VA","1,902","Grant, WV","4,603"
"Highland, VA","2,305","Westmoreland, VA","1,933","Greenbrier, WV","2,006"
"Isle of Wight, VA","1,947","York, VA","2,460","Hampshire, WV","1,590"
"James City, VA","1,865","Alexandria, VA (city)","3,657","Hardy, WV","2,147"
"King and Queen, VA","3,063","Bedford, VA (city)","4,006","Jefferson, WV","1,713"
"King George, VA","2,402","Buena Vista, VA (city)","3,227","Mineral, WV","1,830"
"King William, VA","2,591","Charlottesville, VA (city)","4,083","Monroe, WV","1,651"
"Lancaster, VA","1,799","Chesapeake, VA (city)","3,943","Morgan, WV","2,410"
"Loudoun, VA","3,659","Colonial Heights, VA (city)","2,453","Pendleton, WV","1,569"
"Louisa, VA","2,480","Covington, VA (city)","3,592","Pocahontas, WV","2,663"
"Lunenburg, VA","1,545","Fairfax, VA (city)","2,470","Preston, WV","1,515"
"Madison, VA","1,564","Falls Church, VA (city)","5,697","Randolph, WV","2,518"
"Mathews, VA","1,756","Fredericksburg, VA (city)","5,639","Tucker, WV","2,424"
,,,,,103
