Name: “Table 1 of 1 on page 112 of 156”,Name: “Table 1 of 1 on page 112 of 156”,Name: “Table 1 of 1 on page 112 of 156”,Name: “Table 1 of 1 on page 112 of 156”,Name: “Table 1 of 1 on page 112 of 156”,Name: “Table 1 of 1 on page 112 of 156”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,,
Administration and Government,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
Local Government Revenue,Local Government Revenue,Local Government Revenue,Local Government Revenue,,
,,"Chenango, NY","4,167","Huntingdon, PA","1,861"
local government revenue,,,,,
per capita ($) (2002),,"Cortland, NY","3,871","Indiana, PA","2,268"
,,"Delaware, NY","4,872","Jefferson, PA","2,130"
"Kent, DE","2,872","Herkimer, NY","4,204","Juniata, PA","1,290"
"New Castle, DE","2,449","Livingston, NY","3,835","Lackawanna, PA","2,546"
"Sussex, DE","2,587","Madison, NY","3,560","Lancaster, PA","2,396"
"District of Columbia, DC","13,021","Montgomery, NY","4,444","Lebanon, PA","2,498"
"Allegany, MD","3,069","Oneida, NY","3,865","Luzerne, PA","2,315"
"Anne Arundel, MD","2,985","Onondaga, NY","4,123","Lycoming, PA","2,721"
"Baltimore, MD","2,645","Ontario, NY","4,461","McKean, PA","2,818"
"Calvert, MD","2,960","Otsego, NY","3,645","Mifflin, PA","1,959"
"Caroline, MD","2,601","Schoharie, NY","4,262","Montour, PA","2,960"
"Carroll, MD","2,643","Schuyler, NY","3,485","Northumberland, PA","2,382"
"Cecil, MD","2,600","Steuben, NY","4,701","Perry, PA","2,069"
"Charles, MD","3,079","Tioga, NY","3,298","Potter, PA","2,643"
"Dorchester, MD","2,998","Tompkins, NY","3,629","Schuylkill, PA","2,497"
"Frederick, MD","3,437","Yates, NY","3,448","Snyder, PA","1,934"
"Garrett, MD","2,876","Adams, PA","2,140","Somerset, PA","2,104"
"Harford, MD","2,689","Bedford, PA","2,169","Sullivan, PA","2,417"
"Howard, MD","3,466","Berks, PA","3,078","Susquehanna, PA","2,372"
"Kent, MD","2,684","Blair, PA","2,495","Tioga, PA","2,517"
"Montgomery, MD","4,352","Bradford, PA","3,193","Union, PA","1,906"
"Prince George's, MD","3,013","Cambria, PA","3,026","Wayne, PA","2,735"
"Queen Anne's, MD","3,362","Cameron, PA","2,578","Wyoming, PA","2,515"
"St. Mary's, MD","2,809","Carbon, PA","2,777","York, PA","2,613"
"Somerset, MD","2,437","Centre, PA","2,136","Accomack, VA","1,939"
"Talbot, MD","3,862","Chester, PA","2,841","Albemarle, VA","2,398"
"Washington, MD","2,628","Clearfield, PA","2,344","Alleghany, VA","2,737"
"Wicomico, MD","2,630","Clinton, PA","2,488","Amelia, VA","1,631"
"Worcester, MD","4,331","Columbia, PA","2,174","Amherst, VA","1,830"
"Baltimore, MD (city)","3,962","Cumberland, PA","2,377","Appomattox, VA","1,956"
"Allegany, NY","4,151","Dauphin, PA","3,962","Arlington, VA","6,737"
"Broome, NY","4,140","Elk, PA","2,432","Augusta, VA","2,206"
"Cayuga, NY","3,772","Franklin, PA","2,229","Bath, VA","3,199"
"Chemung, NY","3,763","Fulton, PA","2,335","Bedford, VA","2,230"
106,,,,,
