Name: “Table 1 of 1 on page 29 of 156”,Name: “Table 1 of 1 on page 29 of 156”,Name: “Table 1 of 1 on page 29 of 156”,Name: “Table 1 of 1 on page 29 of 156”,Name: “Table 1 of 1 on page 29 of 156”,Name: “Table 1 of 1 on page 29 of 156”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,General Population,General Population
,Recent Population Change,Recent Population Change,Recent Population Change,,
"Botetourt, VA",13.7,"Middlesex, VA",12.8,"Hampton, VA (city)",1.0
"Buckingham, VA",8.0,"Montgomery, VA",6.2,"Harrisonburg, VA (city)",12.2
"Campbell, VA",5.4,"Nelson, VA",11.0,"Hopewell, VA (city)",-0.6
"Caroline, VA",25.1,"New Kent, VA",37.8,"Lexington, VA (city)",-2.2
"Charles City, VA",8.6,"Northampton, VA",3.5,"Lynchburg, VA (city)",3.0
"Charlotte, VA",2.2,"Northumberland, VA",10.2,"Manassas, VA (city)",12.5
"Chesterfield, VA",21.2,"Nottoway, VA",0.5,"Manassas Park, VA (city)",35.1
"Clarke, VA",18.4,"Orange, VA",30.0,"Newport News, VA (city)",-0.5
"Craig, VA",5.5,"Page, VA",5.5,"Norfolk, VA (city)",-6.2
"Culpeper, VA",39.8,"Powhatan, VA",41.4,"Petersburg, VA (city)",-7.6
"Cumberland, VA",10.6,"Prince Edward, VA",7.7,"Poquoson, VA (city)",5.1
"Dinwiddie, VA",5.7,"Prince George, VA",20.0,"Portsmouth, VA (city)",-1.0
"Essex, VA",8.9,"Prince William, VA",41.9,"Richmond, VA (city)",-1.6
"Fairfax, VA",11.4,"Rappahannock, VA",6.8,"Roanoke, VA (city)",-5.8
"Fauquier, VA",30.2,"Richmond, VA",6.0,"Salem, VA (city)",1.1
"Fluvanna, VA",51.8,"Roanoke, VA",8.3,"Staunton, VA (city)",-3.8
"Frederick, VA",30.1,"Rockbridge, VA",8.5,"Suffolk, VA (city)",41.5
"Giles, VA",6.1,"Rockingham, VA",9.6,"Virginia Beach, VA (city)",3.5
"Gloucester, VA",16.0,"Shenandoah, VA",20.9,"Waynesboro, VA (city)",12.1
"Goochland, VA",23.2,"Spotsylvania, VA",54.5,"Williamsburg, VA (city)",-2.9
"Greene, VA",35.2,"Stafford, VA",46.6,"Winchester, VA (city)",11.0
"Hanover, VA",29.1,"Surry, VA",8.3,"Berkeley, WV",42.0
"Henrico, VA",14.3,"Warren, VA",19.7,"Grant, WV",6.5
"Highland, VA",-2.0,"Westmoreland, VA",3.4,"Greenbrier, WV",-0.7
"Isle of Wight, VA",23.7,"York, VA",15.1,"Hampshire, WV",18.4
"James City, VA",40.5,"Alexandria, VA (city)",15.8,"Hardy, WV",11.2
"King and Queen, VA",7.0,"Bedford, VA (city)",3.9,"Jefferson, WV",27.1
"King George, VA",39.1,"Buena Vista, VA (city)",1.5,"Mineral, WV",-1.3
"King William, VA",24.9,"Charlottesville, VA (city)",-5.2,"Monroe, WV",-1.2
"Lancaster, VA",0.6,"Chesapeake, VA (city)",17.7,"Morgan, WV",17.8
"Loudoun, VA",115.0,"Colonial Heights, VA (city)",5.7,"Pendleton, WV",-6.2
"Louisa, VA",33.3,"Covington, VA (city)",-11.4,"Pocahontas, WV",-4.2
"Lunenburg, VA",0.8,"Fairfax, VA (city)",5.9,"Preston, WV",2.6
"Madison, VA",11.2,"Falls Church, VA (city)",12.2,"Randolph, WV",-0.8
"Mathews, VA",2.1,"Fredericksburg, VA (city)",2.6,"Tucker, WV",-10.1
,,,,United States,11.1
,,,,,23
