Name: “Table 1 of 1 on page 105 of 156”,Name: “Table 1 of 1 on page 105 of 156”,Name: “Table 1 of 1 on page 105 of 156”,Name: “Table 1 of 1 on page 105 of 156”,Name: “Table 1 of 1 on page 105 of 156”,Name: “Table 1 of 1 on page 105 of 156”
Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Administration and Government,Administration and Government
,Federal Expenditures,Federal Expenditures,Federal Expenditures,,
"Botetourt, VA","4,100","Middlesex, VA","7,446","Hampton, VA (city)","17,617"
"Buckingham, VA","4,679","Montgomery, VA","5,431","Harrisonburg, VA (city)","3,919"
"Campbell, VA","3,977","Nelson, VA","7,419","Hopewell, VA (city)","10,068"
"Caroline, VA","5,165","New Kent, VA","4,192","Lexington, VA (city)","10,799"
"Charles City, VA","5,632","Northampton, VA","19,814","Lynchburg, VA (city)","13,077"
"Charlotte, VA","7,369","Northumberland, VA","7,421","Manassas, VA (city)","23,563"
"Chesterfield, VA","2,502","Nottoway, VA","11,645","Manassas Park, VA (city)","1,915"
"Clarke, VA","4,697","Orange, VA","6,253","Newport News, VA (city)","16,476"
"Craig, VA","7,863","Page, VA","6,339","Norfolk, VA (city)","26,475"
"Culpeper, VA","4,426","Powhatan, VA","3,089","Petersburg, VA (city)","10,673"
"Cumberland, VA","4,709","Prince Edward, VA","5,770","Poquoson, VA (city)","3,193"
"Dinwiddie, VA","4,638","Prince George, VA","18,348","Portsmouth, VA (city)","18,614"
"Essex, VA","10,406","Prince William, VA","5,094","Richmond, VA (city)","21,595"
"Fairfax, VA","17,651","Rappahannock, VA","6,829","Roanoke, VA (city)","14,792"
"Fauquier, VA","6,043","Richmond, VA","6,765","Salem, VA (city)","11,878"
"Fluvanna, VA","4,026","Roanoke, VA","2,249","Staunton, VA (city)","8,123"
"Frederick, VA","2,889","Rockbridge, VA","8,588","Suffolk, VA (city)","8,099"
"Giles, VA","6,418","Rockingham, VA","3,938","Virginia Beach, VA (city)","9,330"
"Gloucester, VA","5,898","Shenandoah, VA","5,174","Waynesboro, VA (city)","6,366"
"Goochland, VA","3,805","Spotsylvania, VA","2,577","Williamsburg, VA (city)","21,556"
"Greene, VA","3,290","Stafford, VA","3,493","Winchester, VA (city)","8,541"
"Hanover, VA","3,802","Surry, VA","5,895","Berkeley, WV","8,013"
"Henrico, VA","3,198","Warren, VA","4,565","Grant, WV","7,750"
"Highland, VA","7,317","Westmoreland, VA","7,981","Greenbrier, WV","7,558"
"Isle of Wight, VA","6,035","York, VA","11,675","Hampshire, WV","5,152"
"James City, VA","2,817","Alexandria, VA (city)","33,981","Hardy, WV","10,114"
"King and Queen, VA","5,454","Bedford, VA (city)","11,510","Jefferson, WV","8,940"
"King George, VA","32,008","Buena Vista, VA (city)","6,982","Mineral, WV","10,078"
"King William, VA","5,789","Charlottesville, VA (city)","16,848","Monroe, WV","8,155"
"Lancaster, VA","9,439","Chesapeake, VA (city)","6,193","Morgan, WV","5,664"
"Loudoun, VA","9,284","Colonial Heights, VA (city)","25,482","Pendleton, WV","9,419"
"Louisa, VA","4,717","Covington, VA (city)","14,174","Pocahontas, WV","7,566"
"Lunenburg, VA","5,339","Fairfax, VA (city)","143,871","Preston, WV","7,277"
"Madison, VA","5,631","Falls Church, VA (city)","174,500","Randolph, WV","7,725"
"Mathews, VA","8,450","Fredericksburg, VA (city)","16,390","Tucker, WV","8,690"
,,,,United States,"7,706"
,,,,,99
