Name: “Table 1 of 1 on page 122 of 156”,Name: “Table 1 of 1 on page 122 of 156”,Name: “Table 1 of 1 on page 122 of 156”,Name: “Table 1 of 1 on page 122 of 156”,Name: “Table 1 of 1 on page 122 of 156”,Name: “Table 1 of 1 on page 122 of 156”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,,
Land Use,,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
,,Farmland,,,
,,"Chenango, NY",33.2,"Huntingdon, PA",25.6
% land classified as,,,,,
farmland (2002),,"Cortland, NY",39.7,"Indiana, PA",29.6
,,"Delaware, NY",20.7,"Jefferson, PA",20.7
"Kent, DE",49.1,"Herkimer, NY",17.6,"Juniata, PA",34.4
"New Castle, DE",26.1,"Livingston, NY",51.8,"Lackawanna, PA",11.2
"Sussex, DE",47.2,"Madison, NY",40.1,"Lancaster, PA",67.8
"District of Columbia, DC",--,"Montgomery, NY",58.7,"Lebanon, PA",54.0
"Allegany, MD",14.5,"Oneida, NY",28.4,"Luzerne, PA",12.8
"Anne Arundel, MD",13.2,"Onondaga, NY",31.3,"Lycoming, PA",22.4
"Baltimore, MD",18.6,"Ontario, NY",47.2,"McKean, PA",6.6
"Calvert, MD",21.8,"Otsego, NY",32.1,"Mifflin, PA",34.3
"Caroline, MD",56.1,"Schoharie, NY",28.3,"Montour, PA",47.8
"Carroll, MD",51.2,"Schuyler, NY",35.1,"Northumberland, PA",40.5
"Cecil, MD",34.6,"Steuben, NY",41.9,"Perry, PA",36.4
"Charles, MD",17.6,"Tioga, NY",38.6,"Potter, PA",13.6
"Dorchester, MD",35.1,"Tompkins, NY",33.1,"Schuylkill, PA",22.3
"Frederick, MD",46.2,"Yates, NY",53.2,"Snyder, PA",47.2
"Garrett, MD",24.5,"Adams, PA",54.4,"Somerset, PA",32.5
"Harford, MD",28.9,"Bedford, PA",29.7,"Sullivan, PA",10.8
"Howard, MD",23.3,"Berks, PA",39.2,"Susquehanna, PA",35.9
"Kent, MD",65.6,"Blair, PA",25.5,"Tioga, PA",27.6
"Montgomery, MD",23.7,"Bradford, PA",41.1,"Union, PA",34.2
"Prince George's, MD",14.6,"Cambria, PA",20.0,"Wayne, PA",24.2
"Queen Anne's, MD",65.3,"Cameron, PA",1.7,"Wyoming, PA",24.3
"St. Mary's, MD",29.5,"Carbon, PA",7.9,"York, PA",49.3
"Somerset, MD",27.1,"Centre, PA",23.3,"Accomack, VA",31.3
"Talbot, MD",61.4,"Chester, PA",34.8,"Albemarle, VA",38.4
"Washington, MD",42.7,"Clearfield, PA",8.3,"Alleghany, VA",11.6
"Wicomico, MD",36.7,"Clinton, PA",9.3,"Amelia, VA",39.9
"Worcester, MD",43.3,"Columbia, PA",39.7,"Amherst, VA",32.8
"Baltimore, MD (city)",--,"Cumberland, PA",40.7,"Appomattox, VA",39.8
"Allegany, NY",27.3,"Dauphin, PA",28.3,"Arlington, VA",--
"Broome, NY",21.7,"Elk, PA",4.2,"Augusta, VA",49.3
"Cayuga, NY",53.7,"Franklin, PA",49.5,"Bath, VA",15.4
"Chemung, NY",26.5,"Fulton, PA",35.9,"Bedford, VA",41.3
116,,,,,
