Name: “Table 1 of 1 on page 40 of 156”,Name: “Table 1 of 1 on page 40 of 156”,Name: “Table 1 of 1 on page 40 of 156”,Name: “Table 1 of 1 on page 40 of 156”,Name: “Table 1 of 1 on page 40 of 156”,Name: “Table 1 of 1 on page 40 of 156”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,
General Population,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
Population Density Change,Population Density Change,Population Density Change,Population Density Change,,
,,"Chenango, NY",3.5,"Huntingdon, PA",4.5
% change in average number of,% change in average number of,,,,
people per square mile (1986-2006),people per square mile (1986-2006),"Cortland, NY",1.1,"Indiana, PA",-4.2
,,"Delaware, NY",2.0,"Jefferson, PA",-3.5
"Kent, DE",50.1,"Herkimer, NY",-4.6,"Juniata, PA",19.1
"New Castle, DE",26.1,"Livingston, NY",7.3,"Lackawanna, PA",-6.0
"Sussex, DE",69.8,"Madison, NY",5.2,"Lancaster, PA",26.0
"District of Columbia, DC",-8.9,"Montgomery, NY",-5.0,"Lebanon, PA",14.6
"Allegany, MD",-4.1,"Oneida, NY",-6.6,"Luzerne, PA",-4.6
"Anne Arundel, MD",26.2,"Onondaga, NY",-1.7,"Lycoming, PA",1.8
"Baltimore, MD",17.6,"Ontario, NY",13.3,"McKean, PA",-9.4
"Calvert, MD",110.7,"Otsego, NY",6.6,"Mifflin, PA",0.3
"Caroline, MD",32.0,"Schoharie, NY",6.7,"Montour, PA",4.1
"Carroll, MD",54.6,"Schuyler, NY",8.2,"Northumberland, PA",-6.4
"Cecil, MD",52.2,"Steuben, NY",1.7,"Perry, PA",16.7
"Charles, MD",59.7,"Tioga, NY",0.8,"Potter, PA",3.0
"Dorchester, MD",6.0,"Tompkins, NY",12.0,"Schuylkill, PA",-4.4
"Frederick, MD",68.7,"Yates, NY",14.5,"Snyder, PA",6.9
"Garrett, MD",11.4,"Adams, PA",39.5,"Somerset, PA",-1.7
"Harford, MD",51.9,"Bedford, PA",5.8,"Sullivan, PA",3.0
"Howard, MD",78.9,"Berks, PA",25.2,"Susquehanna, PA",7.0
"Kent, MD",16.8,"Blair, PA",-3.8,"Tioga, PA",1.1
"Montgomery, MD",37.9,"Bradford, PA",1.9,"Union, PA",24.6
"Prince George's, MD",22.1,"Cambria, PA",-13.8,"Wayne, PA",37.7
"Queen Anne's, MD",55.1,"Cameron, PA",-10.1,"Wyoming, PA",3.1
"St. Mary's, MD",48.5,"Carbon, PA",15.0,"York, PA",29.3
"Somerset, MD",28.9,"Centre, PA",19.8,"Accomack, VA",26.0
"Talbot, MD",28.2,"Chester, PA",39.0,"Albemarle, VA",49.8
"Washington, MD",23.3,"Clearfield, PA",1.8,"Alleghany, VA",-11.3
"Wicomico, MD",32.0,"Clinton, PA",-0.1,"Amelia, VA",49.2
"Worcester, MD",45.0,"Columbia, PA",5.7,"Amherst, VA",12.5
"Baltimore, MD (city)",-17.1,"Cumberland, PA",21.2,"Appomattox, VA",16.3
"Allegany, NY",0.4,"Dauphin, PA",8.3,"Arlington, VA",19.3
"Broome, NY",-7.8,"Elk, PA",-9.4,"Augusta, VA",41.8
"Cayuga, NY",1.2,"Franklin, PA",19.2,"Bath, VA",-5.9
"Chemung, NY",-2.8,"Fulton, PA",9.9,"Bedford, VA",64.2
34,,,,,
