Name: “Table 1 of 1 on page 97 of 156”,Name: “Table 1 of 1 on page 97 of 156”,Name: “Table 1 of 1 on page 97 of 156”,Name: “Table 1 of 1 on page 97 of 156”,Name: “Table 1 of 1 on page 97 of 156”,Name: “Table 1 of 1 on page 97 of 156”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Recreation and Tourism,Recreation and Tourism
,Recreation/Tourism Revenue,Recreation/Tourism Revenue,Recreation/Tourism Revenue,,
"Botetourt, VA",2.9,"Middlesex, VA",9.5,"Hampton, VA (city)",4.1
"Buckingham, VA",3.5,"Montgomery, VA",5.0,"Harrisonburg, VA (city)",5.2
"Campbell, VA",1.2,"Nelson, VA",28.0,"Hopewell, VA (city)",3.1
"Caroline, VA",4.3,"New Kent, VA",3.6,"Lexington, VA (city)",18.2
"Charles City, VA",9.1,"Northampton, VA",10.0,"Lynchburg, VA (city)",2.9
"Charlotte, VA",--,"Northumberland, VA",4.4,"Manassas, VA (city)",2.6
"Chesterfield, VA",3.2,"Nottoway, VA",3.1,"Manassas Park, VA (city)",4.3
"Clarke, VA",1.5,"Orange, VA",2.3,"Newport News, VA (city)",2.4
"Craig, VA",--,"Page, VA",5.7,"Norfolk, VA (city)",3.8
"Culpeper, VA",3.5,"Powhatan, VA",--,"Petersburg, VA (city)",2.2
"Cumberland, VA",--,"Prince Edward, VA",6.7,"Poquoson, VA (city)",11.6
"Dinwiddie, VA",5.4,"Prince George, VA",2.0,"Portsmouth, VA (city)",4.2
"Essex, VA",4.5,"Prince William, VA",4.4,"Richmond, VA (city)",2.0
"Fairfax, VA",3.9,"Rappahannock, VA",10.7,"Roanoke, VA (city)",4.3
"Fauquier, VA",6.0,"Richmond, VA",3.5,"Salem, VA (city)",2.0
"Fluvanna, VA",9.6,"Roanoke, VA",3.3,"Staunton, VA (city)",7.5
"Frederick, VA",7.3,"Rockbridge, VA",3.7,"Suffolk, VA (city)",1.6
"Giles, VA",1.6,"Rockingham, VA",0.7,"Virginia Beach, VA (city)",7.8
"Gloucester, VA",5.7,"Shenandoah, VA",2.8,"Waynesboro, VA (city)",2.7
"Goochland, VA",6.2,"Spotsylvania, VA",3.3,"Williamsburg, VA (city)",23.9
"Greene, VA",7.4,"Stafford, VA",3.3,"Winchester, VA (city)",3.7
"Hanover, VA",4.0,"Surry, VA",--,"Berkeley, WV",7.7
"Henrico, VA",2.9,"Warren, VA",3.8,"Grant, WV",2.1
"Highland, VA",--,"Westmoreland, VA",13.6,"Greenbrier, WV",15.4
"Isle of Wight, VA",5.4,"York, VA",11.9,"Hampshire, WV",16.4
"James City, VA",6.2,"Alexandria, VA (city)",4.6,"Hardy, WV",1.6
"King and Queen, VA",--,"Bedford, VA (city)",4.5,"Jefferson, WV",9.2
"King George, VA",2.5,"Buena Vista, VA (city)",1.0,"Mineral, WV",3.8
"King William, VA",0.8,"Charlottesville, VA (city)",5.8,"Monroe, WV",6.2
"Lancaster, VA",7.5,"Chesapeake, VA (city)",3.7,"Morgan, WV",13.4
"Loudoun, VA",6.6,"Colonial Heights, VA (city)",5.0,"Pendleton, WV",5.1
"Louisa, VA",3.7,"Covington, VA (city)",0.4,"Pocahontas, WV",32.8
"Lunenburg, VA",3.0,"Fairfax, VA (city)",5.2,"Preston, WV",2.0
"Madison, VA",5.1,"Falls Church, VA (city)",2.8,"Randolph, WV",3.1
"Mathews, VA",--,"Fredericksburg, VA (city)",7.4,"Tucker, WV",16.6
,,,,United States,2.8
,,,,,91
