Name: “Table 1 of 1 on page 25 of 156”,Name: “Table 1 of 1 on page 25 of 156”,Name: “Table 1 of 1 on page 25 of 156”,Name: “Table 1 of 1 on page 25 of 156”,Name: “Table 1 of 1 on page 25 of 156”,Name: “Table 1 of 1 on page 25 of 156”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,General Population,General Population
,Historical Population Change,Historical Population Change,Historical Population Change,,
"Botetourt, VA",18.1,"Middlesex, VA",13.7,"Hampton, VA (city)",12.4
"Buckingham, VA",19.2,"Montgomery, VA",16.4,"Harrisonburg, VA (city)",32.3
"Campbell, VA",8.4,"Nelson, VA",9.4,"Hopewell, VA (city)",-4.5
"Caroline, VA",17.8,"New Kent, VA",30.7,"Lexington, VA (city)",2.1
"Charles City, VA",3.6,"Northampton, VA",-2.8,"Lynchburg, VA (city)",-1.8
"Charlotte, VA",4.8,"Northumberland, VA",15.5,"Manassas, VA (city)",58.1
"Chesterfield, VA",39.6,"Nottoway, VA",3.4,"Manassas Park, VA (city)",28.7
"Clarke, VA",9.8,"Orange, VA",24.9,"Newport News, VA (city)",12.8
"Craig, VA",17.5,"Page, VA",13.0,"Norfolk, VA (city)",-9.4
"Culpeper, VA",31.4,"Powhatan, VA",46.0,"Petersburg, VA (city)",-11.1
"Cumberland, VA",9.6,"Prince Edward, VA",13.6,"Poquoson, VA (city)",8.8
"Dinwiddie, VA",16.2,"Prince George, VA",15.1,"Portsmouth, VA (city)",-2.1
"Essex, VA",11.4,"Prince William, VA",38.5,"Richmond, VA (city)",-6.9
"Fairfax, VA",22.0,"Rappahannock, VA",8.7,"Roanoke, VA (city)",-1.7
"Fauquier, VA",19.3,"Richmond, VA",24.0,"Salem, VA (city)",4.4
"Fluvanna, VA",51.8,"Roanoke, VA",9.5,"Staunton, VA (city)",1.2
"Frederick, VA",41.5,"Rockbridge, VA",9.8,"Suffolk, VA (city)",15.5
"Giles, VA",-2.9,"Rockingham, VA",22.9,"Virginia Beach, VA (city)",23.2
"Gloucester, VA",22.5,"Shenandoah, VA",13.4,"Waynesboro, VA (city)",4.5
"Goochland, VA",26.9,"Spotsylvania, VA",82.8,"Williamsburg, VA (city)",13.9
"Greene, VA",45.6,"Stafford, VA",66.8,"Winchester, VA (city)",14.5
"Hanover, VA",40.5,"Surry, VA",6.8,"Berkeley, WV",31.5
"Henrico, VA",23.5,"Warren, VA",30.5,"Grant, WV",8.1
"Highland, VA",-3.5,"Westmoreland, VA",13.9,"Greenbrier, WV",-3.1
"Isle of Wight, VA",19.3,"York, VA",40.0,"Hampshire, WV",24.4
"James City, VA",47.8,"Alexandria, VA (city)",6.4,"Hardy, WV",15.9
"King and Queen, VA",4.2,"Bedford, VA (city)",-0.2,"Jefferson, WV",19.4
"King George, VA",30.3,"Buena Vista, VA (city)",1.3,"Mineral, WV",2.0
"King William, VA",24.1,"Charlottesville, VA (city)",6.8,"Monroe, WV",7.4
"Lancaster, VA",7.8,"Chesapeake, VA (city)",41.5,"Morgan, WV",24.7
"Loudoun, VA",76.1,"Colonial Heights, VA (city)",2.4,"Pendleton, WV",1.4
"Louisa, VA",22.6,"Covington, VA (city)",-9.3,"Pocahontas, WV",-3.7
"Lunenburg, VA",12.0,"Fairfax, VA (city)",6.5,"Preston, WV",-1.8
"Madison, VA",11.6,"Falls Church, VA (city)",-1.4,"Randolph, WV",0.2
"Mathews, VA",8.2,"Fredericksburg, VA (city)",20.9,"Tucker, WV",-5.1
,,,,United States,12.2
,,,,,19
