Name: “Table 1 of 1 on page 93 of 156”,Name: “Table 1 of 1 on page 93 of 156”,Name: “Table 1 of 1 on page 93 of 156”,Name: “Table 1 of 1 on page 93 of 156”,Name: “Table 1 of 1 on page 93 of 156”,Name: “Table 1 of 1 on page 93 of 156”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Recreation and Tourism,Recreation and Tourism
Recreation/Tourism Employment,Recreation/Tourism Employment,Recreation/Tourism Employment,Recreation/Tourism Employment,,
"Botetourt, VA",11.3,"Middlesex, VA",17.3,"Hampton, VA (city)",13.1
"Buckingham, VA",3.7,"Montgomery, VA",15.2,"Harrisonburg, VA (city)",15.1
"Campbell, VA",5.3,"Nelson, VA",30.2,"Hopewell, VA (city)",17.7
"Caroline, VA",10.1,"New Kent, VA",12.0,"Lexington, VA (city)",24.0
"Charles City, VA",5.2,"Northampton, VA",12.3,"Lynchburg, VA (city)",10.7
"Charlotte, VA",4.1,"Northumberland, VA",7.9,"Manassas, VA (city)",8.4
"Chesterfield, VA",12.5,"Nottoway, VA",9.7,"Manassas Park, VA (city)",3.7
"Clarke, VA",5.7,"Orange, VA",9.8,"Newport News, VA (city)",9.3
"Craig, VA",17.4,"Page, VA",15.8,"Norfolk, VA (city)",10.7
"Culpeper, VA",6.8,"Powhatan, VA",7.6,"Petersburg, VA (city)",7.1
"Cumberland, VA",4.3,"Prince Edward, VA",14.3,"Poquoson, VA (city)",22.1
"Dinwiddie, VA",5.3,"Prince George, VA",8.2,"Portsmouth, VA (city)",10.0
"Essex, VA",14.8,"Prince William, VA",14.2,"Richmond, VA (city)",8.2
"Fairfax, VA",8.4,"Rappahannock, VA",24.4,"Roanoke, VA (city)",8.5
"Fauquier, VA",13.1,"Richmond, VA",8.7,"Salem, VA (city)",8.6
"Fluvanna, VA",13.5,"Roanoke, VA",10.7,"Staunton, VA (city)",12.7
"Frederick, VA",8.9,"Rockbridge, VA",12.6,"Suffolk, VA (city)",9.0
"Giles, VA",8.3,"Rockingham, VA",8.5,"Virginia Beach, VA (city)",15.1
"Gloucester, VA",14.3,"Shenandoah, VA",12.5,"Waynesboro, VA (city)",13.8
"Goochland, VA",10.8,"Spotsylvania, VA",11.0,"Williamsburg, VA (city)",50.4
"Greene, VA",13.2,"Stafford, VA",15.6,"Winchester, VA (city)",8.5
"Hanover, VA",13.2,"Surry, VA",4.9,"Berkeley, WV",11.8
"Henrico, VA",10.1,"Warren, VA",10.4,"Grant, WV",5.7
"Highland, VA",17.1,"Westmoreland, VA",13.4,"Greenbrier, WV",23.4
"Isle of Wight, VA",8.9,"York, VA",21.5,"Hampshire, WV",10.3
"James City, VA",13.4,"Alexandria, VA (city)",9.9,"Hardy, WV",6.1
"King and Queen, VA",6.9,"Bedford, VA (city)",11.9,"Jefferson, WV",24.9
"King George, VA",8.4,"Buena Vista, VA (city)",5.6,"Mineral, WV",10.8
"King William, VA",7.3,"Charlottesville, VA (city)",16.7,"Monroe, WV",5.0
"Lancaster, VA",11.6,"Chesapeake, VA (city)",10.9,"Morgan, WV",18.7
"Loudoun, VA",10.6,"Colonial Heights, VA (city)",14.6,"Pendleton, WV",18.7
"Louisa, VA",6.7,"Covington, VA (city)",7.3,"Pocahontas, WV",39.9
"Lunenburg, VA",3.4,"Fairfax, VA (city)",12.5,"Preston, WV",7.4
"Madison, VA",9.9,"Falls Church, VA (city)",6.8,"Randolph, WV",8.9
"Mathews, VA",16.1,"Fredericksburg, VA (city)",19.2,"Tucker, WV",36.2
,,,,United States,11.1
,,,,,87
