Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”,Name: “Table 1 of 1 on page 49 of 156”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,
Chesapeake Bay Watershed and Its Region,,,,General Population,General Population
,Urban Population,Urban Population,Urban Population,,
"Botetourt, VA",33.5,"Middlesex, VA",0.0,"Hampton, VA (city)",99.8
"Buckingham, VA",0.0,"Montgomery, VA",69.3,"Harrisonburg, VA (city)",99.7
"Campbell, VA",38.2,"Nelson, VA",0.0,"Hopewell, VA (city)",100.0
"Caroline, VA",0.0,"New Kent, VA",0.0,"Lexington, VA (city)",100.0
"Charles City, VA",0.0,"Northampton, VA",0.0,"Lynchburg, VA (city)",96.8
"Charlotte, VA",0.0,"Northumberland, VA",0.0,"Manassas, VA (city)",100.0
"Chesterfield, VA",89.5,"Nottoway, VA",46.8,"Manassas Park, VA (city)",100.0
"Clarke, VA",23.5,"Orange, VA",33.1,"Newport News, VA (city)",100.0
"Craig, VA",0.0,"Page, VA",20.5,"Norfolk, VA (city)",100.0
"Culpeper, VA",27.8,"Powhatan, VA",8.8,"Petersburg, VA (city)",97.3
"Cumberland, VA",3.9,"Prince Edward, VA",28.8,"Poquoson, VA (city)",95.2
"Dinwiddie, VA",26.2,"Prince George, VA",40.5,"Portsmouth, VA (city)",100.0
"Essex, VA",20.2,"Prince William, VA",90.8,"Richmond, VA (city)",100.0
"Fairfax, VA",98.6,"Rappahannock, VA",0.0,"Roanoke, VA (city)",100.0
"Fauquier, VA",27.4,"Richmond, VA",15.7,"Salem, VA (city)",100.0
"Fluvanna, VA",30.1,"Roanoke, VA",77.9,"Staunton, VA (city)",99.3
"Frederick, VA",50.6,"Rockbridge, VA",3.6,"Suffolk, VA (city)",71.9
"Giles, VA",16.9,"Rockingham, VA",33.2,"Virginia Beach, VA (city)",98.6
"Gloucester, VA",28.0,"Shenandoah, VA",23.5,"Waynesboro, VA (city)",97.9
"Goochland, VA",6.8,"Spotsylvania, VA",65.2,"Williamsburg, VA (city)",100.0
"Greene, VA",0.0,"Stafford, VA",73.9,"Winchester, VA (city)",100.0
"Hanover, VA",56.6,"Surry, VA",0.0,"Berkeley, WV",54.3
"Henrico, VA",94.3,"Warren, VA",43.8,"Grant, WV",22.9
"Highland, VA",0.0,"Westmoreland, VA",25.6,"Greenbrier, WV",28.3
"Isle of Wight, VA",33.9,"York, VA",90.5,"Hampshire, WV",0.0
"James City, VA",71.3,"Alexandria, VA (city)",100.0,"Hardy, WV",0.0
"King and Queen, VA",0.0,"Bedford, VA (city)",100.0,"Jefferson, WV",31.9
"King George, VA",0.0,"Buena Vista, VA (city)",97.1,"Mineral, WV",38.2
"King William, VA",19.5,"Charlottesville, VA (city)",100.0,"Monroe, WV",10.6
"Lancaster, VA",0.0,"Chesapeake, VA (city)",90.0,"Morgan, WV",0.0
"Loudoun, VA",84.3,"Colonial Heights, VA (city)",100.0,"Pendleton, WV",0.0
"Louisa, VA",0.0,"Covington, VA (city)",100.0,"Pocahontas, WV",0.0
"Lunenburg, VA",0.0,"Fairfax, VA (city)",100.0,"Preston, WV",12.1
"Madison, VA",0.0,"Falls Church, VA (city)",100.0,"Randolph, WV",34.9
"Mathews, VA",0.0,"Fredericksburg, VA (city)",99.7,"Tucker, WV",0.0
,,,,United States,79.0
,,,,,43
