Name: “Table 1 of 1 on page 117 of 156”,Name: “Table 1 of 1 on page 117 of 156”,Name: “Table 1 of 1 on page 117 of 156”,Name: “Table 1 of 1 on page 117 of 156”,Name: “Table 1 of 1 on page 117 of 156”,Name: “Table 1 of 1 on page 117 of 156”
Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,,Land Use
,Federal Land Management,Federal Land Management,Federal Land Management,Federal Land Management,
"Botetourt, VA",24.3,"Middlesex, VA",--,"Hampton, VA (city)",--
"Buckingham, VA",--,"Montgomery, VA",7.8,"Harrisonburg, VA (city)",--
"Campbell, VA",--,"Nelson, VA",8.1,"Hopewell, VA (city)",0.3
"Caroline, VA",0.0,"New Kent, VA",--,"Lexington, VA (city)",--
"Charles City, VA",--,"Northampton, VA",0.0,"Lynchburg, VA (city)",--
"Charlotte, VA",1.1,"Northumberland, VA",--,"Manassas, VA (city)",--
"Chesterfield, VA",0.0,"Nottoway, VA",--,"Manassas Park, VA (city)",--
"Clarke, VA",2.0,"Orange, VA",0.4,"Newport News, VA (city)",--
"Craig, VA",55.4,"Page, VA",32.9,"Norfolk, VA (city)",0.0
"Culpeper, VA",--,"Powhatan, VA",--,"Petersburg, VA (city)",5.8
"Cumberland, VA",--,"Prince Edward, VA",--,"Poquoson, VA (city)",--
"Dinwiddie, VA",0.1,"Prince George, VA",0.3,"Portsmouth, VA (city)",0.1
"Essex, VA",--,"Prince William, VA",9.0,"Richmond, VA (city)",--
"Fairfax, VA",0.9,"Rappahannock, VA",18.6,"Roanoke, VA (city)",--
"Fauquier, VA",0.2,"Richmond, VA",--,"Salem, VA (city)",--
"Fluvanna, VA",--,"Roanoke, VA",5.0,"Staunton, VA (city)",--
"Frederick, VA",1.8,"Rockbridge, VA",17.7,"Suffolk, VA (city)",--
"Giles, VA",29.0,"Rockingham, VA",32.3,"Virginia Beach, VA (city)",0.2
"Gloucester, VA",0.0,"Shenandoah, VA",23.0,"Waynesboro, VA (city)",--
"Goochland, VA",--,"Spotsylvania, VA",2.3,"Williamsburg, VA (city)",1.2
"Greene, VA",15.6,"Stafford, VA",1.3,"Winchester, VA (city)",--
"Hanover, VA",0.1,"Surry, VA",0.1,"Berkeley, WV",--
"Henrico, VA",0.6,"Warren, VA",15.0,"Grant, WV",6.5
"Highland, VA",20.5,"Westmoreland, VA",0.4,"Greenbrier, WV",16.5
"Isle of Wight, VA",--,"York, VA",5.9,"Hampshire, WV",0.9
"James City, VA",3.2,"Alexandria, VA (city)",--,"Hardy, WV",13.9
"King and Queen, VA",--,"Bedford, VA (city)",--,"Jefferson, WV",1.8
"King George, VA",--,"Buena Vista, VA (city)",--,"Mineral, WV",0.8
"King William, VA",--,"Charlottesville, VA (city)",--,"Monroe, WV",6.7
"Lancaster, VA",--,"Chesapeake, VA (city)",1.2,"Morgan, WV",0.1
"Loudoun, VA",0.4,"Colonial Heights, VA (city)",--,"Pendleton, WV",29.3
"Louisa, VA",0.0,"Covington, VA (city)",--,"Pocahontas, WV",51.5
"Lunenburg, VA",--,"Fairfax, VA (city)",--,"Preston, WV",0.9
"Madison, VA",16.1,"Falls Church, VA (city)",--,"Randolph, WV",30.6
"Mathews, VA",--,"Fredericksburg, VA (city)",3.2,"Tucker, WV",37.8
,,,,United States,27.1
,,,,,111
