Name: “Table 1 of 1 on page 141 of 156”,Name: “Table 1 of 1 on page 141 of 156”,Name: “Table 1 of 1 on page 141 of 156”,Name: “Table 1 of 1 on page 141 of 156”,Name: “Table 1 of 1 on page 141 of 156”,Name: “Table 1 of 1 on page 141 of 156”
Table: 139,Table: 139,Table: 139,Table: 139,Table: 139,Table: 139
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,,Land Use
,,Building Permits,Building Permits,,
"Botetourt, VA",222.8,"Middlesex, VA",106.5,"Hampton, VA (city)",441.6
"Buckingham, VA",62.7,"Montgomery, VA",470.3,"Harrisonburg, VA (city)",308.7
"Campbell, VA",255.5,"Nelson, VA",139.7,"Hopewell, VA (city)",90.4
"Caroline, VA",250.6,"New Kent, VA",169.5,"Lexington, VA (city)",17.5
"Charles City, VA",216.5,"Northampton, VA",105.5,"Lynchburg, VA (city)",224.8
"Charlotte, VA",82.1,"Northumberland, VA",95.3,"Manassas, VA (city)",93.9
"Chesterfield, VA","2,324.5","Nottoway, VA",56.8,"Manassas Park, VA (city)",123.6
"Clarke, VA",112.6,"Orange, VA",321.5,"Newport News, VA (city)",607.8
"Craig, VA",33.1,"Page, VA",110.2,"Norfolk, VA (city)",461.8
"Culpeper, VA",392.0,"Powhatan, VA",302.9,"Petersburg, VA (city)",39.6
"Cumberland, VA",69.5,"Prince Edward, VA",527.5,"Poquoson, VA (city)",50.0
"Dinwiddie, VA",660.7,"Prince George, VA",209.6,"Portsmouth, VA (city)",276.1
"Essex, VA",118.2,"Prince William, VA","3,930.0","Richmond, VA (city)",350.5
"Fairfax, VA","5,780.7","Rappahannock, VA",85.5,"Roanoke, VA (city)",175.5
"Fauquier, VA",529.8,"Richmond, VA",53.2,"Salem, VA (city)",142.8
"Fluvanna, VA",348.8,"Roanoke, VA",492.9,"Staunton, VA (city)",224.0
"Frederick, VA",664.5,"Rockbridge, VA",124.5,"Suffolk, VA (city)",679.9
"Giles, VA",76.6,"Rockingham, VA",454.5,"Virginia Beach, VA (city)","1,917.9"
"Gloucester, VA",204.7,"Shenandoah, VA",325.4,"Waynesboro, VA (city)",100.6
"Goochland, VA",230.4,"Spotsylvania, VA","1,302.2","Williamsburg, VA (city)",77.8
"Greene, VA",72.9,"Stafford, VA","1,342.4","Winchester, VA (city)",139.5
"Hanover, VA",840.5,"Surry, VA",57.3,"Berkeley, WV",941.5
"Henrico, VA","2,066.6","Warren, VA",253.5,"Grant, WV",30.8
"Highland, VA",114.4,"Westmoreland, VA",122.5,"Greenbrier, WV",137.5
"Isle of Wight, VA",207.3,"York, VA",502.5,"Hampshire, WV",120.0
"James City, VA",829.0,"Alexandria, VA (city)",511.6,"Hardy, WV",109.3
"King and Queen, VA",40.8,"Bedford, VA (city)",16.3,"Jefferson, WV",344.7
"King George, VA",240.6,"Buena Vista, VA (city)",112.8,"Mineral, WV",125.0
"King William, VA",134.7,"Charlottesville, VA (city)",116.4,"Monroe, WV",0.5
"Lancaster, VA",642.9,"Chesapeake, VA (city)","1,450.1","Morgan, WV",155.4
"Loudoun, VA","4,598.5","Colonial Heights, VA (city)",67.3,"Pendleton, WV",44.6
"Louisa, VA",364.5,"Covington, VA (city)",9.5,"Pocahontas, WV",8.3
"Lunenburg, VA",23.6,"Fairfax, VA (city)",68.1,"Preston, WV",4.4
"Madison, VA",110.8,"Falls Church, VA (city)",7.1,"Randolph, WV",20.9
"Mathews, VA",64.4,"Fredericksburg, VA (city)",148.7,"Tucker, WV",6.3
,,,,United States,"1,609,936.7"
,,,,,135
