Name: “Table 1 of 1 on page 89 of 156”,Name: “Table 1 of 1 on page 89 of 156”,Name: “Table 1 of 1 on page 89 of 156”,Name: “Table 1 of 1 on page 89 of 156”,Name: “Table 1 of 1 on page 89 of 156”,Name: “Table 1 of 1 on page 89 of 156”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,Recreation and Tourism,Recreation and Tourism
Recreation/Tourism Establishments,Recreation/Tourism Establishments,Recreation/Tourism Establishments,Recreation/Tourism Establishments,Recreation/Tourism Establishments,
"Botetourt, VA",7.1,"Middlesex, VA",11.7,"Hampton, VA (city)",11.0
"Buckingham, VA",2.6,"Montgomery, VA",10.5,"Harrisonburg, VA (city)",10.4
"Campbell, VA",5.6,"Nelson, VA",6.8,"Hopewell, VA (city)",12.6
"Caroline, VA",7.5,"New Kent, VA",6.8,"Lexington, VA (city)",20.0
"Charles City, VA",9.3,"Northampton, VA",10.2,"Lynchburg, VA (city)",9.9
"Charlotte, VA",5.0,"Northumberland, VA",8.4,"Manassas, VA (city)",8.3
"Chesterfield, VA",7.8,"Nottoway, VA",9.5,"Manassas Park, VA (city)",4.1
"Clarke, VA",4.9,"Orange, VA",9.3,"Newport News, VA (city)",10.2
"Craig, VA",5.2,"Page, VA",12.7,"Norfolk, VA (city)",10.8
"Culpeper, VA",7.2,"Powhatan, VA",4.7,"Petersburg, VA (city)",9.6
"Cumberland, VA",4.3,"Prince Edward, VA",8.6,"Poquoson, VA (city)",10.9
"Dinwiddie, VA",5.3,"Prince George, VA",9.6,"Portsmouth, VA (city)",10.0
"Essex, VA",11.2,"Prince William, VA",9.2,"Richmond, VA (city)",9.2
"Fairfax, VA",8.1,"Rappahannock, VA",9.5,"Roanoke, VA (city)",9.1
"Fauquier, VA",8.1,"Richmond, VA",6.7,"Salem, VA (city)",10.1
"Fluvanna, VA",5.7,"Roanoke, VA",7.5,"Staunton, VA (city)",9.7
"Frederick, VA",7.2,"Rockbridge, VA",13.7,"Suffolk, VA (city)",7.7
"Giles, VA",8.9,"Rockingham, VA",5.9,"Virginia Beach, VA (city)",11.4
"Gloucester, VA",8.1,"Shenandoah, VA",9.8,"Waynesboro, VA (city)",9.4
"Goochland, VA",6.5,"Spotsylvania, VA",7.8,"Williamsburg, VA (city)",23.3
"Greene, VA",7.2,"Stafford, VA",9.1,"Winchester, VA (city)",9.8
"Hanover, VA",6.5,"Surry, VA",6.3,"Berkeley, WV",11.3
"Henrico, VA",8.3,"Warren, VA",9.7,"Grant, WV",7.7
"Highland, VA",6.6,"Westmoreland, VA",11.1,"Greenbrier, WV",9.8
"Isle of Wight, VA",8.3,"York, VA",10.6,"Hampshire, WV",10.1
"James City, VA",8.6,"Alexandria, VA (city)",9.2,"Hardy, WV",10.0
"King and Queen, VA",1.6,"Bedford, VA (city)",9.1,"Jefferson, WV",14.1
"King George, VA",8.5,"Buena Vista, VA (city)",10.0,"Mineral, WV",12.4
"King William, VA",7.6,"Charlottesville, VA (city)",12.3,"Monroe, WV",9.0
"Lancaster, VA",9.2,"Chesapeake, VA (city)",7.9,"Morgan, WV",11.6
"Loudoun, VA",7.3,"Colonial Heights, VA (city)",11.2,"Pendleton, WV",10.6
"Louisa, VA",4.6,"Covington, VA (city)",9.8,"Pocahontas, WV",11.5
"Lunenburg, VA",7.7,"Fairfax, VA (city)",8.0,"Preston, WV",7.5
"Madison, VA",5.0,"Falls Church, VA (city)",12.3,"Randolph, WV",9.1
"Mathews, VA",10.0,"Fredericksburg, VA (city)",12.1,"Tucker, WV",19.6
,,,,United States,9.7
,,,,,83
