Name: “Table 1 of 1 on page 41 of 156”,Name: “Table 1 of 1 on page 41 of 156”,Name: “Table 1 of 1 on page 41 of 156”,Name: “Table 1 of 1 on page 41 of 156”,Name: “Table 1 of 1 on page 41 of 156”,Name: “Table 1 of 1 on page 41 of 156”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,
Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,,,General Population,General Population
,Population Density Change,Population Density Change,Population Density Change,,
"Botetourt, VA",34.3,"Middlesex, VA",28.4,"Hampton, VA (city)",13.5
"Buckingham, VA",28.8,"Montgomery, VA",23.6,"Harrisonburg, VA (city)",48.4
"Campbell, VA",14.2,"Nelson, VA",21.5,"Hopewell, VA (city)",-5.0
"Caroline, VA",47.4,"New Kent, VA",80.2,"Lexington, VA (city)",-0.2
"Charles City, VA",12.4,"Northampton, VA",0.6,"Lynchburg, VA (city)",1.2
"Charlotte, VA",7.2,"Northumberland, VA",27.2,"Manassas, VA (city)",77.9
"Chesterfield, VA",69.3,"Nottoway, VA",3.9,"Manassas Park, VA (city)",73.9
"Clarke, VA",30.0,"Orange, VA",62.3,"Newport News, VA (city)",12.3
"Craig, VA",24.0,"Page, VA",19.2,"Norfolk, VA (city)",-14.9
"Culpeper, VA",83.7,"Powhatan, VA",106.4,"Petersburg, VA (city)",-17.9
"Cumberland, VA",21.2,"Prince Edward, VA",22.4,"Poquoson, VA (city)",14.3
"Dinwiddie, VA",22.8,"Prince George, VA",38.2,"Portsmouth, VA (city)",-3.1
"Essex, VA",21.3,"Prince William, VA",96.5,"Richmond, VA (city)",-8.4
"Fairfax, VA",35.9,"Rappahannock, VA",16.1,"Roanoke, VA (city)",-7.4
"Fauquier, VA",55.4,"Richmond, VA",31.4,"Salem, VA (city)",5.6
"Fluvanna, VA",130.5,"Roanoke, VA",18.6,"Staunton, VA (city)",-2.6
"Frederick, VA",84.1,"Rockbridge, VA",19.0,"Suffolk, VA (city)",63.4
"Giles, VA",2.9,"Rockingham, VA",34.7,"Virginia Beach, VA (city)",27.5
"Gloucester, VA",42.1,"Shenandoah, VA",37.1,"Waynesboro, VA (city)",17.2
"Goochland, VA",56.3,"Spotsylvania, VA",182.4,"Williamsburg, VA (city)",10.5
"Greene, VA",96.8,"Stafford, VA",144.5,"Winchester, VA (city)",27.1
"Hanover, VA",81.5,"Surry, VA",15.8,"Berkeley, WV",86.8
"Henrico, VA",41.2,"Warren, VA",56.3,"Grant, WV",15.1
"Highland, VA",-5.4,"Westmoreland, VA",17.8,"Greenbrier, WV",-3.7
"Isle of Wight, VA",47.6,"York, VA",61.2,"Hampshire, WV",47.3
"James City, VA",107.6,"Alexandria, VA (city)",23.2,"Hardy, WV",28.8
"King and Queen, VA",11.5,"Bedford, VA (city)",3.7,"Jefferson, WV",51.7
"King George, VA",81.3,"Buena Vista, VA (city)",2.8,"Mineral, WV",0.7
"King William, VA",54.9,"Charlottesville, VA (city)",1.3,"Monroe, WV",6.1
"Lancaster, VA",8.5,"Chesapeake, VA (city)",66.5,"Morgan, WV",46.9
"Loudoun, VA",278.5,"Colonial Heights, VA (city)",8.3,"Pendleton, WV",-4.9
"Louisa, VA",63.3,"Covington, VA (city)",-19.6,"Pocahontas, WV",-7.8
"Lunenburg, VA",12.9,"Fairfax, VA (city)",12.8,"Preston, WV",0.8
"Madison, VA",24.1,"Falls Church, VA (city)",10.7,"Randolph, WV",-0.6
"Mathews, VA",10.4,"Fredericksburg, VA (city)",24.0,"Tucker, WV",-14.6
,,,,United States,24.7
,,,,,35
