Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”,Name: “Table 1 of 1 on page 21 of 22”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,,,,,,,,,,
,then,running,running,approximately,approximately,approximately,300°,True,True,to,,,,,,,,
a,point,"(61B),","(61B),",,,,,,,,,,,,,,,
,defined,by,Lat.,38°,06',"3.1""",,N.,and,Long.,Long.,76°,23',"37.7""","37.7""",W.;,,
,then,running,running,approximately,approximately,approximately,319°,True,True,to,,,,,,,,
a,point,at,or,near,the,shore,of,Tick,Tick,Neck,"(61C),","(61C),",,,,,,
,defined,by,Lat.,38°,06',"15.6""",,N.,and,Long.,Long.,76°,23',"51.7""","51.7""",W.,,
All,of,the,waters,of,Saint,Mary's,Mary's,Mary's,River,River,enclosed,enclosed,by,a,line,beginning,beginning,at
a,point,at,or,near,the,shore,at,Windmill,Windmill,Windmill,"Point(62A),","Point(62A),","Point(62A),",,,,,
,defined,by,Lat.,38°,09',"31.3""",,N.,and,Long.,Long.,76°,26',"59.6""","59.6""",W.;,,
,then,running,running,approximately,approximately,approximately,34°,True,True,to,,,,,,,,
a,point,"(62B),","(62B),",,,,,,,,,,,,,,,
,defined,by,Lat.,38°,09',"43.3""",,N.,and,Long.,Long.,76°,26',"49.5""","49.5""",W.;,,
,then,running,running,approximately,approximately,approximately,167°,True,True,to,,,,,,,,
a,point,"(62C),","(62C),",,,,,,,,,,,,,,,
,defined,by,Lat.,38°,09',"30.9""",,N.,and,Long.,Long.,76°,26',"45.8""","45.8""",W.;,,
,then,running,running,approximately,approximately,approximately,195°,True,True,to,,,,,,,,
a,point,"(62D),","(62D),",,,,,,,,,,,,,,,
,defined,by,Lat.,38°,09',"19.2""",,N.,and,Long.,Long.,76°,26',"49.8""","49.8""",W.;,,
,then,running,running,approximately,approximately,approximately,325°,True,True,to,,,,,,,,
a,point,at,or,near,the,shore,at,Windmill,Windmill,Windmill,Point,"(62E),","(62E),","(62E),",,,,
,defined,by,Lat.,38°,09',"31.2""",,N.,and,Long.,Long.,76°,27',,"0.3""",W.,,
All,of,the,waters,of,Saint,Mary's,Mary's,Mary's,River,River,west,of,a,line,beginning,beginning,at,
a,point,at,or,near,the,shore,at,Edmund,Edmund,Point,Point,"(63A),","(63A),",,,,,
,defined,by,Lat.,38°,08',"22.2""",,N.,and,Long.,Long.,76°,27',"40.3""","40.3""",W.;,,
,then,running,running,approximately,approximately,approximately,89°,True,True,to,,,,,,,,
a,point,"(63B),","(63B),",,,,,,,,,,,,,,,
,defined,by,Lat.,38°,08',"22.3""",,N.,and,Long.,Long.,76°,27',"35.6""","35.6""",W.;,,
,then,running,running,approximately,approximately,approximately,173°,True,True,to,,,,,,,,
a,point,"(63C),","(63C),",,,,,,,,,,,,,,,
,defined,by,Lat.,38°,07',"58.2""",,N.,and,Long.,Long.,76°,27',"32.1""","32.1""",W.;,,
,then,running,running,approximately,approximately,approximately,219°,True,True,to,,,,,,,,
a,point,at,or,near,the,shore,at,Cherryfield,Cherryfield,Cherryfield,Cherryfield,Point,Point,"(63D),","(63D),",,,
,defined,by,Lat.,38°,07',"41.1""",,N.,and,Long.,Long.,76°,27',"49.9""","49.9""",W.,,
All,of,the,waters,of,Saint,Mary's,Mary's,Mary's,River,River,and,Saint,Saint,George's,George's,Creek,west,of
a,line,beginning,beginning,at,,,,,,,,,,,,,,
a,point,at,or,near,the,shore,at,Indigo,Indigo,Point,Point,of,Saint,Saint,Georges,Georges,Island,
"(64A),","(64A),",,,,,,,,,,,,,,,,,
,defined,by,Lat.,38°,06',"34.6""",,N.,and,Long.,Long.,76°,28',"1.9""","1.9""",W.;,,
,then,running,running,approximately,approximately,approximately,53°,True,True,to,,,,,,,,
a,point,"(64B),","(64B),",,,,,,,,,,,,,,,
,defined,by,Lat.,38°,06',"42.4""",,N.,and,Long.,Long.,76°,27',"49.0""","49.0""",W.;,,
,then,running,running,approximately,approximately,approximately,359°,True,True,to,,,,,,,,
a,point,at,or,near,the,shore,at,Cherryfield,Cherryfield,Cherryfield,Cherryfield,Point,Point,"(64C),","(64C),",,,
,defined,by,Lat.,38°,07',"41.6""",,N.,and,Long.,Long.,76°,27',"50.2""","50.2""",W.;,,
and,south,of,a,line,beginning,beginning,at,,,,,,,,,,,
a,point,at,or,near,the,east,shore,shore,of,Price,Cove,Cove,"(64D),","(64D),",,,,
,defined,by,Lat.,38°,08',"22.8""",,N.,and,Long.,Long.,76°,28',"18.3""","18.3""",W.;,,
,then,running,running,approximately,approximately,approximately,234°,True,True,to,,,,,,,,
