Name: “Table 1 of 1 on page 67 of 170”,Name: “Table 1 of 1 on page 67 of 170”,Name: “Table 1 of 1 on page 67 of 170”,Name: “Table 1 of 1 on page 67 of 170”,Name: “Table 1 of 1 on page 67 of 170”
Table: 66,Table: 66,Table: 66,Table: 66,Table: 66
,,,,
,,,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data
Table A-6.,Composite Phytoplankton Metric Data File Format-Continued,Composite Phytoplankton Metric Data File Format-Continued,Composite Phytoplankton Metric Data File Format-Continued,Composite Phytoplankton Metric Data File Format-Continued
Field Name,Type,Type,Width,Description
LATITUDE,Number,Number,8.5,Latitude in Decimal Degrees (NAD83)
LONGITUDE,Number,Number,8.5,Longitude in Decimal Degrees (NAD83)
The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:
Name,Type,Width,Description,
BASIN,Text,,20,Chesapeake Bay Basin Designation
HUC8,Text,,8,USGS Eight Digit Hydrologic Unit Code
CATALOGING_UNIT_DESCRIPTION,CATALOGING_UNIT_DESCRIPTION,CATALOGING_UNIT_DESCRIPTION,,
,Text,,50,USGS Cataloging Unit Code Description
FIPS,Text,,5,Federal Information Processing Code
STATE,Text,,3,Federal Information Processing Code State Designation
COUNTY_CITY,Text,,30,Federal Information Processing Code City/County Designation
CBSEG_2003,Text,,6,2003 Chesapeake Bay Segment Designation
CBSEG_2003_DESCRIPTION,CBSEG_2003_DESCRIPTION,CBSEG_2003_DESCRIPTION,,
,Text,,50,2003 Chesapeake Bay Segment Designation Description
Table A-7. Phytoplankton Index of Biotic Integrity Metric Data File Format,Table A-7. Phytoplankton Index of Biotic Integrity Metric Data File Format,Table A-7. Phytoplankton Index of Biotic Integrity Metric Data File Format,Table A-7. Phytoplankton Index of Biotic Integrity Metric Data File Format,Table A-7. Phytoplankton Index of Biotic Integrity Metric Data File Format
Field Name,Type,Width,Description,
SURVEY_ID,Number,8,Database Generated Event Identification Number,Database Generated Event Identification Number
STATION,Text,15,Sampling Station,Sampling Station
SAMPLE_DATE,Date/Time,Date/Time,,
,,8,Sampling Date (MM/DD/YYYY),Sampling Date (MM/DD/YYYY)
SAMPLE_TIME,Date/Time,Date/Time,,
,,8,Sample Collection Time (HHMM),Sample Collection Time (HHMM)
IBI_PARAMETER,Text,15,IBI Parameter,IBI Parameter
IBI_VALUE,Number,8.4,Parameter Value,Parameter Value
IBI_SCORE,Number,8.0,Value Reporting Units,Value Reporting Units
IBI_SALZONE,Text,1,Water Layer Salinity Zone Designation,Water Layer Salinity Zone Designation
R_DATE,Date/Time,Date/Time,,
,,8,Data Version Date (MM/DD/YYYY),Data Version Date (MM/DD/YYYY)
SEASON,Text,6,,CBP Season Designation
DATA_TYPE,Text,3,Sample Type Code,Sample Type Code
LATITUDE,Number,8.5,Latitude (Decimal Degrees-NAD83),Latitude (Decimal Degrees-NAD83)
LONGIDUDE,Number,8.5,Longitude (Decimal Degrees-NAD83),Longitude (Decimal Degrees-NAD83)
SITE_TYPE,Text,10,Sampling Site Type,Sampling Site Type
The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:,The following field may also appear in a downloaded data set:
Name,Type,,Width,Description
BASIN,Text,,20,Chesapeake Bay Basin Designation
HUC8,Text,,8,USGS Eight Digit Hydrologic Unit Code
CATALOGING_UNIT_DESCRIPTION,CATALOGING_UNIT_DESCRIPTION,CATALOGING_UNIT_DESCRIPTION,,
,Text,,50,USGS Cataloging Unit Code Description
FIPS,Text,,5,Federal Information Processing Code
STATE,Text,,3,Federal Information Processing Code State Designation
COUNTY_CITY,Text,,30,Federal Information Processing Code City/County Designation
CBSEG_2003,Text,,6,2003 Chesapeake Bay Segment Designation
CBSEG_2003_DESCRIPTION,CBSEG_2003_DESCRIPTION,CBSEG_2003_DESCRIPTION,,
,Text,,50,2003 Chesapeake Bay Segment Designation Description
,,,,65
