Name: “Table 1 of 1 on page 50 of 170”,Name: “Table 1 of 1 on page 50 of 170”,Name: “Table 1 of 1 on page 50 of 170”,Name: “Table 1 of 1 on page 50 of 170”,Name: “Table 1 of 1 on page 50 of 170”,Name: “Table 1 of 1 on page 50 of 170”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,
,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,
BIO_,,SUBSAMPLE,HABITAT,TAXON,GEAR
METHOD,BIO_METHOD_TITLE,COUNT,TYPE,LEVEL,DESCRIPTION
,Fairfax county-RBP for Coastal Plain,,,,
BE113,physiographic provinces,200,Multi,Family,Kick Net
,,,,,Rectangular
BE114,ICPRB Protocol-quantitative,200,Multi,Family,Dip Net
BE116,EPA Wadeable Streams Assessment Protocol,500,Multi,Genus,D-Frame Net
BE117,District Of Columbia-Contractor Protocol,100,Unspecified,Genus & Species,D-Frame Net
BE118,Prince Georges County-unspecified,100,Multi,Genus,D-Frame Net
BE119,USFS Sampling Protocol,200,Riffle,Family,Kick Seine
,The NYSDEC Stream Biomonitoring-,,,,
BE120,JAB SAMPLE PROTOCOL,100,Multi,Genus & Species,Kick Net
BE121,LOUDEN COUNTY Single Habitat,100,Riffle,Family,D-Frame Net
BE122,DISTRICT OF COLUMBIA-In-house Protocol,100,Unspecified,Family,D-Frame Net
,Virginia Commonwealth University,,,,
BE123,Sampling Protocol,200,Multi,Genus & Species,D-Frame Net
BE124O,EPA EMAP-Unspecified Sampling Protocol,300,Other,Genus & Species,D-Frame Net
BE124P,EPA EMAP-POOL Sampling Protocol,300,Pool,Genus & Species,D-Frame Net
BE124R,EPA EMAP-RIFFLE Sampling Protocol,300,Riffle,Genus & Species,D-Frame Net
BE125A,USGS-RTH-NOSNAG Sampling Protocol,500,Multi,Genus & Species,D-Frame Net
BE125B,USGS-RTH-SNAG Sampling Protocol,500,Multi,Genus & Species,D-Frame Net
