Name: “Table 1 of 1 on page 102 of 170”,Name: “Table 1 of 1 on page 102 of 170”,Name: “Table 1 of 1 on page 102 of 170”,Name: “Table 1 of 1 on page 102 of 170”,Name: “Table 1 of 1 on page 102 of 170”,Name: “Table 1 of 1 on page 102 of 170”
Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101
,,,,,
,,,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data
FIPS,STATE,NAME,FIPS,STATE,NAME
24043,MD,WASHINGTON,42099,PA,PERRY
24045,MD,WICOMICO,42105,PA,POTTER
24047,MD,WORCESTER,42107,PA,SCHUYLKILL
24510,MD,BALTIMORE CITY,42109,PA,SNYDER
36003,NY,ALLEGANY,42111,PA,SOMERSET
36007,NY,BROOME,42113,PA,SULLIVAN
36011,NY,CAYUGA,42115,PA,SUSQUEHANNA
36015,NY,CHEMUNG,42117,PA,TIOGA
36017,NY,CHENANGO,42119,PA,UNION
36023,NY,CORTLAND,42127,PA,WAYNE
36025,NY,DELAWARE,42131,PA,WYOMING
36043,NY,HERKIMER,42133,PA,YORK
36051,NY,LIVINGSTON,51001,VA,ACCOMACK
36053,NY,MADISON,51003,VA,ALBEMARLE
36065,NY,ONEIDA,51005,VA,ALLEGHANY
36067,NY,ONONDAGA,51007,VA,AMELIA
36069,NY,ONTARIO,51009,VA,AMHERST
36077,NY,OTSEGO,51011,VA,APPOMATTOX
36095,NY,SCHOHARIE,51013,VA,ARLINGTON
36097,NY,SCHUYLER,51015,VA,AUGUSTA
36101,NY,STEUBEN,51017,VA,BATH
36107,NY,TIOGA,51019,VA,BEDFORD
36109,NY,TOMPKINS,51023,VA,BOTETOURT
36123,NY,YATES,51029,VA,BUCKINGHAM
42001,PA,ADAMS,51031,VA,CAMPBELL
42009,PA,BEDFORD,51033,VA,CAROLINE
42011,PA,BERKS,51036,VA,CHARLES CITY
42013,PA,BLAIR,51037,VA,CHARLOTTE
42015,PA,BRADFORD,51041,VA,CHESTERFIELD
42021,PA,CAMBRIA,51043,VA,CLARKE
42023,PA,CAMERON,51045,VA,CRAIG
42025,PA,CARBON,51047,VA,CULPEPER
42027,PA,CENTRE,51049,VA,CUMBERLAND
42029,PA,CHESTER,51053,VA,DINWIDDIE
42033,PA,CLEARFIELD,51057,VA,ESSEX
42035,PA,CLINTON,51059,VA,FAIRFAX
42037,PA,COLUMBIA,51061,VA,FAUQUIER
42041,PA,CUMBERLAND,51065,VA,FLUVANNA
42043,PA,DAUPHIN,51069,VA,FREDERICK
42047,PA,ELK,51071,VA,GILES
42055,PA,FRANKLIN,51073,VA,GLOUCESTER
42057,PA,FULTON,51075,VA,GOOCHLAND
42061,PA,HUNTINGDON,51079,VA,GREENE
42063,PA,INDIANA,51085,VA,HANOVER
42065,PA,JEFFERSON,51087,VA,HENRICO
42067,PA,JUNIATA,51091,VA,HIGHLAND
42069,PA,LACKAWANNA,51093,VA,ISLE OF WIGHT
42071,PA,LANCASTER,51095,VA,JAMES CITY
42075,PA,LEBANON,51097,VA,KING AND QUEEN
42079,PA,LUZERNE,51099,VA,KING GEORGE
42081,PA,LYCOMING,51101,VA,KING WILLIAM
42083,PA,MCKEAN,51103,VA,LANCASTER
42087,PA,MIFFLIN,51107,VA,LOUDOUN
42093,PA,MONTOUR,51109,VA,LOUISA
42097,PA,NORTHUMBERLAND,51111,VA,LUNENBURG
,,,100,,
