Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”,Name: “Table 1 of 1 on page 137 of 170”
Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136
,,,,,,,,
Table C-40.,Agency Species Codes (SPECCODE).,Agency Species Codes (SPECCODE).,Agency Species Codes (SPECCODE).,Agency Species Codes (SPECCODE).,,,,
Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house,Many of the agencies reporting data containing species information have developed their own in-house
species codes. All of these codes are found in the SPECCODE column of a given data type.,species codes. All of these codes are found in the SPECCODE column of a given data type.,species codes. All of these codes are found in the SPECCODE column of a given data type.,species codes. All of these codes are found in the SPECCODE column of a given data type.,species codes. All of these codes are found in the SPECCODE column of a given data type.,species codes. All of these codes are found in the SPECCODE column of a given data type.,species codes. All of these codes are found in the SPECCODE column of a given data type.,species codes. All of these codes are found in the SPECCODE column of a given data type.,Codes will
vary by agency and data type.,vary by agency and data type.,The agency code column in most cases has been given the agency name,The agency code column in most cases has been given the agency name,The agency code column in most cases has been given the agency name,The agency code column in most cases has been given the agency name,The agency code column in most cases has been given the agency name,The agency code column in most cases has been given the agency name,The agency code column in most cases has been given the agency name
code in the data documentation.,code in the data documentation.,The valid alternate field names for SPECCODE are as follows:,The valid alternate field names for SPECCODE are as follows:,The valid alternate field names for SPECCODE are as follows:,The valid alternate field names for SPECCODE are as follows:,The valid alternate field names for SPECCODE are as follows:,The valid alternate field names for SPECCODE are as follows:,
SPECCODE,DESCRIPTION,,,,,,,
ANSCODE,"Academy of Natural Sciences, Benedict Estuarine Research Laboratory","Academy of Natural Sciences, Benedict Estuarine Research Laboratory","Academy of Natural Sciences, Benedict Estuarine Research Laboratory","Academy of Natural Sciences, Benedict Estuarine Research Laboratory","Academy of Natural Sciences, Benedict Estuarine Research Laboratory","Academy of Natural Sciences, Benedict Estuarine Research Laboratory",,
MSUCODE,Morgan State University,Morgan State University,,,,,,
