Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”
Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93
,,,,,,,,
,,,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,,,
,START_,END_,,START_,END_,,START_,END_
CRUISE,,,CRUISE,,,CRUISE,,
,DATE,DATE,,DATE,DATE,,DATE,DATE
BAY439,5/16/2006,5/31/2006,BAY485,7/16/2008,7/31/2008,BAY531,6/16/2010,6/30/2010
BAY440,6/1/2006,6/15/2006,BAY486,8/1/2008,8/15/2008,BAY532,7/1/2010,7/15/2010
BAY441,6/16/2006,6/30/2006,BAY487,8/16/2008,8/31/2008,BAY533,7/16/2010,7/30/2010
BAY442,7/1/2006,7/15/2006,BAY488,9/1/2008,9/14/2008,BAY534,8/1/2010,8/15/2010
BAY443,7/16/2006,7/31/2006,BAY489,9/15/2008,9/30/2008,BAY535,8/16/2010,8/31/2010
BAY444,8/1/2006,8/17/2006,BAY490,10/1/2008,10/15/2008,BAY536,9/1/2010,9/15/2010
BAY445,8/18/2006,8/31/2006,BAY491,10/16/2008,10/31/2008,BAY537,9/16/2010,9/30/2010
BAY446,9/1/2006,9/15/2006,BAY492,11/1/2008,11/15/2008,BAY538,10/1/2010,10/15/2010
BAY447,9/16/2006,9/30/2006,BAY493,11/16/2008,11/30/2008,BAY539,10/16/2010,10/31/2010
BAY448,10/1/2006,10/15/2006,BAY494,12/1/2008,12/15/2008,BAY540,11/1/2010,11/15/2010
BAY449,10/16/2006,10/31/2006,BAY495,12/16/2008,12/31/2008,BAY541,11/16/2010,11/30/2010
