Name: “Table 1 of 1 on page 131 of 170”,Name: “Table 1 of 1 on page 131 of 170”,Name: “Table 1 of 1 on page 131 of 170”,Name: “Table 1 of 1 on page 131 of 170”
Table: 130,Table: 130,Table: 130,Table: 130
,,,
,,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data
AGENCY,PROGRAM,PROJECT_CODE,PROJECT_DESCRIPTION
SRBC,WA,,Chemung Subbasin Survey Year 1 – 1997
SRBC,WA,,Chemung Subbasin Survey Year 1 – 2006
SRBC,WA,,"Chemung Subbasin Survey, Year 2 - Cohocton River Watershed"
SRBC,WA,,ICE sampling in the Yellow Breeches
SRBC,WA,,Interstate Stream Water Quality Network
SRBC,WA,,Juniata Subbasin Survey Year 1 – 1995
SRBC,WA,,Juniata Subbasin Survey Year 1 – 2004
SRBC,WA,,"Juniata Subbasin Survey, Year 2 - Morrison Cove"
SRBC,WA,,Large River Assessment 2005
SRBC,WA,,Large River Assessment 2007
SRBC,WA,,Large River Assessment Pilot Project
SRBC,WA,,Large River Assessment Programs-Ongoing
SRBC,WA,,Lower Susquehanna Subbasin Survey Year 1 – 1996
SRBC,WA,,"Lower Susquehanna Subbasin Survey, Year 1 – 2005"
SRBC,WA,,"Lower Susquehanna Subbasin Survey, Year 2 - Yellow Breeches Watershed"
SRBC,WA,,Middle Susquehanna Subbasin Survey - Year 2 (Wyalusing Creek)
SRBC,WA,,Middle Susquehanna Subbasin Survey Year 1 – 2001
SRBC,WA,,Middle Susquehanna Subbasin Survey-Ongoing
SRBC,WA,,New York EWS
SRBC,WA,,Science in Motion 2006
SRBC,WA,,Targeted Watershed Grant - Paxton Creek
SRBC,WA,,Upper Susquehanna Subbasin Survey Year 1 – 1998
SRBC,WA,,Upper Susquehanna Subbasin Survey Year 2 – 2000
SRBC,WA,,Upper Susquehanna Subbasin Survey Year 2 - Whitney Point
SRBC,WA,,"Upper Susquehanna Subbasin Survey, Year 1"
SRBC,WA,,"West Branch Subbasin Survey, Year 2 - Morgan Run"
SRBC,WA,,West Branch Susquehanna Subbasin Survey Year 1 – 2002
SRBC,WA,,"West Branch Susquehanna Subbasin Survey, 1994"
SRBC,WA,,Whitney Point Lake and Watershed Adaptive Management and Monitoring
,,,Plan
USEPA,EMAP,,EPA Wadeable Streams Assessment
USEPA,EPA\NCAS,MAIN/TRIB,Long-Term Benthic Monitoring Program
USEPA,EPA\NCAS,VA/CBAY,Virginia Coastal Bay Monitoring
USEPA,MAHA,,Mid-Atlantic Highlands Assessment
USEPA,WSA,,Wadeable Stream Assessment Program
USFS,SA,,Jefferson/George Washington National Forest Stream Assessment
USGS,NAWQA,,National Water-Quality Assessment Program
VADEQ,SA,,ProbMon
VADEQ,SA,,Special Study &/Or Monitoring 2000-Ongoing
VADEQ,SA,,Special Study &/Or Monitoring 2003-2007
VADEQ,SA,,TMDL
VADEQ,WQMP,MAINSTEM,Chesapeake Bay Mainstem
VADEQ,WQMP,MAIN/TRIB,Long-Term Benthic Monitoring Program
VCU,INSTAR,,Virginia Commonwealth University Instar Program
WVDEP,SA,,Ambient Monitoring Network
WVDEP,SA,,Long Term Monitoring Stations
WVDEP,SA,,Random Surveys
WVDEP,SA,,TMDL
WVDEP,SA,,Unassessed Watersheds
WVDEP,SA,,Watershed Assessment Protocol (WAP)
,,,129
