Name: “Table 1 of 1 on page 38 of 170”,Name: “Table 1 of 1 on page 38 of 170”,Name: “Table 1 of 1 on page 38 of 170”,Name: “Table 1 of 1 on page 38 of 170”,Name: “Table 1 of 1 on page 38 of 170”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,
,,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,
range of between 20 and 42 individuals in any given split. Species observed to be subdominant in the,range of between 20 and 42 individuals in any given split. Species observed to be subdominant in the,range of between 20 and 42 individuals in any given split. Species observed to be subdominant in the,range of between 20 and 42 individuals in any given split. Species observed to be subdominant in the,range of between 20 and 42 individuals in any given split. Species observed to be subdominant in the
final split are counted until they achieved the range for the 35% error level. Split sampling tests in early,final split are counted until they achieved the range for the 35% error level. Split sampling tests in early,final split are counted until they achieved the range for the 35% error level. Split sampling tests in early,final split are counted until they achieved the range for the 35% error level. Split sampling tests in early,final split are counted until they achieved the range for the 35% error level. Split sampling tests in early
1998 revealed that smaller zooplankton slipped through the last 200 micron sieve and CVS enumerated,1998 revealed that smaller zooplankton slipped through the last 200 micron sieve and CVS enumerated,1998 revealed that smaller zooplankton slipped through the last 200 micron sieve and CVS enumerated,1998 revealed that smaller zooplankton slipped through the last 200 micron sieve and CVS enumerated,1998 revealed that smaller zooplankton slipped through the last 200 micron sieve and CVS enumerated
"samples were consistently reported lower plankton densities than the HS enumerated samples (ICPRB,","samples were consistently reported lower plankton densities than the HS enumerated samples (ICPRB,","samples were consistently reported lower plankton densities than the HS enumerated samples (ICPRB,","samples were consistently reported lower plankton densities than the HS enumerated samples (ICPRB,","samples were consistently reported lower plankton densities than the HS enumerated samples (ICPRB,"
"2000). Furthermore, the sieving process broke off fragile plankton appendages making taxa identifications","2000). Furthermore, the sieving process broke off fragile plankton appendages making taxa identifications","2000). Furthermore, the sieving process broke off fragile plankton appendages making taxa identifications","2000). Furthermore, the sieving process broke off fragile plankton appendages making taxa identifications","2000). Furthermore, the sieving process broke off fragile plankton appendages making taxa identifications"
more difficult. From March 1998 to January 2000 a 75 micron sieve was added to the sieve stack in,more difficult. From March 1998 to January 2000 a 75 micron sieve was added to the sieve stack in,more difficult. From March 1998 to January 2000 a 75 micron sieve was added to the sieve stack in,more difficult. From March 1998 to January 2000 a 75 micron sieve was added to the sieve stack in,more difficult. From March 1998 to January 2000 a 75 micron sieve was added to the sieve stack in
hopes of capturing the smaller plankton lost by the original CVS method (method MZ102B). This,hopes of capturing the smaller plankton lost by the original CVS method (method MZ102B). This,hopes of capturing the smaller plankton lost by the original CVS method (method MZ102B). This,hopes of capturing the smaller plankton lost by the original CVS method (method MZ102B). This,hopes of capturing the smaller plankton lost by the original CVS method (method MZ102B). This
modification to the CVS method was found to be ineffective (ICPRB 2000) and abandoned in 2000.,modification to the CVS method was found to be ineffective (ICPRB 2000) and abandoned in 2000.,modification to the CVS method was found to be ineffective (ICPRB 2000) and abandoned in 2000.,modification to the CVS method was found to be ineffective (ICPRB 2000) and abandoned in 2000.,modification to the CVS method was found to be ineffective (ICPRB 2000) and abandoned in 2000.
-Chesapeake Bay Program Analytical Method MZ103,-Chesapeake Bay Program Analytical Method MZ103,-Chesapeake Bay Program Analytical Method MZ103,,
"From February 2000 to October 2002, Field samples were collected by taking five minute double-oblique","From February 2000 to October 2002, Field samples were collected by taking five minute double-oblique","From February 2000 to October 2002, Field samples were collected by taking five minute double-oblique","From February 2000 to October 2002, Field samples were collected by taking five minute double-oblique","From February 2000 to October 2002, Field samples were collected by taking five minute double-oblique"
pattern bongo net tows from bottom to surface. Bongo nets were equipped with flow meters. Samples,pattern bongo net tows from bottom to surface. Bongo nets were equipped with flow meters. Samples,pattern bongo net tows from bottom to surface. Bongo nets were equipped with flow meters. Samples,pattern bongo net tows from bottom to surface. Bongo nets were equipped with flow meters. Samples,pattern bongo net tows from bottom to surface. Bongo nets were equipped with flow meters. Samples
were enumerated using a HS method (Harris et.al. 2000). This procedure consisted of first counting at,were enumerated using a HS method (Harris et.al. 2000). This procedure consisted of first counting at,were enumerated using a HS method (Harris et.al. 2000). This procedure consisted of first counting at,were enumerated using a HS method (Harris et.al. 2000). This procedure consisted of first counting at,were enumerated using a HS method (Harris et.al. 2000). This procedure consisted of first counting at
least 60 individuals of the most dominant forms (usually Acartia tonsa) in a small sub sample (usually 1 -,least 60 individuals of the most dominant forms (usually Acartia tonsa) in a small sub sample (usually 1 -,least 60 individuals of the most dominant forms (usually Acartia tonsa) in a small sub sample (usually 1 -,least 60 individuals of the most dominant forms (usually Acartia tonsa) in a small sub sample (usually 1 -,least 60 individuals of the most dominant forms (usually Acartia tonsa) in a small sub sample (usually 1 -
"2 milliliters), followed by 5- and 10- milliliter sub samples from which all species that had counts less than","2 milliliters), followed by 5- and 10- milliliter sub samples from which all species that had counts less than","2 milliliters), followed by 5- and 10- milliliter sub samples from which all species that had counts less than","2 milliliters), followed by 5- and 10- milliliter sub samples from which all species that had counts less than","2 milliliters), followed by 5- and 10- milliliter sub samples from which all species that had counts less than"
"60 in the previous sub sample were counted. Macro zooplankton (amphipods, shrimp, etc.) were","60 in the previous sub sample were counted. Macro zooplankton (amphipods, shrimp, etc.) were","60 in the previous sub sample were counted. Macro zooplankton (amphipods, shrimp, etc.) were","60 in the previous sub sample were counted. Macro zooplankton (amphipods, shrimp, etc.) were","60 in the previous sub sample were counted. Macro zooplankton (amphipods, shrimp, etc.) were"
"identified when observed in sub samples. In addition, all samples, after the standard hierarchical counting","identified when observed in sub samples. In addition, all samples, after the standard hierarchical counting","identified when observed in sub samples. In addition, all samples, after the standard hierarchical counting","identified when observed in sub samples. In addition, all samples, after the standard hierarchical counting","identified when observed in sub samples. In addition, all samples, after the standard hierarchical counting"
"technique, were filtered through an 850-micrometer sieve. Mesozooplankton that were retained in the","technique, were filtered through an 850-micrometer sieve. Mesozooplankton that were retained in the","technique, were filtered through an 850-micrometer sieve. Mesozooplankton that were retained in the","technique, were filtered through an 850-micrometer sieve. Mesozooplankton that were retained in the","technique, were filtered through an 850-micrometer sieve. Mesozooplankton that were retained in the"
