Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”,Name: “Table 1 of 1 on page 91 of 170”
Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90
,,,,,,,,
,,,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,,,
,START_,END_,,START_,END_,,START_,END_
CRUISE,,,CRUISE,,,CRUISE,,
,DATE,DATE,,DATE,DATE,,DATE,DATE
BAY024,8/1/1985,8/15/1985,BAY070,11/1/1987,11/30/1987,BAY116,4/1/1990,4/15/1990
BAY025,8/16/1985,8/31/1985,BAY071,12/1/1987,12/31/1987,BAY117,4/16/1990,4/30/1990
BAY026,9/1/1985,9/15/1985,BAY072,1/1/1988,1/31/1988,BAY118,5/1/1990,5/15/1990
BAY027,9/16/1985,10/2/1985,BAY073,2/1/1988,2/28/1988,BAY119,5/16/1990,5/31/1990
BAY028,10/3/1985,10/14/1985,BAY074,3/1/1988,3/15/1988,BAY120,6/1/1990,6/15/1990
BAY029,10/15/1985,11/6/1985,BAY075,3/16/1988,3/31/1988,BAY121,6/16/1990,6/30/1990
BAY030,11/7/1985,11/30/1985,BAY076,4/1/1988,4/15/1988,BAY122,7/1/1990,7/15/1990
BAY031,12/1/1985,12/31/1985,BAY077,4/16/1988,4/30/1988,BAY123,7/16/1990,7/31/1990
BAY032,1/1/1986,1/31/1986,BAY078,5/1/1988,5/15/1988,BAY124,8/1/1990,8/15/1990
BAY033,2/1/1986,2/28/1986,BAY079,5/16/1988,5/31/1988,BAY125,8/16/1990,8/31/1990
BAY034,3/1/1986,3/15/1986,BAY080,6/1/1988,6/14/1988,BAY126,9/1/1990,9/15/1990
BAY035,3/16/1986,3/31/1986,BAY081,6/15/1988,6/30/1988,BAY127,9/16/1990,9/30/1990
BAY036,4/1/1986,4/15/1986,BAY082,7/1/1988,7/15/1988,BAY128,10/1/1990,10/15/1990
BAY037,4/16/1986,4/30/1986,BAY083,7/16/1988,7/31/1988,BAY129,10/16/1990,10/31/1990
BAY038,5/1/1986,5/15/1986,BAY084,8/1/1988,8/15/1988,BAY130,11/1/1990,11/30/1990
BAY039,5/16/1986,5/31/1986,BAY085,8/16/1988,8/31/1988,BAY131,12/1/1990,12/31/1990
BAY040,6/1/1986,6/15/1986,BAY086,9/1/1988,9/13/1988,BAY132,1/1/1991,1/31/1991
BAY041,6/16/1986,6/30/1986,BAY087,9/14/1988,9/30/1988,BAY133,2/1/1991,2/28/1991
BAY042,7/1/1986,7/15/1986,BAY088,10/1/1988,10/15/1988,BAY134,3/1/1991,3/15/1991
BAY043,7/16/1986,7/31/1986,BAY089,10/16/1988,10/31/1988,BAY135,3/16/1991,3/31/1991
BAY044,8/1/1986,8/15/1986,BAY090,11/1/1988,11/30/1988,BAY136,4/1/1991,4/15/1991
BAY045,8/16/1986,8/31/1986,BAY091,12/1/1988,12/31/1988,BAY137,4/16/1991,4/30/1991
BAY046,9/1/1986,9/15/1986,BAY092,1/1/1989,1/31/1989,BAY138,5/1/1991,5/15/1991
BAY047,9/16/1986,9/30/1986,BAY093,2/1/1989,2/28/1989,BAY139,5/16/1991,5/31/1991
BAY048,10/1/1986,10/15/1986,BAY094,3/1/1989,3/15/1989,BAY140,6/1/1991,6/15/1991
BAY049,10/16/1986,10/31/1986,BAY095,3/16/1989,3/31/1989,BAY141,6/16/1991,6/30/1991
BAY050,11/1/1986,11/30/1986,BAY096,4/1/1989,4/15/1989,BAY142,7/1/1991,7/15/1991
BAY051,12/1/1986,12/31/1986,BAY097,4/16/1989,4/30/1989,BAY143,7/16/1991,7/31/1991
BAY052,1/1/1987,1/31/1987,BAY098,5/1/1989,5/15/1989,BAY144,8/1/1991,8/15/1991
BAY053,2/1/1987,2/28/1987,BAY099,5/16/1989,5/31/1989,BAY145,8/16/1991,8/31/1991
BAY054,3/1/1987,3/15/1987,BAY100,6/1/1989,6/15/1989,BAY146,9/1/1991,9/15/1991
BAY055,3/16/1987,3/31/1987,BAY101,6/16/1989,6/30/1989,BAY147,9/16/1991,9/30/1991
BAY056,4/1/1987,4/15/1987,BAY102,7/1/1989,7/15/1989,BAY148,10/1/1991,10/15/1991
BAY057,4/16/1987,4/30/1987,BAY103,7/16/1989,7/31/1989,BAY149,10/16/1991,10/31/1991
BAY058,5/1/1987,5/15/1987,BAY104,8/1/1989,8/15/1989,BAY150,11/1/1991,11/30/1991
BAY059,5/16/1987,5/31/1987,BAY105,8/16/1989,8/31/1989,BAY151,12/1/1991,12/31/1991
BAY060,6/1/1987,6/15/1987,BAY106,9/1/1989,9/15/1989,BAY152,1/1/1992,1/31/1992
BAY061,6/16/1987,6/30/1987,BAY107,9/16/1989,9/30/1989,BAY153,2/1/1992,2/28/1992
BAY062,7/1/1987,7/17/1987,BAY108,10/1/1989,10/15/1989,BAY154,3/1/1992,3/15/1992
BAY063,7/18/1987,7/31/1987,BAY109,10/16/1989,10/31/1989,BAY155,3/16/1992,3/31/1992
BAY064,8/1/1987,8/15/1987,BAY110,11/1/1989,11/30/1989,BAY156,4/1/1992,4/15/1992
BAY065,8/16/1987,8/31/1987,BAY111,12/1/1989,12/31/1989,BAY157,4/16/1992,4/30/1992
BAY066,9/1/1987,9/15/1987,BAY112,1/1/1990,1/31/1990,BAY158,5/1/1992,5/15/1992
BAY067,9/16/1987,9/30/1987,BAY113,2/1/1990,2/28/1990,BAY159,5/16/1992,5/31/1992
BAY068,10/1/1987,10/15/1987,BAY114,3/1/1990,3/15/1990,BAY160,6/1/1992,6/15/1992
BAY069,10/16/1987,10/31/1987,BAY115,3/16/1990,3/31/1990,BAY161,6/16/1992,6/30/1992
,,,,89,,,,
