Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,,,,
,,,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,The 2012 Users Guide to CBP Biological Monitoring Data,,,
,START_,END_,,START_,END_,,START_,END_
CRUISE,,,CRUISE,,,CRUISE,,
,DATE,DATE,,DATE,DATE,,DATE,DATE
BAY162,7/1/1992,7/15/1992,BAY208,10/1/1994,10/15/1994,BAY254,3/1/1997,3/15/1997
BAY163,7/16/1992,7/31/1992,BAY209,10/16/1994,10/31/1994,BAY255,3/16/1997,3/31/1997
BAY164,8/1/1992,8/15/1992,BAY210,11/1/1994,11/30/1994,BAY256,4/1/1997,4/13/1997
BAY165,8/16/1992,8/31/1992,BAY211,12/1/1994,12/31/1994,BAY257,4/14/1997,4/30/1997
BAY166,9/1/1992,9/15/1992,BAY212,1/1/1995,1/31/1995,BAY258,5/1/1997,5/15/1997
BAY167,9/16/1992,9/30/1992,BAY213,2/1/1995,2/28/1995,BAY259,5/16/1997,5/31/1997
BAY168,10/1/1992,10/15/1992,BAY214,3/1/1995,3/15/1995,BAY260,6/1/1997,6/15/1997
BAY169,10/16/1992,10/31/1992,BAY215,3/16/1995,3/31/1995,BAY261,6/16/1997,6/30/1997
BAY170,11/1/1992,11/30/1992,BAY216,4/1/1995,4/15/1995,BAY262,7/1/1997,7/17/1997
BAY171,12/1/1992,12/31/1992,BAY217,4/16/1995,4/30/1995,BAY263,7/18/1997,7/31/1997
BAY172,1/1/1993,1/31/1993,BAY218,5/1/1995,5/15/1995,BAY264,8/1/1997,8/15/1997
