Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”,Name: “Table 1 of 1 on page 11 of 24”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,
,,,,,,,,,Page 11 of 24
SPECIES,SPECIES,,,,,LIFE_STAGE WEIGHT (ug),LIFE_STAGE WEIGHT (ug),LIFE_STAGE WEIGHT (ug),
Cyclops biscuspidatus adult,Cyclops biscuspidatus adult,Cyclops biscuspidatus adult,Cyclops biscuspidatus adult,Cyclops biscuspidatus adult,Cyclops biscuspidatus adult,,12.6,,
Cyclops biscuspidatus copepodite 8.4,Cyclops biscuspidatus copepodite 8.4,Cyclops biscuspidatus copepodite 8.4,Cyclops biscuspidatus copepodite 8.4,Cyclops biscuspidatus copepodite 8.4,Cyclops biscuspidatus copepodite 8.4,Cyclops biscuspidatus copepodite 8.4,,,
Cyclops vernalis,Cyclops vernalis,Cyclops vernalis,Cyclops vernalis,,,adult,,9.6,
Cyclops vernalis,Cyclops vernalis,Cyclops vernalis,Cyclops vernalis,,,copepodite 4,,,
Eucyclops agilis,Eucyclops agilis,Eucyclops agilis,Eucyclops agilis,,,adult,2.8,2.8,
Eucyclops agilis,Eucyclops agilis,Eucyclops agilis,Eucyclops agilis,,,copepodite 1.1,,,
Halicyclops magnaceps,Halicyclops magnaceps,Halicyclops magnaceps,Halicyclops magnaceps,Halicyclops magnaceps,Halicyclops magnaceps,,2.8,,
Mesocyclops edax,Mesocyclops edax,Mesocyclops edax,Mesocyclops edax,,,,adult,7.2,
Mesocyclops edax,Mesocyclops edax,Mesocyclops edax,Mesocyclops edax,,,copepodite 3.7,copepodite 3.7,,
Oithona colcarva,Oithona colcarva,Oithona colcarva,Oithona colcarva,,,adult,,2.7,
Oithona colcarva,Oithona colcarva,Oithona colcarva,Oithona colcarva,,,copepodite 1.7,copepodite 1.7,,
Paracyclops fibriatus adult,Paracyclops fibriatus adult,Paracyclops fibriatus adult,Paracyclops fibriatus adult,Paracyclops fibriatus adult,Paracyclops fibriatus adult,,3.5,,
Paracyclops fibriatus copepodite 1.5,Paracyclops fibriatus copepodite 1.5,Paracyclops fibriatus copepodite 1.5,Paracyclops fibriatus copepodite 1.5,Paracyclops fibriatus copepodite 1.5,Paracyclops fibriatus copepodite 1.5,Paracyclops fibriatus copepodite 1.5,,,
Acartia hudsonica,Acartia hudsonica,Acartia hudsonica,Acartia hudsonica,,,adult,,12.3,
Acartia hudsonica,Acartia hudsonica,Acartia hudsonica,Acartia hudsonica,,,copepodite 4.6,copepodite 4.6,,
Acartia tonsa,Acartia tonsa,Acartia tonsa,,,adult,adult,12.3,,
Acartia tonsa,Acartia tonsa,Acartia tonsa,,,copepodite 4.6,copepodite 4.6,,,
Centropages furcatus,Centropages furcatus,Centropages furcatus,Centropages furcatus,,adult,,15.4,,
Centropages furcatus copepodite 6.4,Centropages furcatus copepodite 6.4,Centropages furcatus copepodite 6.4,Centropages furcatus copepodite 6.4,Centropages furcatus copepodite 6.4,Centropages furcatus copepodite 6.4,Centropages furcatus copepodite 6.4,,,
Centropages hamatus adult,Centropages hamatus adult,Centropages hamatus adult,Centropages hamatus adult,Centropages hamatus adult,Centropages hamatus adult,,15.4,,
Centropages hamatus copepodite 6.4,Centropages hamatus copepodite 6.4,Centropages hamatus copepodite 6.4,Centropages hamatus copepodite 6.4,Centropages hamatus copepodite 6.4,Centropages hamatus copepodite 6.4,Centropages hamatus copepodite 6.4,,,
Diaptomus sp.,Diaptomus sp.,Diaptomus sp.,,,Adult,Adult,20.9,20.9,
Diaptomus sp.,Diaptomus sp.,Diaptomus sp.,,,copepodite 9.4,copepodite 9.4,,,
Eurytemora affinis,Eurytemora affinis,Eurytemora affinis,Eurytemora affinis,,,,adult,10,
