Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,
,,,,,Page 12 of 24
Argulus sp.,Argulus sp.,56.6,,,
Branchyurian,Branchyurian,45.2,,,
Corophium lacustre,Corophium lacustre,Corophium lacustre,347.8,,
Gammarus fasciatus,Gammarus fasciatus,Gammarus fasciatus,120.2,,
Leptocheirus plumulosus,Leptocheirus plumulosus,Leptocheirus plumulosus,Leptocheirus plumulosus,120.2,
Monoculodes edwardsi,Monoculodes edwardsi,Monoculodes edwardsi,Monoculodes edwardsi,61,
Mysid,303.6,,,,
Palaemonetes sp.,Palaemonetes sp.,Palaemonetes sp.,136.1,,
Ampelisca abdita,Ampelisca abdita,Ampelisca abdita,347.8,,
Barnacle nauplii 2.9,Barnacle nauplii 2.9,Barnacle nauplii 2.9,,,
Copepod nauplii 0.1,Copepod nauplii 0.1,Copepod nauplii 0.1,,,
Chaoborus sp.,Chaoborus sp.,143.5,,,
Chironomid larvae 109,Chironomid larvae 109,Chironomid larvae 109,Chironomid larvae 109,,
Dipterian larvae 542.5,Dipterian larvae 542.5,Dipterian larvae 542.5,,,
Harpacticoida larvae 4.7,Harpacticoida larvae 4.7,Harpacticoida larvae 4.7,Harpacticoida larvae 4.7,,
Hydracarina sp.,Hydracarina sp.,1,,,
Ostracod,1,,,,
Polychaete larvae 9.2,Polychaete larvae 9.2,Polychaete larvae 9.2,,,
Sagitta sp.,36.3,,,,
Species excluded from biomass estimates:,Species excluded from biomass estimates:,Species excluded from biomass estimates:,Species excluded from biomass estimates:,Species excluded from biomass estimates:,
Aemaceae,,All fish larvae,All fish larvae,,
Alteutha depressa,Alteutha depressa,Alteutha depressa,,Anisoptera,
Arachnida,,,,Brachyuran,
Ceriodaphinia lacustria Ceriodaphinia quadrangula,Ceriodaphinia lacustria Ceriodaphinia quadrangula,Ceriodaphinia lacustria Ceriodaphinia quadrangula,Ceriodaphinia lacustria Ceriodaphinia quadrangula,Ceriodaphinia lacustria Ceriodaphinia quadrangula,
Coleptera,,,,Collembola,
Corixidae,,,,Cyathura polita,
Cyclops varicans,Cyclops varicans,Cyclops varicans,,Ectocyclops phaleratus,
Ephemeroptera,Ephemeroptera,,,Ergasilus sp.,
Eubosmina sp.,Eubosmina sp.,,,Euceramus praelongus,
Eucyclops speratus,Eucyclops speratus,Eucyclops speratus,,Flat Worm,
Gastropoda,Gastropoda,,,Hemiptera,
Hirudinea,,,,Isopoda,
Labidocera aestiva,Labidocera aestiva,Labidocera aestiva,,Lathonura rectirostris,
Latona setifera,Latona setifera,,,Leydigia quadrangularis,
Lucifer faxoni,Lucifer faxoni,Macrocyclops abdidus,Macrocyclops abdidus,Macrocyclops abdidus,
Macrothrix laticornus,Macrothrix laticornus,Macrothrix laticornus,,Mollusca,
Oligochaete,Oligochaete,,,Oxyurosilus smithi,
Paracaprella tenuis,Paracaprella tenuis,Paracaprella tenuis,,Parathemisto compressa,
Piscicolidae,Piscicolidae,,Saphirella sp.,Saphirella sp.,
Trichopthera,Trichopthera,,,Tropocyclops prasinus,
Tubellaria,,,,,
The regression to estimate ash-free dry weight in detritus contaminated samples,The regression to estimate ash-free dry weight in detritus contaminated samples,The regression to estimate ash-free dry weight in detritus contaminated samples,The regression to estimate ash-free dry weight in detritus contaminated samples,The regression to estimate ash-free dry weight in detritus contaminated samples,The regression to estimate ash-free dry weight in detritus contaminated samples
based on sum of dry weights for all taxa is as follows:,based on sum of dry weights for all taxa is as follows:,based on sum of dry weights for all taxa is as follows:,based on sum of dry weights for all taxa is as follows:,based on sum of dry weights for all taxa is as follows:,
Y= 0.783(X) - 0.013,Y= 0.783(X) - 0.013,Y= 0.783(X) - 0.013,,,
Where:,,,,,
Y= Ash -free dry weight in grams,Y= Ash -free dry weight in grams,Y= Ash -free dry weight in grams,Y= Ash -free dry weight in grams,Y= Ash -free dry weight in grams,
X= Total dry weight in grams,X= Total dry weight in grams,X= Total dry weight in grams,X= Total dry weight in grams,X= Total dry weight in grams,
file://C:\Documents and Settings\jjohnson\Local Settings\Temp\metadata18.htm,file://C:\Documents and Settings\jjohnson\Local Settings\Temp\metadata18.htm,file://C:\Documents and Settings\jjohnson\Local Settings\Temp\metadata18.htm,file://C:\Documents and Settings\jjohnson\Local Settings\Temp\metadata18.htm,file://C:\Documents and Settings\jjohnson\Local Settings\Temp\metadata18.htm,4/26/2012
