Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”,Name: “Table 1 of 1 on page 4 of 22”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,
,,MDPHDOC.doc,,
Station depths are based on a ten-year average (1984-1994) of Maryland Department of the Environment,Station depths are based on a ten-year average (1984-1994) of Maryland Department of the Environment,Station depths are based on a ten-year average (1984-1994) of Maryland Department of the Environment,Station depths are based on a ten-year average (1984-1994) of Maryland Department of the Environment,Station depths are based on a ten-year average (1984-1994) of Maryland Department of the Environment
water quality hydrographic data collected concurrently with the plankton.,water quality hydrographic data collected concurrently with the plankton.,water quality hydrographic data collected concurrently with the plankton.,,
# METHODOLOGY DESCRIBING CHAIN OF CUSTODY FOR LAB SAMPLES,# METHODOLOGY DESCRIBING CHAIN OF CUSTODY FOR LAB SAMPLES,# METHODOLOGY DESCRIBING CHAIN OF CUSTODY FOR LAB SAMPLES,,
Members of the Benedict Estuarine Research Laboratory plankton section collected phytoplankton,Members of the Benedict Estuarine Research Laboratory plankton section collected phytoplankton,Members of the Benedict Estuarine Research Laboratory plankton section collected phytoplankton,Members of the Benedict Estuarine Research Laboratory plankton section collected phytoplankton,Members of the Benedict Estuarine Research Laboratory plankton section collected phytoplankton
samples.,"At the end of each sampling cruise, the samples are transferred to the phytoplankton taxonomist.","At the end of each sampling cruise, the samples are transferred to the phytoplankton taxonomist.","At the end of each sampling cruise, the samples are transferred to the phytoplankton taxonomist.","At the end of each sampling cruise, the samples are transferred to the phytoplankton taxonomist."
Phytoplankton counts and identifications are then made and sample concentrates are subsequently,Phytoplankton counts and identifications are then made and sample concentrates are subsequently,Phytoplankton counts and identifications are then made and sample concentrates are subsequently,Phytoplankton counts and identifications are then made and sample concentrates are subsequently,Phytoplankton counts and identifications are then made and sample concentrates are subsequently
archived.,,,,
# BIOLOGICAL ENUMERATION TECHNIQUES,# BIOLOGICAL ENUMERATION TECHNIQUES,# BIOLOGICAL ENUMERATION TECHNIQUES,,
-Chesapeake Bay Program Analytical Method Code PH101,-Chesapeake Bay Program Analytical Method Code PH101,-Chesapeake Bay Program Analytical Method Code PH101,,
Samples are gently mixed and a 1-25 milliliter aliquot is transferred to a settling chamber.,Samples are gently mixed and a 1-25 milliliter aliquot is transferred to a settling chamber.,Samples are gently mixed and a 1-25 milliliter aliquot is transferred to a settling chamber.,The aliquot is,The aliquot is
made up to 10-50 milliliter with deionized water (depending on the volume of the settling chamber).,made up to 10-50 milliliter with deionized water (depending on the volume of the settling chamber).,made up to 10-50 milliliter with deionized water (depending on the volume of the settling chamber).,made up to 10-50 milliliter with deionized water (depending on the volume of the settling chamber).,After a
"settling period of 2-48 hours (depending on the volume of the settling chamber), the settled material is","settling period of 2-48 hours (depending on the volume of the settling chamber), the settled material is","settling period of 2-48 hours (depending on the volume of the settling chamber), the settled material is","settling period of 2-48 hours (depending on the volume of the settling chamber), the settled material is","settling period of 2-48 hours (depending on the volume of the settling chamber), the settled material is"
examined at 400X or 500X and 250X or 312X using a Leitz Diavert inverted microscope.,examined at 400X or 500X and 250X or 312X using a Leitz Diavert inverted microscope.,examined at 400X or 500X and 250X or 312X using a Leitz Diavert inverted microscope.,Identification and,Identification and
"enumeration of the dominant taxa, including detailed counts of the species, are made yielding densities","enumeration of the dominant taxa, including detailed counts of the species, are made yielding densities","enumeration of the dominant taxa, including detailed counts of the species, are made yielding densities","enumeration of the dominant taxa, including detailed counts of the species, are made yielding densities","enumeration of the dominant taxa, including detailed counts of the species, are made yielding densities"
