Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,
,,,,MDMIDOC.doc,
Name,Type,,Width,Variable Description,
DATA_TYPE,Text,,2,CBP Data Type Code,
SOURCE,Text,,10,Data Collection agency,
SAMPLE_TYPE,Text,,2,Collection type,
LAYER,Text,,3,Layer in water column from which sample was Taken,Layer in water column from which sample was Taken
SAMPLE_DATE,Date/Time,Date/Time,8,Sample date (YYYYMMDD),
LATITUDE,Number,Number,8,Latitude in Decimal Degrees (NAD83),
LONGITUDE,Number,Number,8,Longitude in Decimal Degrees (NAD83),Longitude in Decimal Degrees (NAD83)
P_DEPTH,Number,Number,4,Composite Sample Cut Off Depth (meters),Composite Sample Cut Off Depth (meters)
R_DATE,Date/Time,Date/Time,8,Data version date (YYYYMMDD),
SALZONE,Text,,2,Salinity Zone,
SAMPLE_VOLUME,Number,Number,8,Total Volume of Sample,
UNITS,Text,,15,Units for Sample Volume,
STATION,Text,,15,Sampling Station,
TOTAL_DEPTH,Number,Number,4,Total Station Depth (meters),
SAMPLE_TIME,Date/Time,Date/Time,8,Sampling Time (HHMM),
>The following field may also appear in a downloaded data set:,>The following field may also appear in a downloaded data set:,>The following field may also appear in a downloaded data set:,>The following field may also appear in a downloaded data set:,>The following field may also appear in a downloaded data set:,
Name,Type,,Width,Variable Definitions,
BASIN,Text,,20,Chesapeake Bay Basin Designation,
HUC8,Text,,8,USGS Eight Digit Hydrologic Unit Code,
CATALOGING_UNIT_DESCRIPTION,CATALOGING_UNIT_DESCRIPTION,CATALOGING_UNIT_DESCRIPTION,,,
,Text,,50,USGS Cataloging Unit Code Description,USGS Cataloging Unit Code Description
FIPS,Text,,5,Federal Information Processing Code,
STATE,Text,,3,Federal Information Processing Code State Designation,Federal Information Processing Code State Designation
COUNTY_CITY,Text,,30,Federal Information Processing Code City or County,Federal Information Processing Code City or County
,,,,Designation,
LL_DATUM,Text,,5,Latitude and Longitude Geographic Datum,Latitude and Longitude Geographic Datum
CBSEG_1998,Text,,6,1998 Chesapeake Bay Segment Designation,1998 Chesapeake Bay Segment Designation
CBSEG_1998_DESCRIPTION,CBSEG_1998_DESCRIPTION,,,,
,Text,,50,1998 Chesapeake Bay Segment Designation Description,1998 Chesapeake Bay Segment Designation Description
