,Total mapped (hectares),acres mapped (using 2.4711 conversion),estimated additional hectares,estimated additional acres (using 2.4711),total hectares w/ estimated additional hectares ,total acres w/ estimated additional acres (using 2.4711),percent goal achieved ,SAV: acres ,No density reported (thousands of acres),<10% (thousands of acres),10-40% (thousands of acres),40-70% (thousands of acres),70-100% (thousands of acres),high density class %of total
1978,"16,760.06","41,415.78",,,,41415.78,22.39,"Source: VIMS, Bob Orth, or David",20.210,2.225,5.787,10.367,2.808,7
1979,,,,,,,," Wilcox, 804 684-7088, jjorth@vims.edu",,,,,,
1980,,,,,,,,"Contact: Mike Fritz, EPA CBP",,,,,,
1981,,,,,,,,file name: sav.xls,,,,,,
1982,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,
1984,"15,469.88","38,227.62",295.64,730.56,15765.52,38958.18,21.06,"revised 3/26/12, DW",,6.867,7.099,10.500,13.746,36
1985,"19,872.91","49,107.95",,,,49107.95,26.54,,,7.946,10.584,15.314,15.245,31
1986,"19,187.26","47,413.64",111.69,276.00,19298.95,47689.64,25.78,"revised 3/26/12, DW",,9.129,8.709,9.374,20.177,43
1987,"20,088.20","49,639.95",,,,49639.95,26.83,"revised 4/17/00, DW",,8.954,7.427,8.875,24.436,49
1988,,,,,,,,,,,,,,
1989,"24,151.70","59,681.27",,,,59681.27,32.26,"revised 4/17/00, DW",,8.188,10.703,9.183,31.581,53
1990,"24,291.70","60,027.22",,,,60027.22,32.45,"revised 4/17/00, DW",,8.764,13.783,9.816,27.639,46
1991,"25,624.96","63,321.84",,,,63321.84,34.23,"revised 4/17/00, DW",,7.909,12.004,11.597,31.808,50
1992,"28,566.30","70,590.18",,,,70590.18,38.16,"revised 4/17/00, DW",,9.470,18.037,18.184,24.896,35
1993,"29,587.72","73,114.21",,,,73114.21,39.52,"revised 4/17/00, DW",,11.177,24.791,13.429,23.715,32
1994,"26,484.60","65,446.10",,,,65446.10,35.38,"revised 4/17/00, DW",,11.066,18.199,12.702,23.468,36
1995,"24,251.78","59,928.57",,,,59928.57,32.39,"final 7/3/96, revised 4/17/00, DW",,10.386,15.835,7.220,26.485,44
1996,"25,695.57","63,496.32",,,,63496.32,34.32,"final 10/23/97, revised 6/3/98",,10.235,13.961,12.205,27.093,43
1997,"28,031.75","69,269.26",,,,69269.26,37.44,final 4/27/99 Bob Orth,,14.179,12.853,7.802,34.432,50
1998,"25,704.15","63,517.53",,,,63517.53,34.33,"preliminary 4/27/99, Bob Orth, final, DW 4/17/00",,13.137,12.401,6.396,31.580,50
1999,"26,189.84","64,717.71",1368.62,3382.00,27558.46,68099.71,36.81,"preliminary 4/27/00 DW, final 4/24/01",,13.422,14.737,9.643,26.913,42
2000,"27,986.11","69,156.48",,,,69156.48,37.38,"preliminary 4/24/01, Bob Orth, final DW 10/22/02",,13.607,13.047,8.651,33.849,49
2001,"31,520.07","77,889.24",3045.31,7525.27,34565.38,85414.51,46.17,"preliminary 10/22/02, DW, updated 1/14/03",,8.031,13.805,15.600,40.450,52
2002,"36,283.06","89,659.07",,,,89659.07,48.46,"preliminary 9/9/03, final 5/3/04",,6.925,18.273,26.874,37.584,42
2003,24966.71,"61,695.24",741.23,1831.65,25707.94,63526.89,34.34,"preliminary 5/3/04, final 5/9/05",,8.184,21.504,17.077,14.930,24
