2010 and 2012 area for the regions that were not fully mapped in 2011,,,,,
,,,,,
Cbpseg,State,Quadid,2010 Area,2012 Area,
ANATF,MD,28,0.00,0.00,
ANATF,MD,29,0.00,0.00,
ANATF,MD,34,0.00,0.00,
ANATF,MD,176,0.00,0.00,
PAXOH,MD,41,26.77,6.51,
PAXOH,MD,49,0.00,,
PAXTF,MD,41,17.96,8.54,
PAXTF,MD,159,41.91,3.58,
PISTF,MD,40,211.63,101.34,
PISTF,MD,241,0.00,0.00,
POTOH1,MD,56,20.44,20.82,
POTOH1,MD,57,0.00,0.01,
POTOH1,MD,65,32.85,32.79,
POTOH1,VA,65,3.82,4.39,
POTOH1,VA,66,21.75,27.83,
POTOH2,MD,40,0.00,0.00,
POTOH2,MD,57,54.75,71.75,
POTOH3,MD,56,31.03,117.51,
POTTF,DC,28,14.59,14.17,
POTTF,DC,34,10.14,6.18,
POTTF,MD,29,0.00,0.00,
POTTF,MD,34,31.82,2.82,
POTTF,MD,39,23.13,11.07,
POTTF,MD,40,465.53,141.22,
POTTF,MD,161,11.92,8.03,
POTTF,VA,28,0.00,0.02,
POTTF,VA,34,191.93,21.60,
POTTF,VA,39,840.44,413.84,
POTTF,VA,40,129.62,12.25,
POTTF,VA,176,0.00,0.00,
WBRTF,MD,29,0.00,0.00,
WBRTF,MD,159,0.51,0.22,
WBRTF,MD,176,0.00,0.00,
,,,"2,182.54","1,026.48",
,,,,,
Note that these partial totals are included in the 2011 areas,,,,,
Cbpseg,State,Quadid,2011 ha,,
POTOH2,MD,57,31.36,,
POTOH3,MD,56,79.77,,
,,Total,111.13,,
,,,,,
By CBPSEG and State,,,,,
CBPSEG,VA,MD,DC,Total,
ANATF,0.00,0.00,0.00,0.00,
PAXOH,0.00,26.77,0.00,26.77,
PAXTF,0.00,59.87,0.00,59.87,
PISTF,0.00,211.63,0.00,211.63,
POTOH1,25.58,53.28,0.00,78.86,
POTOH2,0.00,54.75,0.00,54.75,
POTOH3,0.00,31.03,0.00,31.03,
POTTF,0.00,532.39,24.73,557.12,
POTTF,"1,161.99",0.00,0.00,"1,161.99",
WBRTF,0.00,0.51,0.00,0.51,
,"1,187.57",970.24,24.73,"2,182.54",
,,,,,
A baywide area estimate could be computed by subtracting the partial totals that are included in the 2011 areas,,,,,
and adding on the 2010 reported area for the regions not mapped in 2011.,,,,,
,,,,,
Estimate,,,,,
Using 2010 areas as an estimate,,,,** If we assume a 25% decline in all areas not mapped,
,Bay,Middle Zone,,Bay,Middle Zone
2011 total,"23,453.38","11,745.11",,"23,453.38","11,633.98"
Partial totals,111.13,111.13,,111.13,111.13
2010 area,"2,182.54","2,182.54",,"1,636.90","1,636.90"
2011 estimate,"25,524.78","13,816.52",,"24,979.15","13,159.75"
,"63,074.29","34,141.99",,,
**The only pd/nd segments with significant area mapped (POTOH1 and POTTF) declined by 25% and 23% respectively.,,,,,
"We selected 25% as a potential worse-case scenario, but we are not advocating the use of this reduced estimate .",,,,,
We're providing it to note the potential bias in using the 2010 area estimate since SAV has declined in these regions.,,,,,
,,,,,
,,,,,
,"2,071.41",adjusted added area,,,
,,,,,
By CBPSEG and State 2012 areas,,,,,
CBPSEG,VA,MD,DC,Total,
ANATF,0.00,0.00,0.00,0.00,
PAXOH,0.00,6.51,0.00,6.51,
PAXTF,0.00,12.12,0.00,12.12,
PISTF,0.00,101.34,0.00,101.34,
POTOH1,32.22,53.61,0.00,85.84,
POTOH2,0.00,71.75,0.00,71.75,
POTOH3,0.00,117.51,0.00,117.51,
POTTF,447.70,163.15,20.34,631.19,
WBRTF,0.00,0.22,0.00,0.22,
,479.92,526.21,20.34,"1,026.48",
