,hectares,acres,% of zone total,hectares,acres,% of zone total,hectares,acres,% of zone total,hectares,acres,% of zone total,hectares,acres,
2004,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total,,
Upper,"3,333.62","8,237.71",38%,"1,875.23","4,633.88",21%,"1,227.67","3,033.70",14%,"2,334.27","5,768.21",27%,"8,770.80","21,673.52",
Middle,"1,270.92","3,140.57",9%,"4,419.49","10,921.00",32%,"4,174.90","10,316.60",31%,"3,776.62","9,332.41",28%,"13,641.93","33,710.57",
Lower,"1,223.20","3,022.65",17%,"1,915.93","4,734.45",27%,"1,476.96","3,649.72",21%,"2,490.57","6,154.45",35%,"7,106.65","17,561.24",
Total,"5,827.74","14,400.93",20%,"8,210.65","20,289.34",28%,"6,879.52","16,999.98",23%,"8,601.47","21,255.09",29%,"29,519.38","72,945.34",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2005,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total,,
Upper,"1,122.05","2,772.70",14%,"2,240.85","5,537.36",28%,442.49,"1,093.44",6%,"4,071.50","10,061.08",52%,"7,876.89","19,464.58",
Middle,"1,738.51","4,296.03",11%,"4,683.72","11,573.94",29%,"2,896.87","7,158.46",18%,"6,696.95","16,548.83",42%,"16,016.05","39,577.26",
Lower,"1,219.13","3,012.59",16%,"2,175.35","5,375.51",28%,"1,436.59","3,549.96",18%,"2,947.25","7,282.95",38%,"7,778.33","19,221.03",
Total,"4,079.69","10,081.32",13%,"9,099.92","22,486.81",29%,"4,775.96","11,801.87",15%,"13,715.70","33,892.87",43%,"31,671.26","78,262.85",
,,,,,,,,,,,,,,,
2006,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total ,,
Upper,861.72,"2,129.40",14%,"1,934.16","4,779.50",31%,"1,525.27","3,769.09",24%,"1,963.78","4,852.70",31%,"6,285.64","15,532.45",
Middle,"1,486.90","3,674.28",8%,"4,082.22","10,087.57",22%,"2,171.13","5,365.08",12%,"4,666.64","11,531.73",25%,"12,406.89","30,658.67",
Lower,"1,459.60","3,606.82",6%,"1,838.99","4,544.33",8%,809.81,"2,001.12",3%,"1,120.65","2,769.24",5%,"5,248.41","12,969.35",
Total,"3,808.21","9,410.47",16%,"7,855.37","19,411.40",33%,"4,506.21","11,135.30",19%,"7,751.08","19,153.69",32%,"23,940.94","59,160.46",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2007,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total ,,
Upper,958.23,"2,367.88",13%,"1,309.39","3,235.63",17%,232.21,573.81,3%,"5,157.42","12,744.50",67%,"7,657.26","18,921.86",
Middle,"1,338.43","3,307.39",7%,"2,508.36","6,198.41",13%,"1,807.31","4,466.04",9%,"6,483.03","16,020.22",33%,"12,137.14","29,992.09",
Lower,"1,601.27","3,956.90",6%,"1,738.73","4,296.58",7%,"1,099.47","2,716.90",4%,"2,036.82","5,033.19",8%,"6,476.28","16,003.54",
Total,"3,897.94","9,632.20",15%,"5,556.48","13,730.62",21%,"3,138.99","7,756.76",12%,"13,677.27","33,797.90",52%,"26,270.68","64,917.48",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2008,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total ,,
Upper,540.39,"1,335.36",6%,891.48,"2,202.94",10%,252.21,623.24,3%,"7,604.66","18,791.88",82%,"9,288.74","22,953.41",
Middle,"1,899.95","4,694.97",8%,"3,269.93","8,080.32",14%,"1,556.86","3,847.16",7%,"7,243.13","17,898.50",31%,"13,969.87","34,520.95",
Lower,"1,497.48","3,700.42",5%,"1,444.76","3,570.15",5%,"1,096.30","2,709.07",4%,"3,806.52","9,406.29",12%,"7,845.05","19,385.90",
Total,"3,937.81","9,730.72",13%,"5,606.17","13,853.41",18%,"2,905.37","7,179.46",9%,"18,654.31","46,096.67",60%,"31,103.66","76,860.25",
,,,,,,,,,,,,,,,
2009,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total ,,
Upper,957.86,"2,366.97",10%,756.51,"1,869.41",8%,229.48,567.07,2%,"7,605.34","18,793.56",80%,"9,549.19","23,597.00",
Middle,"2,305.24","5,696.48",9%,"3,467.51","8,568.56",14%,"2,171.95","5,367.11",8%,"8,085.23","19,979.41",32%,"16,029.93","39,611.56",
Lower,"1,575.66","3,893.61",5%,"2,237.83","5,529.90",6%,932.66,"2,304.70",3%,"4,442.42","10,977.66",13%,"9,188.58","22,705.90",
