Name: “Table 1 of 1 on page 12 of 21”,Name: “Table 1 of 1 on page 12 of 21”,Name: “Table 1 of 1 on page 12 of 21”,Name: “Table 1 of 1 on page 12 of 21”,Name: “Table 1 of 1 on page 12 of 21”,Name: “Table 1 of 1 on page 12 of 21”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,
SPEC_CODE,TSN,SOURCE_LBL,SPEC_CODE,TSN,SOURCE_LBL
370,BAY0155 Mnemiopsis brachei,,423,0090062,Noemysis americana juvenile
371,0068854,unknown Nadidae,424,0099208,Unknown Insect larvae
372,0085734,Metridia sp.,425,0088796,Ecotcyclops spp.
373,0086047,Labidocera aestiva (juv.),426,0088719,Eucyclops spp.
374,0161701,Alosa sp. larvae,427,0083907,Ceriodaphinia quadrangularia
375,0161700,unknown Clupeidae eggs,428,0083905,Ceriodaphinia sp.
376,0161704,Alosa mediocris larvae,429,0084049,Pleuroxus striatus
377,0161706,Alosa pseudoharengus larvae,430,0057411,Unknown Nemitine larvae
378,0172905,Pseudopleuronectes americanus,431,0098696,Callinectes sapidus juveniles
379,0051268,unknown Siphonophora,432,0082370,Loligo spp.
380,0169241,Cynoscion regalis eggs,433,0161722,Clupea harengus
381,0083873,Daphnia spp.,434,0089807,Unknown Mysidacea larvae
382,0118831,unknown dipteran larvae,435,0085318,Rhincalanus nastus
383,0083868,Pseudosida bidentata,444,0088720,Eucyclops aglis
385,0128223,Pentaneura monilis,445,0088789,Diacyclops thomasi
386,0058239,unknown Rotifera,446,0088770,Acanthocyclops vernalis
387,0087800,Robertsonia chesapeakensis,447,0088797,Ectocyclops phaelatus
388,0098964,unknown Pinnotheridae zoea,448,0088733,Paracyclops affinis
389,0098759,Eurypanopeus depressus megalopa,449,0169288,INVALID USE 158
390,0161732,Brevoortia tyrannus eggs,450,0169288,Pogonias chromis larvae
391,0085878,Temora turbinata,451,0101593,unknown odontids
392,0086100,Tortanus discaudatus,460,0088762,Acanthocyclops sp. copepedite
393,0086038,unknown Pontellidae,461,0085263,Calanus sp. copepedite
394,0086412,Aleuthra oblonga,462,0089009,Caligus sp. copepedite
395,0086331,Harpacticus chelifer,463,0086148,Canuella sp. copepedite
396,0085272,Calanus finmarchicus,464,0085761,Centrapages sp. copepedite
397,0083906,Ceriodaphnia reticulata,465,0088571,Corycaeus sp. copepedite
399,0086887,Metis sp.,466,0088640,Cyclops sp. copepedite
400,0086595,Paralaophonte brevirostris,467,0088775,Diacyclops sp. copepedite
401,0083975,Alona gutatta,468,0088719,Eucyclops sp. copepedite
402,0083974,Alona sp.,469,0088737,Macrocyclops sp. copepedite
403,0083980,Alona quadrangularis,470,0088691,Mesocyclops sp. copepedite
404,0084017,Eurycercus lamellatus,471,0088731,Paracyclops sp. copepedite
405,0155457,unknown Phoronidae,472,0088796,Ectocyclops sp. copepedite
406,0095427,Caprella geometrica,473,0085780,Diaptimus sp. copepedite
407,0092440,Aegathoa medialus,474,0088599,Ergasilis sp. copepedite
408,0166365,Gasterosteus aculeatus,475,0085300,Eucalanus sp. copepedite
409,0167678,Morone americana,476,0085862,Eurytemora sp. copepedite
410,0079118,Unknown Bivalve glochidium,477,0088635,Halicyclops sp. copepedite
411,0050848,Unknown Hydracarnia,478,BAY0301 Nannocyclops sp. copepedite,BAY0301 Nannocyclops sp. copepedite
412,0155462,Unknown Phoronida,479,0088802,Oithona sp. copepedite
413,0172735,Paralichthys dentatus,480,0088540,Ocacea sp. copepedite
414,0172714,Unknown Bothidae,481,0088731,Paracyclops sp. copepedite
415,0159664,Unknown Appendiculariam,482,0085369,Pseudocalanus sp. copepedite
416,0045782,Globoratalia sp.,483,0085848,Pseudodiaptimus sp. copepedite
417,0044030,Unknown Foraminifera,484,0085316,Rhincalanus sp. copepedite
418,0085369,Pseudocalanus spp.,485,0088024,Robertsonia sp. copepedite
419,0085371,Pseudocalanus minatus,486,0085874,Temora sp. copepedite
420,BAY0293 Diadaicus trunicornus,,487,0086445,Tisbe sp. copepedite
421,0158785,Sagitta Elegans,488,0086099,Tortanus sp. copepedite
422,0064358,Unknown Polycheate larvae,489,0085322,PARACALANUS COPE
,,12,,,01/31/07
