Name: “Table 1 of 1 on page 11 of 21”,Name: “Table 1 of 1 on page 11 of 21”,Name: “Table 1 of 1 on page 11 of 21”,Name: “Table 1 of 1 on page 11 of 21”,Name: “Table 1 of 1 on page 11 of 21”,Name: “Table 1 of 1 on page 11 of 21”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,
SPEC_CODE,TSN,SOURCE_LBL,SPEC_CODE,TSN,SOURCE_LBL
261,0085761,Centropages spp.,314,0089807,unknown Mysidacea
262,0085257,unknown Copepoda,315,0083875,Daphnia longispina
264,0085258,unknown Calanoida,316,0088343,Canthocamptus spp.
265,0088802,Oithona spp.,317,BAY0151 Mesocyclops obsoletus,BAY0151 Mesocyclops obsoletus
266,0088811,Oithona calcarva,318,0085257,unknown copepod nauplius
267,0088571,Corycaeus spp.,319,0165474,Hyporamphus unifasciatus
268,0095108,unknown Hyperiidae,320,BAY0158 Myicola major,
269,0094903,unknown Stenothidae,321,0165988,Membras spp. larvae
270,0165989,Membras martinica larvae,322,0086055,Pontella meadi
271,0171809,Microgobius thallasinus larvae,323,0088745,TROPOCYCLOPS PRAFINUS
272,0169283,Micropogonias undulatus larvae,,,MEXICANUS
273,0065588,Autolytus spp.,324,0098778,Panopeus herbstii megalopa
274,0085326,Paracalanus indicus,325,0095647,Trachypenaeus spp. zoea
275,0083677,unknown shrimp protozoea,326,0096750,Hippolyte pleuracantha zoea
276,0099037,Sesarama spp. zoea,327,0088635,Halicyclops sp.
277,0161838,Anchoa hepsetus eggs,328,0083992,Chydorus sp.
278,0087757,Diosaccus tenuicornis,330,0088137,Bryocamptus zschokkei
279,0083832,unknown Cladocera,331,0083972,Leptodora kindtii
280,BAY0161 Myrophis punctatus leptocephalus,,332,0083863,Sida crystillina
281,0093294,unknown Amphipoda,333,0048738,unknown sea anemone
282,0147486,unknown ephyra,334,0125923,Chaoborus punctipennis
283,0156857,unknown brachiolaria larvae,335,0093959,unknown Haustoriidae
284,0156862,unknown bipinnaria larvae,336,0167680,Morone saxatilis larvae
285,0051483,unknown medusa,337,0161700,unknown Clupeidae larvae
286,0166443,Unknown Syngnathidae,338,0088731,Paracyclops sp.
287,0166444,Syngathus SP.,339,0088552,Oncaea venusta
288,0083677,unknown Crustacea egg,340,0083838,Diaphanosoma brachyurum
289,0088831,Sapphirina spp.,341,0161732,Brevoortia tyrannus
290,0098790,Rhithropanopeus harrisii zoea,343,0095599,unknown decapoda
291,0051483,unknown Scyphozoa,344,0083677,unknown Crustacea nauplii
292,BAY0044 Bosmina coregoni maritima,,345,0085874,Temora spp.
293,0096602,Alpheus heterochaelis zoea,346,0083871,Latonopsis fasciculata
294,0093773,Gammarus spp.,349,0085321,Unknown Paracalinidae
295,0093745,unknown Gammaridae,350,BAY0198 Paracalanus fimbriatus,BAY0198 Paracalanus fimbriatus
296,0068422,unknown Oligochaeta,351,0084078,Alonopsis spp.
297,0086084,Acartia spp. juv.,352,BAY0239 Rhithropanopeus hermandii zoea,BAY0239 Rhithropanopeus hermandii zoea
298,0169273,Menticirrhus spp. larvae,353,0083960,Evadne sp.
299,0166446,Syngathus Floridae,354,0165993,Menidia beryllina larvae
300,0089009,Caligus spp.,355,0088604,Ergasilus versilcolor
301,0083938,Bosmina longirostris,356,0085276,Calanus helgolandicus
303,0088640,Cyclops spp.,357,0171790,Gobisoma ginsburgi larvae
304,0088742,TROPOCYCLOPS,358,0098790,Rhithropanopeus harrissi megalop
305,0084033,Alonella spp.,359,0096390,Palaemonetes pugio zoea
306,0088691,Mesocyclops sp.,360,0158650,unknown Chaetognatha
307,0093589,Corophium spp.,361,0171788,Gobisoma spp. larvae
308,0092623,Edotea spp.,362,0099080,unknown ocypodidae zoea
309,0094519,Monoculodes spp.,363,0099085,Uca minax zoea
310,0084195,unknown Ostracoda,364,0058438,Brachionus calyciflorus
311,0089407,Argulus spp.,365,0084131,Ophryoxus gracilis
312,0093780,Gammarus fasciatus,366,0085780,Diaptomus sp.
313,0096893,Lysmata wurdemanni zoea,368,0084133,Ilyocryptus spinifera
,,,369,0084035,Alonella rostrata
,,11,,,01/31/07
