Name: “Table 1 of 1 on page 42 of 150”,Name: “Table 1 of 1 on page 42 of 150”,Name: “Table 1 of 1 on page 42 of 150”,Name: “Table 1 of 1 on page 42 of 150”,Name: “Table 1 of 1 on page 42 of 150”,Name: “Table 1 of 1 on page 42 of 150”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,
,,,super levees;,,
,,,infiltration,,
,,,facilities,,
Bangladesh,,Storm surge,Afforestation,,Ali 1999
,,and coastal,(Planting,,
,,erosion,mangroves),,
Netherlands,Floods are,,Reassess flood,,IWR
,rare (due to,,defenses every,,2011
,existing,,6-years;,,
,protection),,legislated levels,,
,but potential,,of protection;,,
,consequence,,"""Room for the",,
,s are high,,"River"" increase",,
,,,in floodplain,,
,,,capacity,,
United,Floods are,,National flood,,IWR
Kingdom,relatively,,insurance,,2011
,"frequent, but",,program; flood,,
,also localized,,walls; storm,,
,,,surge barriers;,,
,,,river channel,,
,,,maintenance,,
Japan,Floods are,Increased,River,Flood control,IWR
,relatively,intensity of,management;,facilities,2011
,"frequent, but",torrential rains,embankments;,(retarding,
,localized;,(precipitation);I,water storage;,basins); Runoff,
,high,ncreased,water,control,
,potential for,Typhoons and,infiltration,"(reservoirs,",
,earthquake;,Hurricanes,facilities; land,"storage,",
,population,,use,infiltration);,
,migration,,management;,"levees, ring dikes,",
,from rural to,,river,roads & railroad,
,urban areas -,,widening/resto,embankments,
,->,,ration; real-,,
,development,,time,,
,,,observation,,
,,,and evacuation,,
,,,systems,,
,,,,,33
