Name: “Table 1 of 1 on page 2 of 11”,Name: “Table 1 of 1 on page 2 of 11”,Name: “Table 1 of 1 on page 2 of 11”,Name: “Table 1 of 1 on page 2 of 11”,Name: “Table 1 of 1 on page 2 of 11”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,
,,MDPDDOC.doc,,
#,POINT OF CONTACT FOR INQUIRIES,,,
Jacqueline Johnson,,,,
Living Resources Data Manager,,,,
US EPA Chesapeake Bay Program Office,US EPA Chesapeake Bay Program Office,,,
"410 Severn Avenue, Suite 109",,,,
"Annapolis, MD 21403",,,,
1-800-968-7229 X729,,,,
1-410-267-5729,,,,
EMAIL JJOHNSON@CHESAPEAKEBAY.NET,EMAIL JJOHNSON@CHESAPEAKEBAY.NET,,,
# LOCATION OF STUDY,,,,
Chesapeake Bay and Tidal Tributaries in State of Maryland,Chesapeake Bay and Tidal Tributaries in State of Maryland,Chesapeake Bay and Tidal Tributaries in State of Maryland,,
# DATE INTERVALS,,,,
07/02/1984-06/30/2008,,,,
# ABSTRACT,,,,
,The overall phytoplankton-monitoring program is designed to detect and monitor changes in,The overall phytoplankton-monitoring program is designed to detect and monitor changes in,The overall phytoplankton-monitoring program is designed to detect and monitor changes in,The overall phytoplankton-monitoring program is designed to detect and monitor changes in
plankton production in relation to changing water quality conditions in Chesapeake Bay. Phytoplankton are,plankton production in relation to changing water quality conditions in Chesapeake Bay. Phytoplankton are,plankton production in relation to changing water quality conditions in Chesapeake Bay. Phytoplankton are,plankton production in relation to changing water quality conditions in Chesapeake Bay. Phytoplankton are,plankton production in relation to changing water quality conditions in Chesapeake Bay. Phytoplankton are
the dominant producers in the Chesapeake Bay and are the base of the food chain for many higher tropic,the dominant producers in the Chesapeake Bay and are the base of the food chain for many higher tropic,the dominant producers in the Chesapeake Bay and are the base of the food chain for many higher tropic,the dominant producers in the Chesapeake Bay and are the base of the food chain for many higher tropic,the dominant producers in the Chesapeake Bay and are the base of the food chain for many higher tropic
levels.,Excessive blooms of plankton species are considered evidence of eutrophication in the bay and are,Excessive blooms of plankton species are considered evidence of eutrophication in the bay and are,Excessive blooms of plankton species are considered evidence of eutrophication in the bay and are,Excessive blooms of plankton species are considered evidence of eutrophication in the bay and are
known to degrade water quality and block light from submerged aquatic vegetation. Sampling is performed,known to degrade water quality and block light from submerged aquatic vegetation. Sampling is performed,known to degrade water quality and block light from submerged aquatic vegetation. Sampling is performed,known to degrade water quality and block light from submerged aquatic vegetation. Sampling is performed,known to degrade water quality and block light from submerged aquatic vegetation. Sampling is performed
"in conjunction with the Maryland phytoplankton, fluorometry and water quality monitoring programs.","in conjunction with the Maryland phytoplankton, fluorometry and water quality monitoring programs.","in conjunction with the Maryland phytoplankton, fluorometry and water quality monitoring programs.","in conjunction with the Maryland phytoplankton, fluorometry and water quality monitoring programs.",Carbon
fixation rates (C-14) were obtained from replicate surface layer composite samples at 16 stations in the,fixation rates (C-14) were obtained from replicate surface layer composite samples at 16 stations in the,fixation rates (C-14) were obtained from replicate surface layer composite samples at 16 stations in the,fixation rates (C-14) were obtained from replicate surface layer composite samples at 16 stations in the,fixation rates (C-14) were obtained from replicate surface layer composite samples at 16 stations in the
"Maryland portion of the Chesapeake Bay and its tributaries through June, 1986.","Maryland portion of the Chesapeake Bay and its tributaries through June, 1986.","Maryland portion of the Chesapeake Bay and its tributaries through June, 1986.","After June, 1986, stations","After June, 1986, stations"
MET4.2 and MEE3.1 were no longer sampled.,MET4.2 and MEE3.1 were no longer sampled.,"Prior to 1996, samples were collected 18 times over the","Prior to 1996, samples were collected 18 times over the","Prior to 1996, samples were collected 18 times over the"
"year, with monthly samples in October through March, and biweekly samples in April through September. In","year, with monthly samples in October through March, and biweekly samples in April through September. In","year, with monthly samples in October through March, and biweekly samples in April through September. In","year, with monthly samples in October through March, and biweekly samples in April through September. In","year, with monthly samples in October through March, and biweekly samples in April through September. In"
"January and February, the stations in the Choptank River and Baltimore Harbor were not sampled. Stations","January and February, the stations in the Choptank River and Baltimore Harbor were not sampled. Stations","January and February, the stations in the Choptank River and Baltimore Harbor were not sampled. Stations","January and February, the stations in the Choptank River and Baltimore Harbor were not sampled. Stations","January and February, the stations in the Choptank River and Baltimore Harbor were not sampled. Stations"
"in the Potomac River, (MLE2.2, XDA1177, and XEA6596) were sampled sporadically in January and","in the Potomac River, (MLE2.2, XDA1177, and XEA6596) were sampled sporadically in January and","in the Potomac River, (MLE2.2, XDA1177, and XEA6596) were sampled sporadically in January and","in the Potomac River, (MLE2.2, XDA1177, and XEA6596) were sampled sporadically in January and","in the Potomac River, (MLE2.2, XDA1177, and XEA6596) were sampled sporadically in January and"
February.,"Beginning in January 1996, the Patuxent River was the only sampling done in January, there was","Beginning in January 1996, the Patuxent River was the only sampling done in January, there was","Beginning in January 1996, the Patuxent River was the only sampling done in January, there was","Beginning in January 1996, the Patuxent River was the only sampling done in January, there was"
"no sampling done in February and November, and there was only one sampling cruise in June and","no sampling done in February and November, and there was only one sampling cruise in June and","no sampling done in February and November, and there was only one sampling cruise in June and","no sampling done in February and November, and there was only one sampling cruise in June and",
September.,Mainstem sampling was reinstituted in January in 1999-2002 and then discontinued again in,Mainstem sampling was reinstituted in January in 1999-2002 and then discontinued again in,Mainstem sampling was reinstituted in January in 1999-2002 and then discontinued again in,Mainstem sampling was reinstituted in January in 1999-2002 and then discontinued again in
2003.,"Beginning in June 2005, productivity measures were temporarily stopped because of licensing issues","Beginning in June 2005, productivity measures were temporarily stopped because of licensing issues","Beginning in June 2005, productivity measures were temporarily stopped because of licensing issues","Beginning in June 2005, productivity measures were temporarily stopped because of licensing issues"
with MSU and the state of Maryland.,"Between late July 2007 and November 2007, productivity data was not","Between late July 2007 and November 2007, productivity data was not","Between late July 2007 and November 2007, productivity data was not","Between late July 2007 and November 2007, productivity data was not"
calculated because of the lack of stock solution used in the procedure.,calculated because of the lack of stock solution used in the procedure.,calculated because of the lack of stock solution used in the procedure.,New stock solution was made for the,New stock solution was made for the
sampling cruise in December 2007. The productivity data from 01/01/2008-06/30/2008 were based on,sampling cruise in December 2007. The productivity data from 01/01/2008-06/30/2008 were based on,sampling cruise in December 2007. The productivity data from 01/01/2008-06/30/2008 were based on,sampling cruise in December 2007. The productivity data from 01/01/2008-06/30/2008 were based on,sampling cruise in December 2007. The productivity data from 01/01/2008-06/30/2008 were based on
samples which were stored for 1-6 months because of problems with the liquid scintillation counter.,samples which were stored for 1-6 months because of problems with the liquid scintillation counter.,samples which were stored for 1-6 months because of problems with the liquid scintillation counter.,samples which were stored for 1-6 months because of problems with the liquid scintillation counter.,
# STATION NAMES AND DESCRIPTIONS,# STATION NAMES AND DESCRIPTIONS,,,
CB1.1,"Mouth of Susquehanna River, main Bay","Mouth of Susquehanna River, main Bay",,
CB2.2,"West of Still Pond near Buoy R 34, main Bay","West of Still Pond near Buoy R 34, main Bay",,
CB3.3C,"North of Bay Bridge, main Bay",,,
CB4.3C,"East of Dares Beach near Buoy R 64, main Bay","East of Dares Beach near Buoy R 64, main Bay",,
CB5.2,"East of Point No Point, main Bay",,,
EE3.1,"North Tangier Sound, Northwest Of Haines Point, 100 Yards North Of Buoy R-16;","North Tangier Sound, Northwest Of Haines Point, 100 Yards North Of Buoy R-16;","North Tangier Sound, Northwest Of Haines Point, 100 Yards North Of Buoy R-16;",
ET4.2,"Lower Chester River, South Of Eastern Neck Island At Buoy Fig-9","Lower Chester River, South Of Eastern Neck Island At Buoy Fig-9",,
ET5.1,"Downstream of confluence with Tuckahoe Creek, upper Choptank River","Downstream of confluence with Tuckahoe Creek, upper Choptank River",,
ET5.2,"Near Route 50 bridge at Cambridge, lower Choptank River","Near Route 50 bridge at Cambridge, lower Choptank River",,
LE1.1,"Between Jack Bay sandspit and Sandgates in mid channel, Patuxent River","Between Jack Bay sandspit and Sandgates in mid channel, Patuxent River",,
LE2.2,"Off Ragged Point at buoy BW 51B, Potomac River","Off Ragged Point at buoy BW 51B, Potomac River",,
RET2.2,"Off Maryland Point at Buoy 19, Potomac River","Off Maryland Point at Buoy 19, Potomac River",,
TF1.5,"At Nottingham in mid channel, Patuxent River","At Nottingham in mid channel, Patuxent River",,
TF1.7,"East South East of Jacks Creek in mid channel, Patuxent River","East South East of Jacks Creek in mid channel, Patuxent River",,
TF2.3,"Off Indianhead at Buoy N 54, Potomac River","Off Indianhead at Buoy N 54, Potomac River",,
WT5.1,"East of Hawkins Point at Buoy 5M, Patapsco River","East of Hawkins Point at Buoy 5M, Patapsco River",(Baltimore Harbor),
,,2,11/06/08,
