Name: “Table 1 of 1 on page 24 of 40”,Name: “Table 1 of 1 on page 24 of 40”,Name: “Table 1 of 1 on page 24 of 40”,Name: “Table 1 of 1 on page 24 of 40”,Name: “Table 1 of 1 on page 24 of 40”,Name: “Table 1 of 1 on page 24 of 40”,Name: “Table 1 of 1 on page 24 of 40”,Name: “Table 1 of 1 on page 24 of 40”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,,
249003,MCB2.2,980708,MZP W,RECOUNT,,,
MICROZOOPLANKTON,MICROZOOPLANKTON,> 44 UM,> 44 UM,,,,
NUMBER OF LITERS FILTERED,NUMBER OF LITERS FILTERED,NUMBER OF LITERS FILTERED,NUMBER OF LITERS FILTERED,,,,100 .0
CONCE NTRAT E VOLUM E (ML),CONCE NTRAT E VOLUM E (ML),CONCE NTRAT E VOLUM E (ML),CONCE NTRAT E VOLUM E (ML),,,,44.0
SPECIES CODE,,S PE CIE S N AM E,S PE CIE S N AM E,S PE CIE S N AM E,R AW,#MLS,NORM CNT
,,,,,CNT,CNTD,(#/L)
3540020123003,TINTINNOPSIS FIMBRIATA-MEUNIERI GRP,TINTINNOPSIS FIMBRIATA-MEUNIERI GRP,TINTINNOPSIS FIMBRIATA-MEUNIERI GRP,TINTINNOPSIS FIMBRIATA-MEUNIERI GRP,171,0.50,150.48
6118290100001,ACA RTIA SP.-NAU PLII,ACA RTIA SP.-NAU PLII,ACA RTIA SP.-NAU PLII,ACA RTIA SP.-NAU PLII,46,1.00,20.24
4506130200003,SYNCH AETA SPP . S-SMALL,SYNCH AETA SPP . S-SMALL,SYNCH AETA SPP . S-SMALL,SYNCH AETA SPP . S-SMALL,18,1.00,7.92
4506010103060,KERATELLA COCHLEARIS TECTA,KERATELLA COCHLEARIS TECTA,KERATELLA COCHLEARIS TECTA,KERATELLA COCHLEARIS TECTA,14,1.00,6.16
5500000000001,PELECYPODA-LARVAE,PELECYPODA-LARVAE,PELECYPODA-LARVAE,PELECYPODA-LARVAE,12,1.00,5.28
6117000000001,COP EPO D N AUP LII,COP EPO D N AUP LII,COP EPO D N AUP LII,,12,1.00,5.28
4506010103020,KERAT ELLA COCHLEA RIS COCHLEARIS,KERAT ELLA COCHLEA RIS COCHLEARIS,KERAT ELLA COCHLEA RIS COCHLEARIS,KERAT ELLA COCHLEA RIS COCHLEARIS,6,1.00,2.64
4506070100000,TRICHOCERCA SP.,TRICHOCERCA SP.,TRICHOCERCA SP.,,6,1.00,2.64
4506010400000,BR ACHIO NU S SP .,BR ACHIO NU S SP .,BR ACHIO NU S SP .,,3,1.00,1.32
4506130300000,POLYARTHRA SP.,POLYARTHRA SP.,POLYARTHRA SP.,,2,1.00,0.88
4506010406000,BRACHION US ANGU LARIS,BRACHION US ANGU LARIS,BRACHION US ANGU LARIS,BRACHION US ANGU LARIS,2,1.00,0.88
4506130200010,SYNCH AETA B ICORNIS,SYNCH AETA B ICORNIS,SYNCH AETA B ICORNIS,SYNCH AETA B ICORNIS,1,1.00,0.44
4506010409000,BRACHION US CAUD ATUS,BRACHION US CAUD ATUS,BRACHION US CAUD ATUS,BRACHION US CAUD ATUS,1,1.00,0.44
MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,294,
MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,,204.6,
