Name: “Table 1 of 1 on page 32 of 40”,Name: “Table 1 of 1 on page 32 of 40”
Table: 32,Table: 32
,
GROUPS ARE AVAILABLE FROM S.G. BROWNLEE AT THE BENEDICT LAB.,GROUPS ARE AVAILABLE FROM S.G. BROWNLEE AT THE BENEDICT LAB.
CODE,SPECIES
0000000000001,UNIDED LARVAE
0000000000002,UNIDED TROCHOPHORE LARVAE
3438000000000,SARCODINA-UNIDED SARCODINID
3442010000000,DIFFLUGIIDAE
3442010100000,DIFFLUGIA SPP.
3442010201000,LESQUEREUSIA GIBBOSA
3442020100000,ARCELLA SP.
3442030000000,CENTROPYXIDAE
3442030100000,CENTROPYXIS SP.
3442030101000,CENTROPYXIS ACULEATA
3442040000000,PARAQUADRULIDAE
3442040200000,QUADRULELLA SP.
3442050000000,HYALOSPHENIIDAE-TESTATED AMOEBA
3445020000000,EUGLYPHA SP.
3445040000000,CYPHODERIIDAE
3445040100000,CYPHODERIA SP.
3448000000000,FORAMINIFERIDA
3512000000000,CILIOPHORA-UNIDED CILIATE
3516000000000,HAPTORIDA
3516010100000,DIDINIUM SP.
3516010202000,MESODINIUM RUBRUM
3516020000001,TRACHELOCERCIDAE-LARGE
3517000000001,CYRTOPHORIDA-LARGE
3530000000001,PERITRICHIDA-LARGE
3531000000000,SESSILINA-UNIDED SESSILINE PERITRICH
3532000000000,MOBILINA-UNIDED MOBILINE PERITRICH
3533000000000,SUCTORIA-UNIDED SUCTORIAN
3534010100000,ACINETA SP.
3534030700000,STAUROPHRYA SP.
3534040100000,EPHELOTA SP.
3537000000000,HETEROTRICHINA-UNIDED HETEROTRICH
3539000000000,OLIGOTRICHINA-UNIDED OLIGOTRICH
3539020100000,STENTOR SP.
3539030000000,STROMBIDIDAE
3539030100000,STROMBIDIUM SP.
3539030200000,TONTONIA SP.
3540000000000,TINTINNINA-UNIDED TINTINNID
3540010100050,TINTINNIDIUM SP.-LARGE
3540010100051,TINTINNIDIUM SP.-LARGE-FULL
3540010100052,TINTINNIDIUM SP.-LARGE-EMPTY
