Name: “Table 1 of 1 on page 23 of 40”,Name: “Table 1 of 1 on page 23 of 40”,Name: “Table 1 of 1 on page 23 of 40”,Name: “Table 1 of 1 on page 23 of 40”,Name: “Table 1 of 1 on page 23 of 40”,Name: “Table 1 of 1 on page 23 of 40”,Name: “Table 1 of 1 on page 23 of 40”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,
249003,MCB2.2,980708,MZP W,,,
MICROZOOPLANKTON,MICROZOOPLANKTON,> 44 UM,> 44 UM,,,
NUMBER OF LITERS FILTERED,NUMBER OF LITERS FILTERED,NUMBER OF LITERS FILTERED,NUMBER OF LITERS FILTERED,,,100 .0
CONCE NTRAT E VOLUM E (ML),CONCE NTRAT E VOLUM E (ML),CONCE NTRAT E VOLUM E (ML),CONCE NTRAT E VOLUM E (ML),,,44.0
SPECIES CODE,,S PE CIE S N AM E,S PE CIE S N AM E,R AW,#MLS,NORM CNT
,,,,CNT,CNTD,(#/L)
3540020123003,TINTINNOPSIS FIMBRIATA-MEUNIERI GRP,TINTINNOPSIS FIMBRIATA-MEUNIERI GRP,TINTINNOPSIS FIMBRIATA-MEUNIERI GRP,195,0.50,171.60
6118290100001,ACA RTIA SP.-NAU PLII,ACA RTIA SP.-NAU PLII,ACA RTIA SP.-NAU PLII,41,1.00,18.04
4506130200003,SYNCH AETA SPP . S-SMALL,SYNCH AETA SPP . S-SMALL,SYNCH AETA SPP . S-SMALL,10,1.00,4.40
5500000000001,PELECYPODA-LARVAE,PELECYPODA-LARVAE,PELECYPODA-LARVAE,7,1.00,3.08
4506010103060,KERATELLA COCHLEARIS TECTA,KERATELLA COCHLEARIS TECTA,KERATELLA COCHLEARIS TECTA,6,1.00,2.64
4506130300000,POLYARTHRA SP.,POLYARTHRA SP.,POLYARTHRA SP.,6,1.00,2.64
6117000000001,COP EPO D N AUP LII,COP EPO D N AUP LII,COP EPO D N AUP LII,4,1.00,1.76
4506070100000,TRICHOCERCA SP.,TRICHOCERCA SP.,TRICHOCERCA SP.,3,1.00,1.32
4506010406000,BRA CHIO NU S AN GU LARIS,BRA CHIO NU S AN GU LARIS,BRA CHIO NU S AN GU LARIS,3,1.00,1.32
4506130200010,SYN CHA ETA BIC ORN IS,SYN CHA ETA BIC ORN IS,SYN CHA ETA BIC ORN IS,2,1.00,0.88
4506010103020,KER ATE LLA CO CHL EAR IS COC HLE ARIS,KER ATE LLA CO CHL EAR IS COC HLE ARIS,KER ATE LLA CO CHL EAR IS COC HLE ARIS,2,1.00,0.88
4506010402000,BRACHIONUS CALYCIFLORUS,BRACHIONUS CALYCIFLORUS,BRACHIONUS CALYCIFLORUS,1,1.00,0.44
MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,MICROZO OPLANK TON > 44UM RA W CO UNT FOR ENT IRE SAMPLE,280,
MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,MICR OZ OO PLAN KT ON >44 UM (#/L) F OR EN TIRE SAM PLE,,209.0,
