Name: “Table 1 of 1 on page 35 of 40”,Name: “Table 1 of 1 on page 35 of 40”
Table: 35,Table: 35
,
4506010401000,BRACHIONUS PLICATILIS
4506010402000,BRACHIONUS CALYCIFLORUS
4506010403000,BRACHIONUS HAVANAENSIS
4506010404000,BRACHIONUS PTERODINOIDES
4506010405000,BRACHIONUS URCEOLARIS
4506010406000,BRACHIONUS ANGULARIS
4506010407000,BRACHIONUS BIDENTATA
4506010408000,BRACHIONUS BUDAPESTINENSIS
4506010409000,BRACHIONUS CAUDATUS
4506010410000,BRACHIONUS DIVERSICORNIS
4506010411000,BRACHIONUS QUADRIDENTATUS
4506010412000,BRACHIONUS RUBENS
4506010413000,BRACHIONUS VARIABILIS
4506010500000,KELLICOTTIA SP.
4506010501000,KELLICOTTIA LONGISPINA
4506010502000,KELLICOTTIA BOSTONIENSIS
4506010700000,LEPADELLA SP.
4506010704000,LEPADELLA PATELLA
4506010800000,ANURAEOPSIS SP.
4506010801000,ANURAEOPSIS FISSA
4506010900000,EPIPHANES SP.
4506011000000,EUCHLANIS SP.
4506011001000,EUCHLANIS DILATATA
4506011100000,LOPHOCHARIS SP.
4506011101000,LOPHOCHARIS SALPINA
4506011200000,MACROCHAETUS SP.
4506011300000,MYTILINA SP.
4506011400000,PLATYIAS SP.
4506011401000,PLATYIAS PATULUS
4506011402000,PLATYIAS QUADRICORNIS
4506011500000,TRICHOTRIA SP.
4506011501000,TRICHOTRIA TETRACTIS
4506020100000,LECANE SP.
4506020200000,MONOSTYLA SP.
4506020201000,MONOSTYLA BULLA
4506020202000,MONOSTYLA CLOSTEROCERCA
4506020203000,MONOSTYLA QUADRIDENTATA
4506040100000,ENCENTRUM SP.
4506040200000,PROALES SP.
4506040300000,CEPHALODELLA SP.
4506040302000,CEPHALODELLA GIBBA
4506040400000,NOTOMMATA SP.
4506040500000,MONOMMATA SP.
4506040600000,EOSPHORA SP.
4506070100000,TRICHOCERCA SP.
