Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”,Name: “Table 1 of 1 on page 3 of 21”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,VAPHDOC.doc,VAPHDOC.doc,VAPHDOC.doc,VAPHDOC.doc,,,,,,,,,
CB7.4,,,36.99556,36.99556,36.99556,,-76.0208 13.8,-76.0208 13.8,,,,,"36 59' 44""",,,"-77 58' 45""","-77 58' 45""",,,,
LE3.6,,,37.59667,37.59667,37.59667,,-76.285 9.8,-76.285 9.8,,,,,"37 35' 48""",,,"-77 42' 54""","-77 42' 54""",,,,
LE5.5,,,36.99889,36.99889,36.99889,,-76.3136 21.4,-76.3136 21.4,,,,,"36 59' 48""",,,"-76 18' 12""","-76 18' 12""",,,,
LE5.5-W,LE5.5-W,,36.99903,36.99903,36.99903,-76.31328 6.0,-76.31328 6.0,-76.31328 6.0,,,,,36 59’ 56”,,,-76 18’ 49”,-76 18’ 49”,,,,
RET3.1,RET3.1,,37.92014,37.92014,37.92014,,-76.8214 5.8,-76.8214 5.8,,,,,"37 55' 12.488""","37 55' 12.488""",,"-77 10' 43.138""","-77 10' 43.138""","-77 10' 43.138""","-77 10' 43.138""",,
RET4.1,RET4.1,,37.52514,37.52514,37.52514,,-76.8697,,,,,,"37 31' 30.522""","37 31' 30.522""",,"-77 7' 49.131""","-77 7' 49.131""","-77 7' 49.131""",,,
RET4.3,RET4.3,,37.50681,37.50681,37.50681,,-76.788 5.2,-76.788 5.2,,,,,"37 30' 24.522""","37 30' 24.522""",,"-77 12' 43.14""","-77 12' 43.14""","-77 12' 43.14""",,,
RET5.2,RET5.2,,37.21015,37.21015,37.21015,,-76.793 8.3,-76.793 8.3,,,,,"37 12' 36.533""","37 12' 36.533""",,"-77 12' 25.145""","-77 12' 25.145""","-77 12' 25.145""","-77 12' 25.145""",,
SBE2,,,36.81265,36.81265,36.81265,,-76.3058 13.0,-76.3058 13.0,,,,,"36 48' 45.533""","36 48' 45.533""",,"-77 41' 39.212""","-77 41' 39.212""","-77 41' 39.212""","-77 41' 39.212""",,
SBE5,,,36.76987,36.76987,36.76987,,-76.2961 10.0,-76.2961 10.0,,,,,"36 46' 11.534""","36 46' 11.534""",,"-77 42' 14.215""","-77 42' 14.215""","-77 42' 14.215""","-77 42' 14.215""",,
TF3.3,,,38.01874,38.01874,38.01874,,-76.908 6.6,-76.908 6.6,,,,,"38 1' 7.481""","38 1' 7.481""",,"-77 5' 31.122""","-77 5' 31.122""","-77 5' 31.122""",,,
