Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,
,,,VAPDDOC.doc,
Conductivity- uhhos/cm,Depth- meters,Depth- meters,,
Prior to 1997 this depth was not recorded in the datasets and is reported as missing. All samples for this,Prior to 1997 this depth was not recorded in the datasets and is reported as missing. All samples for this,Prior to 1997 this depth was not recorded in the datasets and is reported as missing. All samples for this,Prior to 1997 this depth was not recorded in the datasets and is reported as missing. All samples for this,Prior to 1997 this depth was not recorded in the datasets and is reported as missing. All samples for this
program are taken from the upper water column.,program are taken from the upper water column.,program are taken from the upper water column.,program are taken from the upper water column.,
>PARAMETER: SALZONE (Salinity zone),>PARAMETER: SALZONE (Salinity zone),>PARAMETER: SALZONE (Salinity zone),,
-COLLECTION METHODS: Hydrolab CTD,-COLLECTION METHODS: Hydrolab CTD,-COLLECTION METHODS: Hydrolab CTD,,
-SAMPLE PRESERVATIVES: None,-SAMPLE PRESERVATIVES: None,,,
-SAMPLE STORAGE ENVIRONMENT: None,-SAMPLE STORAGE ENVIRONMENT: None,-SAMPLE STORAGE ENVIRONMENT: None,,
-TIME IN STORAGE: None,-TIME IN STORAGE: None,,,
"-LAB TECHNIQUES WITH REFERENCES: Water column salinity, temperature and depth are recorded","-LAB TECHNIQUES WITH REFERENCES: Water column salinity, temperature and depth are recorded","-LAB TECHNIQUES WITH REFERENCES: Water column salinity, temperature and depth are recorded","-LAB TECHNIQUES WITH REFERENCES: Water column salinity, temperature and depth are recorded","-LAB TECHNIQUES WITH REFERENCES: Water column salinity, temperature and depth are recorded"
prior to water sample collection. Salinity values are averaged over the entire water column and a zone is,prior to water sample collection. Salinity values are averaged over the entire water column and a zone is,prior to water sample collection. Salinity values are averaged over the entire water column and a zone is,prior to water sample collection. Salinity values are averaged over the entire water column and a zone is,prior to water sample collection. Salinity values are averaged over the entire water column and a zone is
