Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,
,,,VAMIDOC.doc,
#,REFERENCE CODES IN DATA FILE AND TAXONOMIC KEY,REFERENCE CODES IN DATA FILE AND TAXONOMIC KEY,REFERENCE CODES IN DATA FILE AND TAXONOMIC KEY,
See The 2000 Guide to Chesapeake Bay Program Biological and Living Resources Monitoring Data for full,See The 2000 Guide to Chesapeake Bay Program Biological and Living Resources Monitoring Data for full,See The 2000 Guide to Chesapeake Bay Program Biological and Living Resources Monitoring Data for full,See The 2000 Guide to Chesapeake Bay Program Biological and Living Resources Monitoring Data for full,See The 2000 Guide to Chesapeake Bay Program Biological and Living Resources Monitoring Data for full
listing of acceptable codes.,listing of acceptable codes.,listing of acceptable codes.,listing of acceptable codes.,
>STATION: See section STATION NAMES AND DESCRIPTIONS,>STATION: See section STATION NAMES AND DESCRIPTIONS,>STATION: See section STATION NAMES AND DESCRIPTIONS,>STATION: See section STATION NAMES AND DESCRIPTIONS,
>SAMPLE_TYPE: Sample Collection Type,>SAMPLE_TYPE: Sample Collection Type,>SAMPLE_TYPE: Sample Collection Type,>SAMPLE_TYPE: Sample Collection Type,
,C - Composite,C - Composite,,
> DATA_TYPE: Data Type,> DATA_TYPE: Data Type,> DATA_TYPE: Data Type,> DATA_TYPE: Data Type,
BE,BE,Benthic,Benthic,
FL,FL,Fluorescence,Fluorescence,
MI,MI,Microzooplankton,Microzooplankton,
MZ,MZ,Mesozooplankton,Mesozooplankton,
PD,PD,Primary Production,Primary Production,
PH,PH,Phytoplankton,Phytoplankton,
PP,PP,Picoplankton,Picoplankton,
>SOURCE: Data Collection Agency,>SOURCE: Data Collection Agency,>SOURCE: Data Collection Agency,>SOURCE: Data Collection Agency,
,ODU - Old Dominion University,ODU - Old Dominion University,ODU - Old Dominion University,
">SPEC_CODE: In house Species codes or ODUCODE, See Old Dominion University species names and",">SPEC_CODE: In house Species codes or ODUCODE, See Old Dominion University species names and",">SPEC_CODE: In house Species codes or ODUCODE, See Old Dominion University species names and",">SPEC_CODE: In house Species codes or ODUCODE, See Old Dominion University species names and",">SPEC_CODE: In house Species codes or ODUCODE, See Old Dominion University species names and"
codes listed above,codes listed above,codes listed above,,
>CRUISE: Chesapeake Bay Program Cruise Number,>CRUISE: Chesapeake Bay Program Cruise Number,>CRUISE: Chesapeake Bay Program Cruise Number,>CRUISE: Chesapeake Bay Program Cruise Number,
>GMETHOD:,>GMETHOD:,Sampling Gear Code,Sampling Gear Code,
,07 - unspecified plankton pump,07 - unspecified plankton pump,07 - unspecified plankton pump,
>LAYER: Layer of Water Column in which Sample was taken,>LAYER: Layer of Water Column in which Sample was taken,>LAYER: Layer of Water Column in which Sample was taken,>LAYER: Layer of Water Column in which Sample was taken,
,AP- Above Pycnocline,AP- Above Pycnocline,AP- Above Pycnocline,
,BP- Below Pycnocline,BP- Below Pycnocline,BP- Below Pycnocline,
,WC- Whole Water Column,WC- Whole Water Column,WC- Whole Water Column,
>LIFE_STG DESCRIPTION - Chesapeake Bay Program Life Stage Code,>LIFE_STG DESCRIPTION - Chesapeake Bay Program Life Stage Code,>LIFE_STG DESCRIPTION - Chesapeake Bay Program Life Stage Code,>LIFE_STG DESCRIPTION - Chesapeake Bay Program Life Stage Code,
,11,NAUPLII,,
,93,JUVENILE,,
,97,LARVAE,,
,98,ADULT,,
>SALZONE: Salinity Zone,>SALZONE: Salinity Zone,>SALZONE: Salinity Zone,>SALZONE: Salinity Zone,
,F - Fresh (0 TO 0.5 PPT),F - Fresh (0 TO 0.5 PPT),F - Fresh (0 TO 0.5 PPT),
,O - Oligohaline (>0.5 TO 5.0 PPT),O - Oligohaline (>0.5 TO 5.0 PPT),O - Oligohaline (>0.5 TO 5.0 PPT),
,M - Mesohaline,M - Mesohaline,(>5.0 TO 18.0 PPT),
,P - Polyhaline,P - Polyhaline,(> 18.0 PPT),
